## Photon energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 10 cm x 10 cm at an SSD of 100 cm 
####   06MV   ####
# E(MeV)   I(a.u.) 
0.000e+00 9.195e-07
5.000e-02 1.590e-05
1.000e-01 8.232e-05
1.500e-01 2.950e-04
2.000e-01 5.962e-04
2.500e-01 8.113e-04
3.000e-01 9.220e-04
3.500e-01 9.639e-04
4.000e-01 9.731e-04
4.500e-01 9.533e-04
5.000e-01 9.814e-04
5.500e-01 8.996e-04
6.000e-01 8.702e-04
6.500e-01 8.383e-04
7.000e-01 8.084e-04
7.500e-01 7.799e-04
8.000e-01 7.553e-04
8.500e-01 7.270e-04
9.000e-01 6.972e-04
9.500e-01 6.727e-04
1.000e+00 6.513e-04
1.050e+00 6.297e-04
1.100e+00 6.053e-04
1.150e+00 5.843e-04
1.200e+00 5.630e-04
1.250e+00 5.452e-04
1.300e+00 5.254e-04
1.350e+00 5.106e-04
1.400e+00 4.901e-04
1.450e+00 4.735e-04
1.500e+00 4.597e-04
1.550e+00 4.457e-04
1.600e+00 4.283e-04
1.650e+00 4.129e-04
1.700e+00 4.001e-04
1.750e+00 3.850e-04
1.800e+00 3.734e-04
1.850e+00 3.591e-04
1.900e+00 3.506e-04
1.950e+00 3.377e-04
2.000e+00 3.249e-04
2.050e+00 3.158e-04
2.100e+00 3.058e-04
2.150e+00 2.974e-04
2.200e+00 2.867e-04
2.250e+00 2.776e-04
2.300e+00 2.686e-04
2.350e+00 2.592e-04
2.400e+00 2.519e-04
2.450e+00 2.438e-04
2.500e+00 2.371e-04
2.550e+00 2.286e-04
2.600e+00 2.233e-04
2.650e+00 2.154e-04
2.700e+00 2.086e-04
2.750e+00 2.037e-04
2.800e+00 1.972e-04
2.850e+00 1.919e-04
2.900e+00 1.845e-04
2.950e+00 1.797e-04
3.000e+00 1.743e-04
3.050e+00 1.699e-04
3.100e+00 1.646e-04
3.150e+00 1.599e-04
3.200e+00 1.561e-04
3.250e+00 1.492e-04
3.300e+00 1.461e-04
3.350e+00 1.414e-04
3.400e+00 1.377e-04
3.450e+00 1.329e-04
3.500e+00 1.292e-04
3.550e+00 1.255e-04
3.600e+00 1.222e-04
3.650e+00 1.180e-04
3.700e+00 1.153e-04
3.750e+00 1.118e-04
3.800e+00 1.072e-04
3.850e+00 1.042e-04
3.900e+00 1.008e-04
3.950e+00 9.805e-05
4.000e+00 9.493e-05
4.050e+00 9.166e-05
4.100e+00 8.842e-05
4.150e+00 8.535e-05
4.200e+00 8.318e-05
4.250e+00 7.986e-05
4.300e+00 7.744e-05
4.350e+00 7.325e-05
4.400e+00 7.100e-05
4.450e+00 6.847e-05
4.500e+00 6.620e-05
4.550e+00 6.267e-05
4.600e+00 5.988e-05
4.650e+00 5.706e-05
4.700e+00 5.494e-05
4.750e+00 5.085e-05
4.800e+00 4.896e-05
4.850e+00 4.627e-05
4.900e+00 4.306e-05
4.950e+00 4.035e-05
5.000e+00 3.728e-05
5.050e+00 3.462e-05
5.100e+00 3.116e-05
5.150e+00 2.776e-05
5.200e+00 2.452e-05
5.250e+00 2.087e-05
5.300e+00 1.606e-05
5.350e+00 9.496e-06
5.400e+00 3.426e-06
