# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 30
# x (cm): 0
# y (cm): 0
# z (cm): 50
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 1.2 mm Polycarbonate (Makrolon or Lexan) + 620 mm Air Dry (Near Sea Level) + 0.05 mm Ag
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 5.270e-252
1.750e-03 1.007e-98
2.250e-03 6.458e-46
2.750e-03 8.228e-23
3.250e-03 1.434e-11
3.750e-03 1.811e-28
4.250e-03 2.182e-21
4.750e-03 1.150e-13
5.250e-03 2.201e-08
5.750e-03 1.222e-04
6.250e-03 6.597e-02
6.750e-03 7.265e+00
7.250e-03 3.611e+02
7.750e-03 4.023e+03
8.250e-03 3.122e+05
8.750e-03 2.117e+05
9.250e-03 7.785e+05
9.750e-03 1.657e+07
1.025e-02 5.786e+06
1.075e-02 1.054e+07
1.125e-02 3.603e+07
1.175e-02 3.686e+07
1.225e-02 4.832e+07
1.275e-02 6.889e+07
1.325e-02 9.630e+07
1.375e-02 1.280e+08
1.425e-02 1.631e+08
1.475e-02 2.005e+08
1.525e-02 2.386e+08
1.575e-02 2.763e+08
1.625e-02 3.128e+08
1.675e-02 3.474e+08
1.725e-02 3.792e+08
1.775e-02 4.079e+08
1.825e-02 4.329e+08
1.875e-02 4.540e+08
1.925e-02 4.710e+08
1.975e-02 4.839e+08
2.025e-02 4.920e+08
2.075e-02 4.955e+08
2.125e-02 4.953e+08
2.175e-02 4.914e+08
2.225e-02 4.841e+08
2.275e-02 4.735e+08
2.325e-02 4.599e+08
2.375e-02 4.434e+08
2.425e-02 4.241e+08
2.475e-02 4.023e+08
2.525e-02 3.779e+08
2.575e-02 3.342e+07
2.625e-02 3.423e+07
2.675e-02 3.424e+07
2.725e-02 3.327e+07
2.775e-02 3.114e+07
2.825e-02 2.767e+07
2.875e-02 2.264e+07
2.925e-02 1.590e+07
2.975e-02 7.294e+06
