# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 80
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 3 mm Al
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 8.001e-204
1.750e-03 0.000e+00
2.250e-03 0.000e+00
2.750e-03 0.000e+00
3.250e-03 2.387e-216
3.750e-03 1.746e-144
4.250e-03 2.503e-100
4.750e-03 8.032e-72
5.250e-03 1.398e-52
5.750e-03 3.931e-39
6.250e-03 1.936e-29
6.750e-03 2.704e-22
7.250e-03 1.155e-16
7.750e-03 9.119e-13
8.250e-03 2.335e-08
8.750e-03 6.355e-07
9.250e-03 6.114e-05
9.750e-03 3.245e-02
1.025e-02 4.733e-02
1.075e-02 3.952e-01
1.125e-02 8.425e+00
1.175e-02 2.173e+01
1.225e-02 7.076e+01
1.275e-02 2.463e+02
1.325e-02 7.791e+02
1.375e-02 2.105e+03
1.425e-02 4.983e+03
1.475e-02 1.056e+04
1.525e-02 2.036e+04
1.575e-02 3.621e+04
1.625e-02 6.018e+04
1.675e-02 9.431e+04
1.725e-02 1.405e+05
1.775e-02 2.000e+05
1.825e-02 2.736e+05
1.875e-02 3.621e+05
1.925e-02 4.656e+05
1.975e-02 5.834e+05
2.025e-02 7.136e+05
2.075e-02 8.545e+05
2.125e-02 1.005e+06
2.175e-02 1.164e+06
2.225e-02 1.328e+06
2.275e-02 1.494e+06
2.325e-02 1.662e+06
2.375e-02 1.831e+06
2.425e-02 1.998e+06
2.475e-02 2.164e+06
2.525e-02 2.323e+06
2.575e-02 2.476e+06
2.625e-02 2.622e+06
2.675e-02 2.763e+06
2.725e-02 2.896e+06
2.775e-02 3.017e+06
2.825e-02 3.129e+06
2.875e-02 3.232e+06
2.925e-02 3.328e+06
2.975e-02 3.416e+06
3.025e-02 3.493e+06
3.075e-02 3.560e+06
3.125e-02 3.619e+06
3.175e-02 3.671e+06
3.225e-02 3.717e+06
3.275e-02 3.756e+06
3.325e-02 3.789e+06
3.375e-02 3.817e+06
3.425e-02 3.839e+06
3.475e-02 3.855e+06
3.525e-02 3.863e+06
3.575e-02 3.863e+06
3.625e-02 3.859e+06
3.675e-02 3.851e+06
3.725e-02 3.839e+06
3.775e-02 3.825e+06
3.825e-02 3.807e+06
3.875e-02 3.787e+06
3.925e-02 3.764e+06
3.975e-02 3.738e+06
4.025e-02 3.708e+06
4.075e-02 3.674e+06
4.125e-02 3.638e+06
4.175e-02 3.600e+06
4.225e-02 3.562e+06
4.275e-02 3.522e+06
4.325e-02 3.481e+06
4.375e-02 3.439e+06
4.425e-02 3.396e+06
4.475e-02 3.352e+06
4.525e-02 3.306e+06
4.575e-02 3.258e+06
4.625e-02 3.210e+06
4.675e-02 3.161e+06
4.725e-02 3.113e+06
4.775e-02 3.063e+06
4.825e-02 3.014e+06
4.875e-02 2.965e+06
4.925e-02 2.915e+06
4.975e-02 2.866e+06
5.025e-02 2.815e+06
5.075e-02 2.764e+06
5.125e-02 2.713e+06
5.175e-02 2.661e+06
5.225e-02 2.611e+06
5.275e-02 2.560e+06
5.325e-02 2.510e+06
5.375e-02 2.460e+06
5.425e-02 2.410e+06
5.475e-02 2.360e+06
5.525e-02 2.310e+06
5.575e-02 2.260e+06
5.625e-02 2.210e+06
5.675e-02 2.160e+06
5.725e-02 2.111e+06
5.775e-02 3.369e+06
5.825e-02 2.013e+06
5.875e-02 1.965e+06
5.925e-02 4.245e+06
5.975e-02 1.869e+06
6.025e-02 1.821e+06
6.075e-02 1.773e+06
6.125e-02 1.726e+06
6.175e-02 1.679e+06
6.225e-02 1.632e+06
6.275e-02 1.585e+06
6.325e-02 1.539e+06
6.375e-02 1.493e+06
6.425e-02 1.447e+06
6.475e-02 1.401e+06
6.525e-02 1.355e+06
6.575e-02 1.309e+06
6.625e-02 1.264e+06
6.675e-02 1.499e+06
6.725e-02 1.718e+06
6.775e-02 1.142e+06
6.825e-02 1.083e+06
6.875e-02 1.039e+06
6.925e-02 1.190e+06
6.975e-02 9.306e+05
7.025e-02 8.574e+05
7.075e-02 8.165e+05
7.125e-02 7.756e+05
7.175e-02 7.345e+05
7.225e-02 6.933e+05
7.275e-02 6.519e+05
7.325e-02 6.102e+05
7.375e-02 5.685e+05
7.425e-02 5.263e+05
7.475e-02 4.838e+05
7.525e-02 4.413e+05
7.575e-02 3.981e+05
7.625e-02 3.546e+05
7.675e-02 3.108e+05
7.725e-02 2.663e+05
7.775e-02 2.216e+05
7.825e-02 1.762e+05
7.875e-02 1.308e+05
7.925e-02 8.446e+04
7.975e-02 3.118e+04
