## Photon energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 10 cm x 10 cm at an SSD of 100 cm 
##   06MV-FFF   ## Flattening-Filter-Free 
# E(MeV)   I(a.u.) 
0.000e+00 1.427e-07
5.000e-02 5.452e-05
1.000e-01 4.602e-04
1.500e-01 1.958e-03
2.000e-01 3.675e-03
2.500e-01 4.447e-03
3.000e-01 4.566e-03
3.500e-01 4.358e-03
4.000e-01 4.068e-03
4.500e-01 3.749e-03
5.000e-01 3.601e-03
5.500e-01 3.190e-03
6.000e-01 2.943e-03
6.500e-01 2.734e-03
7.000e-01 2.551e-03
7.500e-01 2.377e-03
8.000e-01 2.228e-03
8.500e-01 2.097e-03
9.000e-01 1.969e-03
9.500e-01 1.854e-03
1.000e+00 1.756e-03
1.050e+00 1.653e-03
1.100e+00 1.579e-03
1.150e+00 1.491e-03
1.200e+00 1.416e-03
1.250e+00 1.349e-03
1.300e+00 1.280e-03
1.350e+00 1.230e-03
1.400e+00 1.168e-03
1.450e+00 1.131e-03
1.500e+00 1.075e-03
1.550e+00 1.016e-03
1.600e+00 9.758e-04
1.650e+00 9.399e-04
1.700e+00 9.066e-04
1.750e+00 8.614e-04
1.800e+00 8.316e-04
1.850e+00 8.005e-04
1.900e+00 7.689e-04
1.950e+00 7.404e-04
2.000e+00 7.115e-04
2.050e+00 6.869e-04
2.100e+00 6.540e-04
2.150e+00 6.355e-04
2.200e+00 6.119e-04
2.250e+00 5.896e-04
2.300e+00 5.701e-04
2.350e+00 5.543e-04
2.400e+00 5.361e-04
2.450e+00 5.112e-04
2.500e+00 4.961e-04
2.550e+00 4.824e-04
2.600e+00 4.676e-04
2.650e+00 4.557e-04
2.700e+00 4.328e-04
2.750e+00 4.199e-04
2.800e+00 4.066e-04
2.850e+00 3.981e-04
2.900e+00 3.827e-04
2.950e+00 3.704e-04
3.000e+00 3.628e-04
3.050e+00 3.535e-04
3.100e+00 3.404e-04
3.150e+00 3.320e-04
3.200e+00 3.201e-04
3.250e+00 3.040e-04
3.300e+00 3.023e-04
3.350e+00 2.941e-04
3.400e+00 2.847e-04
3.450e+00 2.756e-04
3.500e+00 2.658e-04
3.550e+00 2.595e-04
3.600e+00 2.531e-04
3.650e+00 2.421e-04
3.700e+00 2.344e-04
3.750e+00 2.299e-04
3.800e+00 2.271e-04
3.850e+00 2.160e-04
3.900e+00 2.136e-04
3.950e+00 2.060e-04
4.000e+00 1.972e-04
4.050e+00 1.928e-04
4.100e+00 1.921e-04
4.150e+00 1.812e-04
4.200e+00 1.783e-04
4.250e+00 1.740e-04
4.300e+00 1.648e-04
4.350e+00 1.615e-04
4.400e+00 1.570e-04
4.450e+00 1.516e-04
4.500e+00 1.465e-04
4.550e+00 1.436e-04
4.600e+00 1.368e-04
4.650e+00 1.318e-04
4.700e+00 1.283e-04
4.750e+00 1.227e-04
4.800e+00 1.197e-04
4.850e+00 1.145e-04
4.900e+00 1.087e-04
4.950e+00 1.065e-04
5.000e+00 9.903e-05
5.050e+00 9.627e-05
5.100e+00 9.387e-05
5.150e+00 8.980e-05
5.200e+00 8.373e-05
5.250e+00 8.046e-05
5.300e+00 7.367e-05
5.350e+00 6.979e-05
5.400e+00 6.201e-05
5.450e+00 5.927e-05
5.500e+00 5.366e-05
5.550e+00 5.045e-05
5.600e+00 4.347e-05
5.650e+00 3.695e-05
5.700e+00 2.905e-05
5.750e+00 2.208e-05
5.800e+00 7.325e-06
5.850e+00 5.560e-07
