## Photon energy spectrum 
## VARIAN Medical Accelerator 
## https://primoproject.net/primo/EnergySpectra 
## 10 cm x 10 cm at an SSD of 100 cm 
####   04MV   ####
# E(MeV)   I(a.u.) 
0.000e+00 0.000e+00
5.000e-02 1.041e-05
1.000e-01 4.396e-06
1.500e-01 3.395e-06
2.000e-01 8.666e-06
2.500e-01 2.175e-05
3.000e-01 5.550e-05
3.500e-01 1.128e-04
4.000e-01 1.914e-04
4.500e-01 2.608e-04
5.000e-01 3.343e-04
5.500e-01 3.582e-04
6.000e-01 3.898e-04
6.500e-01 4.060e-04
7.000e-01 4.128e-04
7.500e-01 4.152e-04
8.000e-01 4.142e-04
8.500e-01 4.050e-04
9.000e-01 3.975e-04
9.500e-01 3.927e-04
1.000e+00 3.786e-04
1.050e+00 3.658e-04
1.100e+00 3.554e-04
1.150e+00 3.420e-04
1.200e+00 3.278e-04
1.250e+00 3.192e-04
1.300e+00 3.064e-04
1.350e+00 2.940e-04
1.400e+00 2.842e-04
1.450e+00 2.773e-04
1.500e+00 2.624e-04
1.550e+00 2.498e-04
1.600e+00 2.374e-04
1.650e+00 2.278e-04
1.700e+00 2.178e-04
1.750e+00 2.076e-04
1.800e+00 2.014e-04
1.850e+00 1.954e-04
1.900e+00 1.882e-04
1.950e+00 1.755e-04
2.000e+00 1.700e-04
2.050e+00 1.642e-04
2.100e+00 1.587e-04
2.150e+00 1.522e-04
2.200e+00 1.430e-04
2.250e+00 1.362e-04
2.300e+00 1.325e-04
2.350e+00 1.244e-04
2.400e+00 1.203e-04
2.450e+00 1.167e-04
2.500e+00 1.118e-04
2.550e+00 1.050e-04
2.600e+00 1.025e-04
2.650e+00 9.654e-05
2.700e+00 9.256e-05
2.750e+00 8.839e-05
2.800e+00 8.610e-05
2.850e+00 8.052e-05
2.900e+00 7.593e-05
2.950e+00 7.251e-05
3.000e+00 6.969e-05
3.050e+00 6.558e-05
3.100e+00 6.341e-05
3.150e+00 5.972e-05
3.200e+00 5.645e-05
3.250e+00 5.371e-05
3.300e+00 5.344e-05
3.350e+00 4.955e-05
3.400e+00 4.640e-05
3.450e+00 4.245e-05
3.500e+00 4.150e-05
3.550e+00 3.824e-05
3.600e+00 3.413e-05
3.650e+00 3.279e-05
3.700e+00 2.942e-05
3.750e+00 2.579e-05
3.800e+00 2.212e-05
3.850e+00 1.984e-05
3.900e+00 1.594e-05
3.950e+00 1.162e-05
4.000e+00 3.139e-06
