# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 1.2 mm Polycarbonate (Makrolon or Lexan) + 640 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 3.360e-158
1.750e-03 3.881e-56
2.250e-03 4.912e-23
2.750e-03 4.236e-09
3.250e-03 9.659e-03
3.750e-03 7.322e+01
4.250e-03 1.457e+04
4.750e-03 4.040e+05
5.250e-03 3.547e+06
5.750e-03 1.544e+07
6.250e-03 4.284e+07
6.750e-03 8.837e+07
7.250e-03 2.086e+08
7.750e-03 2.203e+08
8.250e-03 2.536e+09
8.750e-03 3.849e+08
9.250e-03 4.137e+08
9.750e-03 3.126e+09
1.025e-02 4.843e+08
1.075e-02 4.379e+08
1.125e-02 8.151e+08
1.175e-02 5.090e+08
1.225e-02 4.356e+08
1.275e-02 4.285e+08
1.325e-02 4.339e+08
1.375e-02 4.356e+08
1.425e-02 4.341e+08
1.475e-02 4.299e+08
1.525e-02 4.226e+08
1.575e-02 4.128e+08
1.625e-02 4.016e+08
1.675e-02 3.894e+08
1.725e-02 3.764e+08
1.775e-02 3.628e+08
1.825e-02 3.486e+08
1.875e-02 3.340e+08
1.925e-02 3.190e+08
1.975e-02 3.039e+08
2.025e-02 2.882e+08
2.075e-02 2.722e+08
2.125e-02 2.563e+08
2.175e-02 2.405e+08
2.225e-02 2.248e+08
2.275e-02 2.091e+08
2.325e-02 1.936e+08
2.375e-02 1.781e+08
2.425e-02 1.627e+08
2.475e-02 1.472e+08
2.525e-02 1.318e+08
2.575e-02 1.161e+08
2.625e-02 1.003e+08
2.675e-02 8.405e+07
2.725e-02 6.733e+07
2.775e-02 5.001e+07
2.825e-02 3.206e+07
2.875e-02 1.359e+07
