# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: pene
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 150
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 3 mm Al
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 8.772e-204
1.750e-03 0.000e+00
2.250e-03 0.000e+00
2.750e-03 0.000e+00
3.250e-03 2.080e-216
3.750e-03 1.315e-144
4.250e-03 1.725e-100
4.750e-03 5.263e-72
5.250e-03 8.937e-53
5.750e-03 2.496e-39
6.250e-03 1.238e-29
6.750e-03 1.758e-22
7.250e-03 8.420e-17
7.750e-03 6.288e-13
8.250e-03 1.983e-08
8.750e-03 4.872e-07
9.250e-03 4.755e-05
9.750e-03 3.131e-02
1.025e-02 3.610e-02
1.075e-02 2.731e-01
1.125e-02 6.673e+00
1.175e-02 1.567e+01
1.225e-02 4.860e+01
1.275e-02 1.690e+02
1.325e-02 5.451e+02
1.375e-02 1.504e+03
1.425e-02 3.644e+03
1.475e-02 7.913e+03
1.525e-02 1.565e+04
1.575e-02 2.858e+04
1.625e-02 4.880e+04
1.675e-02 7.865e+04
1.725e-02 1.205e+05
1.775e-02 1.765e+05
1.825e-02 2.484e+05
1.875e-02 3.384e+05
1.925e-02 4.475e+05
1.975e-02 5.768e+05
2.025e-02 7.254e+05
2.075e-02 8.930e+05
2.125e-02 1.080e+06
2.175e-02 1.284e+06
2.225e-02 1.503e+06
2.275e-02 1.735e+06
2.325e-02 1.979e+06
2.375e-02 2.233e+06
2.425e-02 2.497e+06
2.475e-02 2.767e+06
2.525e-02 3.038e+06
2.575e-02 3.310e+06
2.625e-02 3.583e+06
2.675e-02 3.854e+06
2.725e-02 4.123e+06
2.775e-02 4.381e+06
2.825e-02 4.631e+06
2.875e-02 4.875e+06
2.925e-02 5.112e+06
2.975e-02 5.341e+06
3.025e-02 5.557e+06
3.075e-02 5.759e+06
3.125e-02 5.952e+06
3.175e-02 6.136e+06
3.225e-02 6.310e+06
3.275e-02 6.475e+06
3.325e-02 6.630e+06
3.375e-02 6.776e+06
3.425e-02 6.912e+06
3.475e-02 7.040e+06
3.525e-02 7.151e+06
3.575e-02 7.247e+06
3.625e-02 7.336e+06
3.675e-02 7.416e+06
3.725e-02 7.489e+06
3.775e-02 7.554e+06
3.825e-02 7.613e+06
3.875e-02 7.664e+06
3.925e-02 7.709e+06
3.975e-02 7.747e+06
4.025e-02 7.775e+06
4.075e-02 7.793e+06
4.125e-02 7.805e+06
4.175e-02 7.813e+06
4.225e-02 7.816e+06
4.275e-02 7.815e+06
4.325e-02 7.810e+06
4.375e-02 7.801e+06
4.425e-02 7.789e+06
4.475e-02 7.773e+06
4.525e-02 7.751e+06
4.575e-02 7.722e+06
4.625e-02 7.691e+06
4.675e-02 7.658e+06
4.725e-02 7.623e+06
4.775e-02 7.585e+06
4.825e-02 7.546e+06
4.875e-02 7.505e+06
4.925e-02 7.462e+06
4.975e-02 7.418e+06
5.025e-02 7.370e+06
5.075e-02 7.318e+06
5.125e-02 7.266e+06
5.175e-02 7.213e+06
5.225e-02 7.159e+06
5.275e-02 7.105e+06
5.325e-02 7.050e+06
5.375e-02 6.994e+06
5.425e-02 6.938e+06
5.475e-02 6.881e+06
5.525e-02 6.823e+06
5.575e-02 6.763e+06
5.625e-02 6.702e+06
5.675e-02 6.642e+06
5.725e-02 6.582e+06
5.775e-02 3.842e+07
5.825e-02 6.461e+06
5.875e-02 6.400e+06
5.925e-02 6.336e+07
5.975e-02 6.280e+06
6.025e-02 6.219e+06
6.075e-02 6.158e+06
6.125e-02 6.097e+06
6.175e-02 6.036e+06
6.225e-02 5.976e+06
6.275e-02 5.915e+06
6.325e-02 5.855e+06
6.375e-02 5.796e+06
6.425e-02 5.736e+06
6.475e-02 5.677e+06
6.525e-02 5.617e+06
6.575e-02 5.558e+06
6.625e-02 5.499e+06
6.675e-02 1.246e+07
6.725e-02 1.901e+07
6.775e-02 5.671e+06
6.825e-02 5.266e+06
6.875e-02 5.209e+06
6.925e-02 1.010e+07
6.975e-02 4.731e+06
7.025e-02 3.995e+06
7.075e-02 3.965e+06
7.125e-02 3.935e+06
7.175e-02 3.905e+06
7.225e-02 3.875e+06
7.275e-02 3.845e+06
7.325e-02 3.816e+06
7.375e-02 3.786e+06
7.425e-02 3.756e+06
7.475e-02 3.726e+06
7.525e-02 3.696e+06
7.575e-02 3.665e+06
7.625e-02 3.635e+06
7.675e-02 3.604e+06
7.725e-02 3.574e+06
7.775e-02 3.543e+06
7.825e-02 3.513e+06
7.875e-02 3.482e+06
7.925e-02 3.451e+06
7.975e-02 3.421e+06
8.025e-02 3.390e+06
8.075e-02 3.358e+06
8.125e-02 3.327e+06
8.175e-02 3.296e+06
8.225e-02 3.265e+06
8.275e-02 3.234e+06
8.325e-02 3.203e+06
8.375e-02 3.172e+06
8.425e-02 3.141e+06
8.475e-02 3.110e+06
8.525e-02 3.079e+06
8.575e-02 3.049e+06
8.625e-02 3.018e+06
8.675e-02 2.987e+06
8.725e-02 2.957e+06
8.775e-02 2.927e+06
8.825e-02 2.896e+06
8.875e-02 2.866e+06
8.925e-02 2.836e+06
8.975e-02 2.806e+06
9.025e-02 2.776e+06
9.075e-02 2.747e+06
9.125e-02 2.717e+06
9.175e-02 2.687e+06
9.225e-02 2.658e+06
9.275e-02 2.628e+06
9.325e-02 2.599e+06
9.375e-02 2.570e+06
9.425e-02 2.541e+06
9.475e-02 2.512e+06
9.525e-02 2.483e+06
9.575e-02 2.455e+06
9.625e-02 2.426e+06
9.675e-02 2.398e+06
9.725e-02 2.370e+06
9.775e-02 2.342e+06
9.825e-02 2.314e+06
9.875e-02 2.286e+06
9.925e-02 2.258e+06
9.975e-02 2.231e+06
1.003e-01 2.204e+06
1.008e-01 2.176e+06
1.013e-01 2.149e+06
1.018e-01 2.122e+06
1.023e-01 2.095e+06
1.028e-01 2.069e+06
1.033e-01 2.042e+06
1.038e-01 2.015e+06
1.042e-01 1.989e+06
1.047e-01 1.963e+06
1.052e-01 1.937e+06
1.057e-01 1.911e+06
1.062e-01 1.885e+06
1.067e-01 1.860e+06
1.072e-01 1.835e+06
1.077e-01 1.809e+06
1.082e-01 1.784e+06
1.087e-01 1.759e+06
1.092e-01 1.734e+06
1.098e-01 1.709e+06
1.103e-01 1.685e+06
1.108e-01 1.660e+06
1.113e-01 1.636e+06
1.118e-01 1.612e+06
1.123e-01 1.587e+06
1.128e-01 1.563e+06
1.133e-01 1.540e+06
1.138e-01 1.516e+06
1.143e-01 1.492e+06
1.148e-01 1.469e+06
1.153e-01 1.445e+06
1.158e-01 1.422e+06
1.163e-01 1.399e+06
1.168e-01 1.376e+06
1.173e-01 1.353e+06
1.178e-01 1.330e+06
1.183e-01 1.307e+06
1.188e-01 1.284e+06
1.193e-01 1.262e+06
1.198e-01 1.239e+06
1.202e-01 1.217e+06
1.207e-01 1.195e+06
1.212e-01 1.173e+06
1.217e-01 1.151e+06
1.222e-01 1.129e+06
1.227e-01 1.107e+06
1.232e-01 1.085e+06
1.237e-01 1.063e+06
1.242e-01 1.042e+06
1.247e-01 1.020e+06
1.253e-01 9.986e+05
1.258e-01 9.772e+05
1.263e-01 9.559e+05
1.268e-01 9.346e+05
1.273e-01 9.134e+05
1.278e-01 8.923e+05
1.283e-01 8.712e+05
1.288e-01 8.502e+05
1.293e-01 8.293e+05
1.298e-01 8.084e+05
1.303e-01 7.875e+05
1.308e-01 7.668e+05
1.313e-01 7.460e+05
