# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 16
# kV: 29
# x (cm): 0
# y (cm): 0
# z (cm): 100
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true
# Filtration: 0.63 mm Be + 0.05 mm Rh + 1.2 mm Polycarbonate (Makrolon or Lexan) + 675 mm Air Dry (Near Sea Level)
# Mid-bin Fluence
#  (MeV)   (a.u.)
1.250e-03 3.497e-261
1.750e-03 1.263e-102
2.250e-03 3.939e-48
2.750e-03 2.530e-24
3.250e-03 6.733e-49
3.750e-03 5.611e-36
4.250e-03 1.242e-23
4.750e-03 1.917e-15
5.250e-03 7.308e-10
5.750e-03 6.403e-06
6.250e-03 4.814e-03
6.750e-03 6.784e-01
7.250e-03 4.015e+01
7.750e-03 5.183e+02
8.250e-03 4.360e+04
8.750e-03 3.281e+04
9.250e-03 1.290e+05
9.750e-03 2.822e+06
1.025e-02 1.057e+06
1.075e-02 2.005e+06
1.125e-02 6.961e+06
1.175e-02 7.374e+06
1.225e-02 9.910e+06
1.275e-02 1.437e+07
1.325e-02 2.035e+07
1.375e-02 2.735e+07
1.425e-02 3.518e+07
1.475e-02 4.358e+07
1.525e-02 5.219e+07
1.575e-02 6.071e+07
1.625e-02 6.901e+07
1.675e-02 7.688e+07
1.725e-02 8.413e+07
1.775e-02 9.064e+07
1.825e-02 9.630e+07
1.875e-02 1.010e+08
1.925e-02 1.048e+08
1.975e-02 1.075e+08
2.025e-02 1.092e+08
2.075e-02 1.097e+08
2.125e-02 1.093e+08
2.175e-02 1.080e+08
2.225e-02 1.058e+08
2.275e-02 1.029e+08
2.325e-02 3.669e+06
2.375e-02 4.165e+06
2.425e-02 4.623e+06
2.475e-02 5.015e+06
2.525e-02 5.312e+06
2.575e-02 5.478e+06
2.625e-02 5.477e+06
2.675e-02 5.265e+06
2.725e-02 4.795e+06
2.775e-02 4.015e+06
2.825e-02 2.881e+06
2.875e-02 1.357e+06
