# CONCRETE, PORTLAND from NIST Database
1.063e-01 9.812e-03 1.439e-01 1.532e-02 0.000e+00
1.174e-01 8.132e-03 1.408e-01 1.117e-02 0.000e+00
1.296e-01 6.737e-03 1.376e-01 8.156e-03 0.000e+00
1.431e-01 5.573e-03 1.343e-01 5.957e-03 0.000e+00
1.500e-01 5.091e-03 1.326e-01 5.132e-03 0.000e+00
1.579e-01 4.611e-03 1.308e-01 4.364e-03 0.000e+00
1.743e-01 3.809e-03 1.272e-01 3.197e-03 0.000e+00
1.925e-01 3.140e-03 1.235e-01 2.343e-03 0.000e+00
2.000e-01 2.915e-03 1.221e-01 2.080e-03 0.000e+00
2.125e-01 2.590e-03 1.198e-01 1.723e-03 0.000e+00
2.345e-01 2.135e-03 1.161e-01 1.272e-03 0.000e+00
2.589e-01 1.758e-03 1.123e-01 9.406e-04 0.000e+00
2.858e-01 1.447e-03 1.085e-01 6.984e-04 0.000e+00
3.000e-01 1.315e-03 1.066e-01 6.045e-04 0.000e+00
3.155e-01 1.191e-03 1.047e-01 5.208e-04 0.000e+00
3.483e-01 9.790e-04 1.009e-01 3.902e-04 0.000e+00
3.845e-01 8.048e-04 9.714e-02 2.939e-04 0.000e+00
4.000e-01 7.441e-04 9.565e-02 2.629e-04 0.000e+00
4.245e-01 6.613e-04 9.344e-02 2.227e-04 0.000e+00
4.686e-01 5.434e-04 8.979e-02 1.700e-04 0.000e+00
5.000e-01 4.776e-04 8.743e-02 1.430e-04 0.000e+00
5.173e-01 4.463e-04 8.620e-02 1.309e-04 0.000e+00
5.710e-01 3.666e-04 8.266e-02 1.016e-04 0.000e+00
6.000e-01 3.322e-04 8.091e-02 8.960e-05 0.000e+00
6.304e-01 3.010e-04 7.919e-02 7.912e-05 0.000e+00
6.959e-01 2.472e-04 7.579e-02 6.208e-05 0.000e+00
7.682e-01 2.030e-04 7.247e-02 4.951e-05 0.000e+00
8.000e-01 1.872e-04 7.112e-02 4.543e-05 0.000e+00
8.480e-01 1.666e-04 6.922e-02 4.044e-05 0.000e+00
9.361e-01 1.367e-04 6.605e-02 3.306e-05 0.000e+00
1.000e+00 1.199e-04 6.397e-02 2.824e-05 0.000e+00
1.022e+00 1.148e-04 6.329e-02 2.667e-05 0.000e+00
1.033e+00 1.123e-04 6.296e-02 2.596e-05 5.565e-09
1.141e+00 9.212e-05 5.993e-02 2.111e-05 5.194e-06
1.250e+00 7.675e-05 5.721e-02 1.807e-05 2.772e-05
1.259e+00 7.566e-05 5.700e-02 1.785e-05 3.047e-05
1.390e+00 6.208e-05 5.413e-02 1.498e-05 8.537e-05
1.500e+00 5.331e-05 5.199e-02 1.307e-05 1.507e-04
1.535e+00 5.091e-05 5.136e-02 1.255e-05 1.747e-04
1.694e+00 4.180e-05 4.870e-02 1.061e-05 3.000e-04
1.870e+00 3.430e-05 4.611e-02 9.038e-06 4.631e-04
2.000e+00 2.999e-05 4.438e-02 8.127e-06 5.949e-04
