# BLOOD (ICRP) from NIST Database
1.296e-01 3.193e-03 1.517e-01 1.274e-03 0.000e+00
1.431e-01 2.633e-03 1.479e-01 9.229e-04 0.000e+00
1.500e-01 2.402e-03 1.460e-01 7.922e-04 0.000e+00
1.579e-01 2.173e-03 1.439e-01 6.710e-04 0.000e+00
1.743e-01 1.790e-03 1.399e-01 4.881e-04 0.000e+00
1.925e-01 1.472e-03 1.357e-01 3.552e-04 0.000e+00
2.000e-01 1.365e-03 1.341e-01 3.145e-04 0.000e+00
2.125e-01 1.211e-03 1.315e-01 2.596e-04 0.000e+00
2.345e-01 9.969e-04 1.273e-01 1.905e-04 0.000e+00
2.589e-01 8.194e-04 1.231e-01 1.401e-04 0.000e+00
2.858e-01 6.735e-04 1.189e-01 1.035e-04 0.000e+00
3.000e-01 6.116e-04 1.168e-01 8.936e-05 0.000e+00
3.155e-01 5.534e-04 1.147e-01 7.681e-05 0.000e+00
3.483e-01 4.545e-04 1.105e-01 5.729e-05 0.000e+00
3.845e-01 3.733e-04 1.064e-01 4.298e-05 0.000e+00
4.000e-01 3.450e-04 1.048e-01 3.838e-05 0.000e+00
4.245e-01 3.065e-04 1.023e-01 3.243e-05 0.000e+00
4.686e-01 2.517e-04 9.834e-02 2.467e-05 0.000e+00
5.000e-01 2.211e-04 9.574e-02 2.073e-05 0.000e+00
5.173e-01 2.066e-04 9.438e-02 1.895e-05 0.000e+00
5.710e-01 1.696e-04 9.049e-02 1.468e-05 0.000e+00
6.000e-01 1.537e-04 8.857e-02 1.292e-05 0.000e+00
6.304e-01 1.392e-04 8.667e-02 1.138e-05 0.000e+00
6.959e-01 1.143e-04 8.295e-02 8.876e-06 0.000e+00
7.682e-01 9.382e-05 7.931e-02 7.085e-06 0.000e+00
8.000e-01 8.651e-05 7.784e-02 6.529e-06 0.000e+00
8.480e-01 7.699e-05 7.575e-02 5.869e-06 0.000e+00
9.361e-01 6.318e-05 7.227e-02 4.836e-06 0.000e+00
1.000e+00 5.538e-05 7.000e-02 4.059e-06 0.000e+00
1.022e+00 5.303e-05 6.927e-02 3.791e-06 0.000e+00
1.033e+00 5.192e-05 6.890e-02 3.673e-06 3.428e-09
1.141e+00 4.257e-05 6.558e-02 2.960e-06 3.247e-06
1.250e+00 3.547e-05 6.259e-02 2.573e-06 1.753e-05
1.259e+00 3.496e-05 6.236e-02 2.544e-06 1.929e-05
1.390e+00 2.867e-05 5.922e-02 2.143e-06 5.457e-05
1.500e+00 2.462e-05 5.689e-02 1.865e-06 9.688e-05
1.535e+00 2.351e-05 5.619e-02 1.791e-06 1.125e-04
1.694e+00 1.931e-05 5.330e-02 1.518e-06 1.939e-04
1.870e+00 1.585e-05 5.046e-02 1.299e-06 2.999e-04
2.000e+00 1.385e-05 4.856e-02 1.171e-06 3.855e-04
2.044e+00 1.326e-05 4.794e-02 1.132e-06 4.154e-04
2.065e+00 1.299e-05 4.766e-02 1.115e-06 4.298e-04
2.279e+00 1.066e-05 4.499e-02 9.616e-07 5.809e-04
2.516e+00 8.749e-06 4.244e-02 8.330e-07 7.542e-04
2.778e+00 7.179e-06 4.001e-02 7.246e-07 9.493e-04
3.000e+00 6.157e-06 3.819e-02 6.520e-07 1.115e-03
3.066e+00 5.895e-06 3.769e-02 6.331e-07 1.164e-03
3.385e+00 4.837e-06 3.544e-02 5.546e-07 1.401e-03
3.737e+00 3.969e-06 3.329e-02 4.874e-07 1.656e-03
4.000e+00 3.464e-06 3.186e-02 4.466e-07 1.842e-03
4.125e+00 3.257e-06 3.123e-02 4.295e-07 1.928e-03
4.554e+00 2.672e-06 2.927e-02 3.794e-07 2.218e-03
5.000e+00 2.216e-06 2.751e-02 3.382e-07 2.506e-03
5.027e+00 2.193e-06 2.742e-02 3.360e-07 2.523e-03
5.549e+00 1.800e-06 2.565e-02 2.981e-07 2.847e-03
6.000e+00 1.539e-06 2.432e-02 2.716e-07 3.113e-03
6.126e+00 1.477e-06 2.397e-02 2.650e-07 3.184e-03
6.762e+00 1.212e-06 2.239e-02 2.360e-07 3.534e-03
7.000e+00 1.131e-06 2.186e-02 2.267e-07 3.659e-03
7.465e+00 9.944e-07 2.089e-02 2.105e-07 3.895e-03
8.000e+00 8.659e-07 1.989e-02 1.944e-07 4.155e-03
8.241e+00 8.160e-07 1.948e-02 1.880e-07 4.268e-03
9.000e+00 6.842e-07 1.829e-02 1.702e-07 4.610e-03
9.097e+00 6.697e-07 1.815e-02 1.681e-07 4.652e-03
1.000e+01 5.542e-07 1.694e-02 1.512e-07 5.022e-03
1.004e+01 5.498e-07 1.689e-02 1.506e-07 5.038e-03
1.100e+01 4.579e-07 1.580e-02 1.361e-07 5.401e-03
1.109e+01 4.505e-07 1.571e-02 1.349e-07 5.434e-03
1.200e+01 3.848e-07 1.482e-02 1.237e-07 5.751e-03
1.224e+01 3.699e-07 1.460e-02 1.210e-07 5.830e-03
1.300e+01 3.279e-07 1.396e-02 1.133e-07 6.077e-03
1.351e+01 3.036e-07 1.356e-02 1.087e-07 6.234e-03
1.400e+01 2.827e-07 1.321e-02 1.046e-07 6.380e-03
1.491e+01 2.493e-07 1.260e-02 9.770e-08 6.639e-03
1.500e+01 2.463e-07 1.254e-02 9.707e-08 6.665e-03
1.600e+01 2.165e-07 1.194e-02 9.057e-08 6.934e-03
1.646e+01 2.045e-07 1.169e-02 8.786e-08 7.053e-03
1.800e+01 1.710e-07 1.091e-02 7.987e-08 7.426e-03
1.818e+01 1.677e-07 1.083e-02 7.903e-08 7.468e-03
2.000e+01 1.385e-07 1.006e-02 7.141e-08 7.869e-03
