# SODIUM IODIDE from NIST Database
2.000e-01 2.654e-02 1.000e-01 2.019e-01 0.000e+00
2.125e-01 2.371e-02 9.840e-02 1.700e-01 0.000e+00
2.345e-01 1.973e-02 9.568e-02 1.287e-01 0.000e+00
2.589e-01 1.637e-02 9.288e-02 9.749e-02 0.000e+00
2.858e-01 1.357e-02 9.002e-02 7.408e-02 0.000e+00
3.000e-01 1.238e-02 8.860e-02 6.481e-02 0.000e+00
3.155e-01 1.124e-02 8.712e-02 5.645e-02 0.000e+00
3.483e-01 9.302e-03 8.420e-02 4.317e-02 0.000e+00
3.845e-01 7.691e-03 8.127e-02 3.315e-02 0.000e+00
4.000e-01 7.126e-03 8.009e-02 2.987e-02 0.000e+00
4.245e-01 6.352e-03 7.833e-02 2.557e-02 0.000e+00
4.686e-01 5.244e-03 7.541e-02 1.983e-02 0.000e+00
5.000e-01 4.622e-03 7.351e-02 1.684e-02 0.000e+00
5.173e-01 4.326e-03 7.252e-02 1.548e-02 0.000e+00
5.710e-01 3.568e-03 6.965e-02 1.216e-02 0.000e+00
6.000e-01 3.238e-03 6.822e-02 1.079e-02 0.000e+00
6.304e-01 2.940e-03 6.680e-02 9.589e-03 0.000e+00
6.959e-01 2.422e-03 6.399e-02 7.609e-03 0.000e+00
7.682e-01 1.994e-03 6.123e-02 6.097e-03 0.000e+00
8.000e-01 1.840e-03 6.012e-02 5.588e-03 0.000e+00
8.480e-01 1.640e-03 5.854e-02 4.949e-03 0.000e+00
9.361e-01 1.349e-03 5.590e-02 4.032e-03 0.000e+00
1.000e+00 1.184e-03 5.413e-02 3.491e-03 0.000e+00
1.022e+00 1.134e-03 5.355e-02 3.323e-03 0.000e+00
1.033e+00 1.111e-03 5.327e-02 3.244e-03 4.072e-08
1.141e+00 9.121e-04 5.071e-02 2.652e-03 3.382e-05
1.250e+00 7.607e-04 4.846e-02 2.240e-03 1.634e-04
1.259e+00 7.499e-04 4.828e-02 2.211e-03 1.784e-04
1.390e+00 6.159e-04 4.588e-02 1.843e-03 4.562e-04
1.500e+00 5.293e-04 4.407e-02 1.604e-03 7.594e-04
1.535e+00 5.055e-04 4.353e-02 1.538e-03 8.664e-04
1.694e+00 4.155e-04 4.128e-02 1.293e-03 1.402e-03
1.870e+00 3.412e-04 3.909e-02 1.092e-03 2.061e-03
2.000e+00 2.985e-04 3.764e-02 9.761e-04 2.575e-03
2.044e+00 2.858e-04 3.717e-02 9.415e-04 2.751e-03
2.065e+00 2.800e-04 3.696e-02 9.258e-04 2.835e-03
2.279e+00 2.300e-04 3.492e-02 7.892e-04 3.698e-03
2.516e+00 1.888e-04 3.295e-02 6.757e-04 4.650e-03
2.778e+00 1.549e-04 3.105e-02 5.808e-04 5.680e-03
3.000e+00 1.329e-04 2.963e-02 5.178e-04 6.528e-03
3.066e+00 1.272e-04 2.924e-02 5.014e-04 6.776e-03
3.385e+00 1.044e-04 2.749e-02 4.341e-04 7.945e-03
3.737e+00 8.569e-05 2.582e-02 3.770e-04 9.176e-03
4.000e+00 7.480e-05 2.472e-02 3.428e-04 1.005e-02
4.125e+00 7.034e-05 2.423e-02 3.285e-04 1.047e-02
4.554e+00 5.771e-05 2.272e-02 2.871e-04 1.180e-02
5.000e+00 4.787e-05 2.135e-02 2.535e-04 1.311e-02
5.027e+00 4.736e-05 2.128e-02 2.517e-04 1.320e-02
5.549e+00 3.887e-05 1.991e-02 2.212e-04 1.461e-02
6.000e+00 3.325e-05 1.887e-02 2.000e-04 1.576e-02
6.126e+00 3.190e-05 1.861e-02 1.948e-04 1.607e-02
6.762e+00 2.618e-05 1.738e-02 1.720e-04 1.758e-02
7.000e+00 2.443e-05 1.697e-02 1.647e-04 1.812e-02
7.465e+00 2.148e-05 1.622e-02 1.521e-04 1.914e-02
8.000e+00 1.871e-05 1.544e-02 1.398e-04 2.026e-02
8.241e+00 1.763e-05 1.512e-02 1.348e-04 2.074e-02
9.000e+00 1.478e-05 1.420e-02 1.212e-04 2.219e-02
9.097e+00 1.447e-05 1.409e-02 1.197e-04 2.236e-02
1.000e+01 1.197e-05 1.315e-02 1.069e-04 2.396e-02
1.004e+01 1.188e-05 1.311e-02 1.064e-04 2.403e-02
1.100e+01 9.896e-06 1.227e-02 9.565e-05 2.560e-02
1.109e+01 9.736e-06 1.219e-02 9.475e-05 2.573e-02
1.200e+01 8.315e-06 1.150e-02 8.648e-05 2.710e-02
1.224e+01 7.992e-06 1.134e-02 8.453e-05 2.745e-02
1.300e+01 7.085e-06 1.084e-02 7.888e-05 2.851e-02
1.351e+01 6.562e-06 1.053e-02 7.549e-05 2.918e-02
1.400e+01 6.111e-06 1.025e-02 7.249e-05 2.981e-02
1.491e+01 5.385e-06 9.781e-03 6.752e-05 3.090e-02
1.500e+01 5.321e-06 9.737e-03 6.706e-05 3.101e-02
1.600e+01 4.677e-06 9.271e-03 6.240e-05 3.212e-02
1.646e+01 4.420e-06 9.072e-03 6.046e-05 3.262e-02
1.800e+01 3.696e-06 8.471e-03 5.472e-05 3.417e-02
1.818e+01 3.623e-06 8.407e-03 5.412e-05 3.433e-02
2.000e+01 2.994e-06 7.811e-03 4.873e-05 3.599e-02
