# LEAD OXIDE from NIST Database
1.296e-01 1.265e-01 9.973e-02 2.472e+00 0.000e+00
1.431e-01 1.061e-01 9.830e-02 1.907e+00 0.000e+00
1.500e-01 9.760e-02 9.754e-02 1.685e+00 0.000e+00
1.579e-01 8.905e-02 9.666e-02 1.471e+00 0.000e+00
1.743e-01 7.460e-02 9.482e-02 1.132e+00 0.000e+00
1.925e-01 6.239e-02 9.279e-02 8.696e-01 0.000e+00
2.000e-01 5.823e-02 9.197e-02 7.857e-01 0.000e+00
2.125e-01 5.218e-02 9.062e-02 6.692e-01 0.000e+00
2.345e-01 4.364e-02 8.833e-02 5.162e-01 0.000e+00
2.589e-01 3.643e-02 8.593e-02 3.984e-01 0.000e+00
2.858e-01 3.039e-02 8.345e-02 3.082e-01 0.000e+00
3.000e-01 2.779e-02 8.221e-02 2.720e-01 0.000e+00
3.155e-01 2.531e-02 8.091e-02 2.390e-01 0.000e+00
3.483e-01 2.105e-02 7.834e-02 1.859e-01 0.000e+00
3.845e-01 1.749e-02 7.573e-02 1.451e-01 0.000e+00
4.000e-01 1.624e-02 7.468e-02 1.316e-01 0.000e+00
4.245e-01 1.451e-02 7.311e-02 1.137e-01 0.000e+00
4.686e-01 1.203e-02 7.048e-02 8.947e-02 0.000e+00
5.000e-01 1.063e-02 6.875e-02 7.665e-02 0.000e+00
5.173e-01 9.963e-03 6.785e-02 7.074e-02 0.000e+00
5.710e-01 8.244e-03 6.522e-02 5.621e-02 0.000e+00
6.000e-01 7.494e-03 6.392e-02 5.019e-02 0.000e+00
6.304e-01 6.814e-03 6.262e-02 4.487e-02 0.000e+00
6.959e-01 5.629e-03 6.006e-02 3.602e-02 0.000e+00
7.682e-01 4.649e-03 5.751e-02 2.906e-02 0.000e+00
8.000e-01 4.297e-03 5.647e-02 2.665e-02 0.000e+00
8.480e-01 3.837e-03 5.498e-02 2.357e-02 0.000e+00
9.361e-01 3.165e-03 5.250e-02 1.921e-02 0.000e+00
1.000e+00 2.781e-03 5.092e-02 1.680e-02 0.000e+00
1.022e+00 2.664e-03 5.041e-02 1.608e-02 0.000e+00
1.033e+00 2.609e-03 5.016e-02 1.574e-02 7.821e-08
1.141e+00 2.147e-03 4.779e-02 1.293e-02 6.946e-05
1.250e+00 1.795e-03 4.563e-02 1.085e-02 3.524e-04
1.259e+00 1.770e-03 4.546e-02 1.070e-02 3.858e-04
1.390e+00 1.456e-03 4.322e-02 8.884e-03 1.013e-03
1.500e+00 1.253e-03 4.153e-02 7.725e-03 1.685e-03
1.535e+00 1.197e-03 4.103e-02 7.409e-03 1.914e-03
1.694e+00 9.852e-04 3.889e-02 6.216e-03 2.996e-03
1.870e+00 8.102e-04 3.682e-02 5.237e-03 4.204e-03
2.000e+00 7.091e-04 3.549e-02 4.673e-03 5.090e-03
2.044e+00 6.791e-04 3.507e-02 4.506e-03 5.389e-03
2.065e+00 6.655e-04 3.487e-02 4.430e-03 5.531e-03
2.279e+00 5.471e-04 3.299e-02 3.766e-03 6.938e-03
2.516e+00 4.495e-04 3.112e-02 3.212e-03 8.411e-03
2.778e+00 3.691e-04 2.931e-02 2.749e-03 9.939e-03
3.000e+00 3.167e-04 2.796e-02 2.443e-03 1.117e-02
3.066e+00 3.033e-04 2.759e-02 2.363e-03 1.152e-02
3.385e+00 2.490e-04 2.594e-02 2.038e-03 1.316e-02
3.737e+00 2.044e-04 2.437e-02 1.763e-03 1.487e-02
4.000e+00 1.784e-04 2.333e-02 1.599e-03 1.608e-02
4.125e+00 1.678e-04 2.288e-02 1.531e-03 1.663e-02
4.554e+00 1.377e-04 2.145e-02 1.333e-03 1.844e-02
5.000e+00 1.143e-04 2.016e-02 1.172e-03 2.021e-02
5.027e+00 1.131e-04 2.008e-02 1.164e-03 2.031e-02
5.549e+00 9.284e-05 1.879e-02 1.019e-03 2.222e-02
6.000e+00 7.942e-05 1.782e-02 9.185e-04 2.377e-02
6.126e+00 7.619e-05 1.757e-02 8.938e-04 2.419e-02
6.762e+00 6.255e-05 1.641e-02 7.863e-04 2.620e-02
7.000e+00 5.837e-05 1.602e-02 7.522e-04 2.692e-02
7.465e+00 5.133e-05 1.531e-02 6.932e-04 2.827e-02
8.000e+00 4.470e-05 1.458e-02 6.354e-04 2.975e-02
8.241e+00 4.212e-05 1.427e-02 6.123e-04 3.040e-02
9.000e+00 3.532e-05 1.340e-02 5.491e-04 3.234e-02
9.097e+00 3.457e-05 1.330e-02 5.419e-04 3.258e-02
1.000e+01 2.862e-05 1.242e-02 4.830e-04 3.472e-02
1.004e+01 2.839e-05 1.238e-02 4.807e-04 3.481e-02
1.100e+01 2.365e-05 1.158e-02 4.309e-04 3.691e-02
1.109e+01 2.326e-05 1.151e-02 4.267e-04 3.711e-02
1.200e+01 1.987e-05 1.086e-02 3.885e-04 3.897e-02
1.224e+01 1.910e-05 1.070e-02 3.796e-04 3.944e-02
1.300e+01 1.693e-05 1.023e-02 3.537e-04 4.089e-02
1.351e+01 1.568e-05 9.945e-03 3.383e-04 4.182e-02
1.400e+01 1.460e-05 9.683e-03 3.246e-04 4.269e-02
1.491e+01 1.287e-05 9.234e-03 3.018e-04 4.421e-02
1.500e+01 1.272e-05 9.192e-03 2.998e-04 4.435e-02
1.600e+01 1.118e-05 8.754e-03 2.785e-04 4.591e-02
1.646e+01 1.056e-05 8.567e-03 2.696e-04 4.659e-02
1.800e+01 8.834e-06 8.001e-03 2.437e-04 4.874e-02
1.818e+01 8.660e-06 7.941e-03 2.410e-04 4.898e-02
2.000e+01 7.156e-06 7.380e-03 2.166e-04 5.127e-02
