# WATER, LIQUID from NIST Database
5.710e-01 1.724e-04 9.133e-02 1.333e-05 0.000e+00
6.000e-01 1.561e-04 8.939e-02 1.173e-05 0.000e+00
6.304e-01 1.415e-04 8.748e-02 1.032e-05 0.000e+00
6.959e-01 1.161e-04 8.372e-02 8.040e-06 0.000e+00
7.682e-01 9.532e-05 8.004e-02 6.419e-06 0.000e+00
8.000e-01 8.790e-05 7.856e-02 5.920e-06 0.000e+00
8.480e-01 7.822e-05 7.646e-02 5.332e-06 0.000e+00
9.361e-01 6.419e-05 7.295e-02 4.401e-06 0.000e+00
1.000e+00 5.627e-05 7.066e-02 3.681e-06 0.000e+00
1.022e+00 5.388e-05 6.991e-02 3.430e-06 0.000e+00
1.033e+00 5.275e-05 6.954e-02 3.320e-06 3.473e-09
1.141e+00 4.325e-05 6.619e-02 2.671e-06 3.290e-06
1.250e+00 3.603e-05 6.318e-02 2.329e-06 1.777e-05
1.259e+00 3.552e-05 6.295e-02 2.303e-06 1.955e-05
1.390e+00 2.913e-05 5.978e-02 1.941e-06 5.531e-05
1.500e+00 2.501e-05 5.742e-02 1.690e-06 9.820e-05
1.535e+00 2.389e-05 5.672e-02 1.622e-06 1.140e-04
1.694e+00 1.962e-05 5.380e-02 1.376e-06 1.966e-04
1.870e+00 1.610e-05 5.094e-02 1.178e-06 3.041e-04
2.000e+00 1.407e-05 4.901e-02 1.063e-06 3.908e-04
2.044e+00 1.347e-05 4.839e-02 1.028e-06 4.212e-04
2.065e+00 1.320e-05 4.810e-02 1.012e-06 4.358e-04
2.279e+00 1.083e-05 4.540e-02 8.737e-07 5.889e-04
2.516e+00 8.889e-06 4.283e-02 7.575e-07 7.646e-04
2.778e+00 7.293e-06 4.038e-02 6.594e-07 9.624e-04
3.000e+00 6.255e-06 3.855e-02 5.937e-07 1.130e-03
3.066e+00 5.989e-06 3.804e-02 5.765e-07 1.181e-03
3.385e+00 4.914e-06 3.577e-02 5.055e-07 1.420e-03
3.737e+00 4.032e-06 3.360e-02 4.445e-07 1.678e-03
4.000e+00 3.519e-06 3.216e-02 4.075e-07 1.867e-03
4.125e+00 3.309e-06 3.152e-02 3.920e-07 1.954e-03
4.554e+00 2.715e-06 2.955e-02 3.464e-07 2.247e-03
5.000e+00 2.252e-06 2.777e-02 3.090e-07 2.541e-03
5.027e+00 2.228e-06 2.767e-02 3.069e-07 2.557e-03
5.549e+00 1.828e-06 2.589e-02 2.725e-07 2.886e-03
6.000e+00 1.564e-06 2.454e-02 2.484e-07 3.155e-03
6.126e+00 1.500e-06 2.420e-02 2.424e-07 3.228e-03
6.762e+00 1.231e-06 2.260e-02 2.160e-07 3.582e-03
7.000e+00 1.149e-06 2.206e-02 2.075e-07 3.709e-03
7.465e+00 1.010e-06 2.109e-02 1.927e-07 3.948e-03
8.000e+00 8.796e-07 2.008e-02 1.780e-07 4.211e-03
8.241e+00 8.290e-07 1.966e-02 1.721e-07 4.326e-03
9.000e+00 6.951e-07 1.846e-02 1.559e-07 4.673e-03
9.097e+00 6.804e-07 1.832e-02 1.540e-07 4.715e-03
1.000e+01 5.630e-07 1.710e-02 1.386e-07 5.090e-03
1.004e+01 5.585e-07 1.705e-02 1.380e-07 5.106e-03
1.100e+01 4.652e-07 1.595e-02 1.248e-07 5.474e-03
1.109e+01 4.577e-07 1.585e-02 1.236e-07 5.507e-03
1.200e+01 3.909e-07 1.496e-02 1.134e-07 5.828e-03
1.224e+01 3.758e-07 1.474e-02 1.110e-07 5.909e-03
1.300e+01 3.331e-07 1.409e-02 1.039e-07 6.158e-03
1.351e+01 3.084e-07 1.369e-02 9.968e-08 6.318e-03
1.400e+01 2.872e-07 1.333e-02 9.591e-08 6.467e-03
1.491e+01 2.532e-07 1.271e-02 8.963e-08 6.729e-03
1.500e+01 2.502e-07 1.266e-02 8.906e-08 6.755e-03
1.600e+01 2.199e-07 1.205e-02 8.311e-08 7.028e-03
1.646e+01 2.078e-07 1.180e-02 8.063e-08 7.148e-03
1.800e+01 1.737e-07 1.102e-02 7.331e-08 7.526e-03
1.818e+01 1.703e-07 1.093e-02 7.254e-08 7.569e-03
2.000e+01 1.407e-07 1.016e-02 6.556e-08 7.974e-03
