# URANIUM DICARBIDE from NIST Database
1.000e-01 2.292e-01 9.982e-02 1.460e+00 0.000e+00
1.063e-01 2.069e-01 9.942e-02 1.238e+00 0.000e+00
1.156e-01 1.796e-01 9.870e-02 9.864e-01 0.000e+00
1.156e-01 1.796e-01 9.870e-02 4.180e+00 0.000e+00
1.174e-01 1.750e-01 9.855e-02 4.020e+00 0.000e+00
1.296e-01 1.477e-01 9.743e-02 3.128e+00 0.000e+00
1.431e-01 1.244e-01 9.608e-02 2.431e+00 0.000e+00
1.500e-01 1.146e-01 9.536e-02 2.156e+00 0.000e+00
1.579e-01 1.047e-01 9.452e-02 1.891e+00 0.000e+00
1.743e-01 8.781e-02 9.276e-02 1.468e+00 0.000e+00
1.925e-01 7.350e-02 9.083e-02 1.138e+00 0.000e+00
2.000e-01 6.862e-02 9.004e-02 1.032e+00 0.000e+00
2.125e-01 6.152e-02 8.875e-02 8.831e-01 0.000e+00
2.345e-01 5.150e-02 8.655e-02 6.863e-01 0.000e+00
2.589e-01 4.305e-02 8.424e-02 5.334e-01 0.000e+00
2.858e-01 3.597e-02 8.183e-02 4.155e-01 0.000e+00
3.000e-01 3.292e-02 8.063e-02 3.679e-01 0.000e+00
3.155e-01 3.003e-02 7.937e-02 3.245e-01 0.000e+00
3.483e-01 2.504e-02 7.685e-02 2.541e-01 0.000e+00
3.845e-01 2.085e-02 7.430e-02 1.997e-01 0.000e+00
4.000e-01 1.938e-02 7.328e-02 1.815e-01 0.000e+00
4.245e-01 1.734e-02 7.174e-02 1.575e-01 0.000e+00
4.686e-01 1.441e-02 6.918e-02 1.247e-01 0.000e+00
5.000e-01 1.275e-02 6.749e-02 1.073e-01 0.000e+00
5.173e-01 1.196e-02 6.661e-02 9.917e-02 0.000e+00
5.710e-01 9.913e-03 6.406e-02 7.923e-02 0.000e+00
6.000e-01 9.021e-03 6.278e-02 7.092e-02 0.000e+00
6.304e-01 8.208e-03 6.151e-02 6.357e-02 0.000e+00
6.959e-01 6.792e-03 5.900e-02 5.125e-02 0.000e+00
7.682e-01 5.617e-03 5.651e-02 4.149e-02 0.000e+00
8.000e-01 5.195e-03 5.550e-02 3.808e-02 0.000e+00
8.480e-01 4.643e-03 5.406e-02 3.371e-02 0.000e+00
9.361e-01 3.835e-03 5.165e-02 2.751e-02 0.000e+00
1.000e+00 3.373e-03 5.007e-02 2.411e-02 0.000e+00
1.022e+00 3.232e-03 4.955e-02 2.310e-02 0.000e+00
1.033e+00 3.165e-03 4.929e-02 2.262e-02 8.342e-08
1.141e+00 2.608e-03 4.696e-02 1.862e-02 7.739e-05
1.250e+00 2.182e-03 4.488e-02 1.561e-02 4.060e-04
1.259e+00 2.152e-03 4.471e-02 1.540e-02 4.454e-04
1.390e+00 1.773e-03 4.251e-02 1.277e-02 1.196e-03
1.500e+00 1.526e-03 4.086e-02 1.110e-02 2.005e-03
1.535e+00 1.459e-03 4.037e-02 1.064e-02 2.278e-03
1.694e+00 1.201e-03 3.832e-02 8.926e-03 3.543e-03
1.870e+00 9.885e-04 3.629e-02 7.516e-03 4.904e-03
2.000e+00 8.659e-04 3.493e-02 6.704e-03 5.880e-03
2.044e+00 8.295e-04 3.449e-02 6.462e-03 6.209e-03
2.065e+00 8.130e-04 3.428e-02 6.352e-03 6.364e-03
2.279e+00 6.691e-04 3.237e-02 5.396e-03 7.883e-03
2.516e+00 5.499e-04 3.056e-02 4.599e-03 9.434e-03
2.778e+00 4.517e-04 2.882e-02 3.934e-03 1.102e-02
3.000e+00 3.876e-04 2.752e-02 3.493e-03 1.226e-02
3.066e+00 3.712e-04 2.715e-02 3.379e-03 1.262e-02
3.385e+00 3.048e-04 2.554e-02 2.910e-03 1.429e-02
3.737e+00 2.504e-04 2.399e-02 2.515e-03 1.601e-02
4.000e+00 2.187e-04 2.296e-02 2.279e-03 1.723e-02
4.125e+00 2.057e-04 2.251e-02 2.181e-03 1.778e-02
4.554e+00 1.688e-04 2.110e-02 1.897e-03 1.961e-02
5.000e+00 1.401e-04 1.984e-02 1.666e-03 2.138e-02
5.027e+00 1.386e-04 1.977e-02 1.654e-03 2.149e-02
5.549e+00 1.138e-04 1.850e-02 1.446e-03 2.340e-02
6.000e+00 9.740e-05 1.754e-02 1.303e-03 2.496e-02
6.126e+00 9.344e-05 1.729e-02 1.268e-03 2.537e-02
6.762e+00 7.671e-05 1.615e-02 1.114e-03 2.741e-02
7.000e+00 7.159e-05 1.576e-02 1.066e-03 2.814e-02
7.465e+00 6.295e-05 1.507e-02 9.812e-04 2.950e-02
8.000e+00 5.482e-05 1.435e-02 8.988e-04 3.099e-02
8.241e+00 5.167e-05 1.405e-02 8.659e-04 3.165e-02
9.000e+00 4.334e-05 1.319e-02 7.761e-04 3.363e-02
9.097e+00 4.242e-05 1.309e-02 7.659e-04 3.387e-02
1.000e+01 3.510e-05 1.222e-02 6.821e-04 3.604e-02
1.004e+01 3.482e-05 1.219e-02 6.788e-04 3.614e-02
1.100e+01 2.901e-05 1.140e-02 6.078e-04 3.831e-02
1.109e+01 2.854e-05 1.133e-02 6.019e-04 3.850e-02
1.200e+01 2.438e-05 1.069e-02 5.479e-04 4.038e-02
1.224e+01 2.344e-05 1.054e-02 5.352e-04 4.087e-02
1.300e+01 2.078e-05 1.007e-02 4.985e-04 4.234e-02
1.351e+01 1.924e-05 9.787e-03 4.765e-04 4.330e-02
1.400e+01 1.792e-05 9.529e-03 4.571e-04 4.419e-02
1.491e+01 1.580e-05 9.087e-03 4.251e-04 4.575e-02
1.500e+01 1.561e-05 9.046e-03 4.222e-04 4.591e-02
1.600e+01 1.372e-05 8.615e-03 3.918e-04 4.751e-02
1.646e+01 1.296e-05 8.431e-03 3.793e-04 4.821e-02
1.800e+01 1.084e-05 7.874e-03 3.426e-04 5.042e-02
1.818e+01 1.063e-05 7.814e-03 3.388e-04 5.066e-02
2.000e+01 8.781e-06 7.261e-03 3.045e-04 5.302e-02
