# CALCIUM CARBONATE from NIST Database
4.686e-01 7.052e-04 8.919e-02 3.535e-04 0.000e+00
5.000e-01 6.199e-04 8.685e-02 2.976e-04 0.000e+00
5.173e-01 5.794e-04 8.563e-02 2.723e-04 0.000e+00
5.710e-01 4.761e-04 8.212e-02 2.114e-04 0.000e+00
6.000e-01 4.315e-04 8.038e-02 1.866e-04 0.000e+00
6.304e-01 3.911e-04 7.867e-02 1.649e-04 0.000e+00
6.959e-01 3.212e-04 7.529e-02 1.295e-04 0.000e+00
7.682e-01 2.638e-04 7.199e-02 1.033e-04 0.000e+00
8.000e-01 2.432e-04 7.066e-02 9.473e-05 0.000e+00
8.480e-01 2.165e-04 6.876e-02 8.416e-05 0.000e+00
9.361e-01 1.777e-04 6.561e-02 6.869e-05 0.000e+00
1.000e+00 1.558e-04 6.356e-02 5.889e-05 0.000e+00
1.022e+00 1.492e-04 6.289e-02 5.574e-05 0.000e+00
1.033e+00 1.461e-04 6.256e-02 5.430e-05 6.713e-09
1.141e+00 1.198e-04 5.955e-02 4.422e-05 6.169e-06
1.250e+00 9.981e-05 5.684e-02 3.774e-05 3.251e-05
1.259e+00 9.839e-05 5.663e-02 3.728e-05 3.571e-05
1.390e+00 8.073e-05 5.378e-02 3.126e-05 9.907e-05
1.500e+00 6.933e-05 5.166e-02 2.727e-05 1.740e-04
1.535e+00 6.621e-05 5.103e-02 2.619e-05 2.015e-04
1.694e+00 5.437e-05 4.839e-02 2.213e-05 3.450e-04
1.870e+00 4.462e-05 4.582e-02 1.882e-05 5.321e-04
2.000e+00 3.902e-05 4.409e-02 1.691e-05 6.836e-04
2.044e+00 3.736e-05 4.354e-02 1.635e-05 7.366e-04
2.065e+00 3.660e-05 4.329e-02 1.609e-05 7.621e-04
2.279e+00 3.005e-05 4.087e-02 1.383e-05 1.027e-03
2.516e+00 2.466e-05 3.856e-02 1.193e-05 1.328e-03
2.778e+00 2.023e-05 3.635e-02 1.033e-05 1.661e-03
3.000e+00 1.735e-05 3.469e-02 9.264e-06 1.942e-03
3.066e+00 1.661e-05 3.423e-02 8.986e-06 2.025e-03
3.385e+00 1.363e-05 3.219e-02 7.839e-06 2.424e-03
3.737e+00 1.118e-05 3.024e-02 6.862e-06 2.851e-03
4.000e+00 9.760e-06 2.894e-02 6.273e-06 3.162e-03
4.125e+00 9.178e-06 2.837e-02 6.026e-06 3.306e-03
4.554e+00 7.529e-06 2.659e-02 5.306e-06 3.785e-03
5.000e+00 6.245e-06 2.499e-02 4.717e-06 4.261e-03
5.027e+00 6.178e-06 2.490e-02 4.685e-06 4.289e-03
5.549e+00 5.071e-06 2.330e-02 4.145e-06 4.819e-03
6.000e+00 4.337e-06 2.209e-02 3.768e-06 5.254e-03
6.126e+00 4.161e-06 2.178e-02 3.674e-06 5.371e-03
6.762e+00 3.414e-06 2.034e-02 3.263e-06 5.940e-03
7.000e+00 3.186e-06 1.986e-02 3.132e-06 6.143e-03
7.465e+00 2.802e-06 1.898e-02 2.903e-06 6.527e-03
8.000e+00 2.439e-06 1.807e-02 2.678e-06 6.947e-03
8.241e+00 2.299e-06 1.769e-02 2.587e-06 7.130e-03
9.000e+00 1.927e-06 1.661e-02 2.337e-06 7.680e-03
9.097e+00 1.887e-06 1.648e-02 2.309e-06 7.746e-03
1.000e+01 1.562e-06 1.539e-02 2.073e-06 8.345e-03
1.004e+01 1.549e-06 1.535e-02 2.063e-06 8.369e-03
1.100e+01 1.290e-06 1.435e-02 1.862e-06 8.951e-03
1.109e+01 1.270e-06 1.427e-02 1.845e-06 9.003e-03
1.200e+01 1.084e-06 1.346e-02 1.690e-06 9.509e-03
1.224e+01 1.042e-06 1.327e-02 1.653e-06 9.636e-03
1.300e+01 9.241e-07 1.268e-02 1.546e-06 1.002e-02
1.351e+01 8.554e-07 1.232e-02 1.482e-06 1.028e-02
1.400e+01 7.964e-07 1.200e-02 1.425e-06 1.051e-02
1.491e+01 7.023e-07 1.144e-02 1.330e-06 1.092e-02
1.500e+01 6.939e-07 1.139e-02 1.322e-06 1.096e-02
1.600e+01 6.099e-07 1.085e-02 1.232e-06 1.139e-02
1.646e+01 5.763e-07 1.062e-02 1.195e-06 1.157e-02
1.800e+01 4.819e-07 9.913e-03 1.084e-06 1.217e-02
1.818e+01 4.724e-07 9.838e-03 1.073e-06 1.223e-02
2.000e+01 3.903e-07 9.142e-03 9.685e-07 1.286e-02
