# BERYLLIUM OXIDE from NIST Database
5.710e-01 1.440e-04 7.894e-02 9.905e-06 0.000e+00
6.000e-01 1.304e-04 7.726e-02 8.716e-06 0.000e+00
6.304e-01 1.182e-04 7.561e-02 7.667e-06 0.000e+00
6.959e-01 9.700e-05 7.236e-02 5.971e-06 0.000e+00
7.682e-01 7.962e-05 6.919e-02 4.768e-06 0.000e+00
8.000e-01 7.341e-05 6.791e-02 4.399e-06 0.000e+00
8.480e-01 6.533e-05 6.609e-02 3.965e-06 0.000e+00
9.361e-01 5.361e-05 6.306e-02 3.275e-06 0.000e+00
1.000e+00 4.699e-05 6.107e-02 2.735e-06 0.000e+00
1.022e+00 4.500e-05 6.042e-02 2.546e-06 0.000e+00
1.033e+00 4.405e-05 6.010e-02 2.464e-06 3.012e-09
1.141e+00 3.612e-05 5.720e-02 1.981e-06 2.858e-06
1.250e+00 3.009e-05 5.461e-02 1.729e-06 1.546e-05
1.259e+00 2.966e-05 5.441e-02 1.710e-06 1.701e-05
1.390e+00 2.433e-05 5.167e-02 1.441e-06 4.817e-05
1.500e+00 2.089e-05 4.963e-02 1.254e-06 8.558e-05
1.535e+00 1.995e-05 4.902e-02 1.204e-06 9.935e-05
1.694e+00 1.639e-05 4.649e-02 1.021e-06 1.714e-04
1.870e+00 1.345e-05 4.402e-02 8.746e-07 2.652e-04
2.000e+00 1.175e-05 4.236e-02 7.891e-07 3.409e-04
2.044e+00 1.125e-05 4.183e-02 7.633e-07 3.674e-04
2.065e+00 1.102e-05 4.158e-02 7.516e-07 3.801e-04
2.279e+00 9.048e-06 3.925e-02 6.488e-07 5.138e-04
2.516e+00 7.424e-06 3.703e-02 5.625e-07 6.672e-04
2.778e+00 6.091e-06 3.491e-02 4.898e-07 8.398e-04
3.000e+00 5.224e-06 3.332e-02 4.410e-07 9.866e-04
3.066e+00 5.002e-06 3.288e-02 4.282e-07 1.030e-03
3.385e+00 4.104e-06 3.092e-02 3.755e-07 1.240e-03
3.737e+00 3.367e-06 2.904e-02 3.302e-07 1.465e-03
4.000e+00 2.939e-06 2.779e-02 3.027e-07 1.630e-03
4.125e+00 2.764e-06 2.725e-02 2.912e-07 1.706e-03
4.554e+00 2.267e-06 2.554e-02 2.574e-07 1.962e-03
5.000e+00 1.881e-06 2.400e-02 2.295e-07 2.217e-03
5.027e+00 1.861e-06 2.392e-02 2.280e-07 2.232e-03
5.549e+00 1.527e-06 2.238e-02 2.025e-07 2.518e-03
6.000e+00 1.306e-06 2.121e-02 1.846e-07 2.754e-03
6.126e+00 1.253e-06 2.091e-02 1.801e-07 2.817e-03
6.762e+00 1.028e-06 1.953e-02 1.605e-07 3.126e-03
