# CALCIUM TUNGSTATE from NIST Database
1.174e-01 9.137e-02 1.147e-01 1.738e+00 0.000e+00
1.296e-01 7.668e-02 1.129e-01 1.331e+00 0.000e+00
1.431e-01 6.423e-02 1.108e-01 1.017e+00 0.000e+00
1.500e-01 5.903e-02 1.097e-01 8.945e-01 0.000e+00
1.579e-01 5.383e-02 1.085e-01 7.780e-01 0.000e+00
1.743e-01 4.506e-02 1.061e-01 5.950e-01 0.000e+00
1.925e-01 3.765e-02 1.035e-01 4.546e-01 0.000e+00
2.000e-01 3.513e-02 1.024e-01 4.100e-01 0.000e+00
2.125e-01 3.146e-02 1.008e-01 3.481e-01 0.000e+00
2.345e-01 2.627e-02 9.797e-02 2.670e-01 0.000e+00
2.589e-01 2.189e-02 9.509e-02 2.049e-01 0.000e+00
2.858e-01 1.823e-02 9.215e-02 1.576e-01 0.000e+00
3.000e-01 1.665e-02 9.069e-02 1.387e-01 0.000e+00
3.155e-01 1.515e-02 8.917e-02 1.216e-01 0.000e+00
3.483e-01 1.258e-02 8.617e-02 9.408e-02 0.000e+00
3.845e-01 1.043e-02 8.317e-02 7.308e-02 0.000e+00
4.000e-01 9.676e-03 8.197e-02 6.614e-02 0.000e+00
4.245e-01 8.639e-03 8.016e-02 5.700e-02 0.000e+00
4.686e-01 7.149e-03 7.718e-02 4.467e-02 0.000e+00
5.000e-01 6.312e-03 7.524e-02 3.817e-02 0.000e+00
5.173e-01 5.911e-03 7.422e-02 3.518e-02 0.000e+00
5.710e-01 4.885e-03 7.128e-02 2.784e-02 0.000e+00
6.000e-01 4.439e-03 6.982e-02 2.481e-02 0.000e+00
6.304e-01 4.033e-03 6.837e-02 2.215e-02 0.000e+00
6.959e-01 3.329e-03 6.550e-02 1.773e-02 0.000e+00
7.682e-01 2.746e-03 6.269e-02 1.427e-02 0.000e+00
8.000e-01 2.537e-03 6.156e-02 1.307e-02 0.000e+00
8.480e-01 2.263e-03 5.996e-02 1.155e-02 0.000e+00
