# BARIUM SULFATE from NIST Database
1.500e-01 3.471e-02 1.136e-01 3.702e-01 0.000e+00
1.579e-01 3.163e-02 1.123e-01 3.200e-01 0.000e+00
1.743e-01 2.643e-02 1.096e-01 2.417e-01 0.000e+00
1.925e-01 2.203e-02 1.067e-01 1.824e-01 0.000e+00
2.000e-01 2.053e-02 1.056e-01 1.637e-01 0.000e+00
2.125e-01 1.835e-02 1.038e-01 1.380e-01 0.000e+00
2.345e-01 1.527e-02 1.008e-01 1.046e-01 0.000e+00
2.589e-01 1.267e-02 9.774e-02 7.938e-02 0.000e+00
2.858e-01 1.051e-02 9.464e-02 6.041e-02 0.000e+00
3.000e-01 9.586e-03 9.310e-02 5.290e-02 0.000e+00
3.155e-01 8.709e-03 9.150e-02 4.611e-02 0.000e+00
3.483e-01 7.207e-03 8.835e-02 3.532e-02 0.000e+00
3.845e-01 5.959e-03 8.521e-02 2.717e-02 0.000e+00
4.000e-01 5.522e-03 8.395e-02 2.450e-02 0.000e+00
4.245e-01 4.922e-03 8.208e-02 2.099e-02 0.000e+00
4.686e-01 4.063e-03 7.897e-02 1.631e-02 0.000e+00
5.000e-01 3.582e-03 7.695e-02 1.386e-02 0.000e+00
5.173e-01 3.353e-03 7.590e-02 1.274e-02 0.000e+00
5.710e-01 2.766e-03 7.286e-02 1.001e-02 0.000e+00
6.000e-01 2.511e-03 7.134e-02 8.894e-03 0.000e+00
6.304e-01 2.280e-03 6.984e-02 7.915e-03 0.000e+00
6.959e-01 1.878e-03 6.688e-02 6.299e-03 0.000e+00
7.682e-01 1.547e-03 6.398e-02 5.046e-03 0.000e+00
8.000e-01 1.428e-03 6.282e-02 4.616e-03 0.000e+00
8.480e-01 1.273e-03 6.118e-02 4.069e-03 0.000e+00
9.361e-01 1.047e-03 5.842e-02 3.303e-03 0.000e+00
1.000e+00 9.190e-04 5.657e-02 2.884e-03 0.000e+00
1.022e+00 8.804e-04 5.595e-02 2.760e-03 0.000e+00
1.033e+00 8.621e-04 5.565e-02 2.701e-03 3.179e-08
1.141e+00 7.081e-04 5.298e-02 2.218e-03 2.665e-05
1.250e+00 5.907e-04 5.062e-02 1.861e-03 1.298e-04
1.259e+00 5.824e-04 5.044e-02 1.836e-03 1.417e-04
1.390e+00 4.784e-04 4.792e-02 1.528e-03 3.648e-04
1.500e+00 4.112e-04 4.602e-02 1.332e-03 6.089e-04
1.535e+00 3.927e-04 4.546e-02 1.278e-03 6.949e-04
1.694e+00 3.227e-04 4.311e-02 1.074e-03 1.125e-03
1.870e+00 2.650e-04 4.083e-02 9.059e-04 1.652e-03
2.000e+00 2.318e-04 3.930e-02 8.096e-04 2.062e-03
2.044e+00 2.219e-04 3.881e-02 7.811e-04 2.204e-03
2.065e+00 2.175e-04 3.858e-02 7.682e-04 2.271e-03
2.279e+00 1.787e-04 3.643e-02 6.551e-04 2.962e-03
2.516e+00 1.467e-04 3.438e-02 5.605e-04 3.723e-03
2.778e+00 1.203e-04 3.241e-02 4.813e-04 4.547e-03
3.000e+00 1.032e-04 3.093e-02 4.288e-04 5.227e-03
3.066e+00 9.881e-05 3.052e-02 4.152e-04 5.424e-03
3.385e+00 8.108e-05 2.870e-02 3.592e-04 6.359e-03
3.737e+00 6.653e-05 2.696e-02 3.119e-04 7.343e-03
4.000e+00 5.808e-05 2.580e-02 2.836e-04 8.048e-03
4.125e+00 5.462e-05 2.529e-02 2.717e-04 8.374e-03
4.554e+00 4.483e-05 2.371e-02 2.374e-04 9.452e-03
5.000e+00 3.720e-05 2.229e-02 2.094e-04 1.051e-02
5.027e+00 3.680e-05 2.221e-02 2.080e-04 1.057e-02
5.549e+00 3.020e-05 2.078e-02 1.827e-04 1.171e-02
6.000e+00 2.583e-05 1.970e-02 1.651e-04 1.264e-02
6.126e+00 2.478e-05 1.942e-02 1.608e-04 1.289e-02
6.762e+00 2.034e-05 1.814e-02 1.419e-04 1.411e-02
7.000e+00 1.898e-05 1.771e-02 1.359e-04 1.455e-02
7.465e+00 1.669e-05 1.693e-02 1.255e-04 1.536e-02
8.000e+00 1.453e-05 1.612e-02 1.152e-04 1.626e-02
8.241e+00 1.369e-05 1.578e-02 1.111e-04 1.665e-02
9.000e+00 1.148e-05 1.481e-02 9.994e-05 1.782e-02
9.097e+00 1.124e-05 1.470e-02 9.866e-05 1.796e-02
1.000e+01 9.299e-06 1.373e-02 8.815e-05 1.925e-02
1.004e+01 9.225e-06 1.369e-02 8.774e-05 1.930e-02
1.100e+01 7.686e-06 1.280e-02 7.880e-05 2.056e-02
1.109e+01 7.562e-06 1.273e-02 7.806e-05 2.067e-02
1.200e+01 6.459e-06 1.201e-02 7.124e-05 2.178e-02
1.224e+01 6.208e-06 1.183e-02 6.963e-05 2.207e-02
1.300e+01 5.503e-06 1.131e-02 6.497e-05 2.292e-02
1.351e+01 5.096e-06 1.099e-02 6.217e-05 2.347e-02
1.400e+01 4.746e-06 1.070e-02 5.969e-05 2.397e-02
1.491e+01 4.185e-06 1.021e-02 5.558e-05 2.485e-02
1.500e+01 4.135e-06 1.016e-02 5.521e-05 2.494e-02
1.600e+01 3.633e-06 9.676e-03 5.135e-05 2.585e-02
1.646e+01 3.432e-06 9.469e-03 4.974e-05 2.624e-02
1.800e+01 2.870e-06 8.842e-03 4.503e-05 2.749e-02
1.818e+01 2.813e-06 8.775e-03 4.454e-05 2.764e-02
2.000e+01 2.325e-06 8.155e-03 4.010e-05 2.897e-02
