# ALUMINUM OXIDE from NIST Database
5.000e-01 4.218e-04 8.529e-02 8.111e-05 0.000e+00
5.173e-01 3.941e-04 8.409e-02 7.417e-05 0.000e+00
5.710e-01 3.237e-04 8.064e-02 5.750e-05 0.000e+00
6.000e-01 2.933e-04 7.894e-02 5.068e-05 0.000e+00
6.304e-01 2.657e-04 7.725e-02 4.470e-05 0.000e+00
6.959e-01 2.182e-04 7.393e-02 3.498e-05 0.000e+00
7.682e-01 1.791e-04 7.069e-02 2.790e-05 0.000e+00
8.000e-01 1.652e-04 6.938e-02 2.564e-05 0.000e+00
8.480e-01 1.470e-04 6.752e-02 2.290e-05 0.000e+00
9.361e-01 1.207e-04 6.443e-02 1.878e-05 0.000e+00
1.000e+00 1.058e-04 6.240e-02 1.594e-05 0.000e+00
1.022e+00 1.013e-04 6.174e-02 1.499e-05 0.000e+00
1.033e+00 9.914e-05 6.141e-02 1.456e-05 5.104e-09
1.141e+00 8.128e-05 5.845e-02 1.181e-05 4.796e-06
1.250e+00 6.772e-05 5.580e-02 1.017e-05 2.573e-05
1.259e+00 6.676e-05 5.560e-02 1.005e-05 2.829e-05
1.390e+00 5.476e-05 5.280e-02 8.446e-06 7.961e-05
1.500e+00 4.703e-05 5.071e-02 7.364e-06 1.409e-04
1.535e+00 4.491e-05 5.009e-02 7.072e-06 1.634e-04
1.694e+00 3.689e-05 4.749e-02 5.988e-06 2.811e-04
1.870e+00 3.028e-05 4.497e-02 5.111e-06 4.342e-04
2.000e+00 2.646e-05 4.329e-02 4.603e-06 5.580e-04
2.044e+00 2.533e-05 4.275e-02 4.451e-06 6.014e-04
2.065e+00 2.481e-05 4.250e-02 4.382e-06 6.222e-04
2.279e+00 2.036e-05 4.014e-02 3.776e-06 8.405e-04
2.516e+00 1.671e-05 3.787e-02 3.266e-06 1.089e-03
2.778e+00 1.371e-05 3.569e-02 2.837e-06 1.367e-03
3.000e+00 1.176e-05 3.405e-02 2.550e-06 1.602e-03
3.066e+00 1.126e-05 3.360e-02 2.475e-06 1.671e-03
3.385e+00 9.241e-06 3.159e-02 2.166e-06 2.004e-03
3.737e+00 7.581e-06 2.967e-02 1.901e-06 2.363e-03
4.000e+00 6.617e-06 2.840e-02 1.741e-06 2.622e-03
4.125e+00 6.222e-06 2.784e-02 1.674e-06 2.742e-03
4.554e+00 5.104e-06 2.610e-02 1.477e-06 3.145e-03
5.000e+00 4.235e-06 2.453e-02 1.315e-06 3.545e-03
5.027e+00 4.189e-06 2.445e-02 1.306e-06 3.568e-03
5.549e+00 3.439e-06 2.287e-02 1.158e-06 4.015e-03
6.000e+00 2.941e-06 2.168e-02 1.054e-06 4.382e-03
6.126e+00 2.821e-06 2.138e-02 1.029e-06 4.482e-03
6.762e+00 2.315e-06 1.997e-02 9.154e-07 4.962e-03
7.000e+00 2.160e-06 1.949e-02 8.791e-07 5.133e-03
7.465e+00 1.900e-06 1.863e-02 8.157e-07 5.456e-03
8.000e+00 1.654e-06 1.774e-02 7.532e-07 5.812e-03
8.241e+00 1.559e-06 1.737e-02 7.280e-07 5.966e-03
9.000e+00 1.307e-06 1.631e-02 6.586e-07 6.430e-03
9.097e+00 1.279e-06 1.618e-02 6.507e-07 6.488e-03
1.000e+01 1.059e-06 1.511e-02 5.849e-07 6.994e-03
1.004e+01 1.050e-06 1.506e-02 5.823e-07 7.015e-03
1.100e+01 8.750e-07 1.409e-02 5.261e-07 7.508e-03
1.109e+01 8.608e-07 1.401e-02 5.214e-07 7.553e-03
1.200e+01 7.352e-07 1.321e-02 4.779e-07 7.981e-03
1.224e+01 7.066e-07 1.302e-02 4.676e-07 8.090e-03
1.300e+01 6.265e-07 1.245e-02 4.377e-07 8.421e-03
1.351e+01 5.801e-07 1.210e-02 4.197e-07 8.633e-03
1.400e+01 5.402e-07 1.178e-02 4.038e-07 8.832e-03
1.491e+01 4.763e-07 1.123e-02 3.771e-07 9.183e-03
1.500e+01 4.706e-07 1.118e-02 3.746e-07 9.217e-03
1.600e+01 4.136e-07 1.065e-02 3.495e-07 9.577e-03
1.646e+01 3.908e-07 1.042e-02 3.390e-07 9.736e-03
1.800e+01 3.268e-07 9.731e-03 3.081e-07 1.024e-02
1.818e+01 3.203e-07 9.657e-03 3.048e-07 1.030e-02
2.000e+01 2.647e-07 8.975e-03 2.754e-07 1.084e-02
