# PROPANE, LIQUID from NIST Database
5.710e-01 9.803e-05 9.706e-02 3.954e-06 0.000e+00
6.000e-01 8.879e-05 9.499e-02 3.476e-06 0.000e+00
6.304e-01 8.044e-05 9.296e-02 3.051e-06 0.000e+00
6.959e-01 6.601e-05 8.896e-02 2.366e-06 0.000e+00
7.682e-01 5.417e-05 8.504e-02 1.892e-06 0.000e+00
8.000e-01 4.995e-05 8.345e-02 1.753e-06 0.000e+00
8.480e-01 4.446e-05 8.119e-02 1.594e-06 0.000e+00
9.361e-01 3.649e-05 7.745e-02 1.325e-06 0.000e+00
1.000e+00 3.198e-05 7.505e-02 1.090e-06 0.000e+00
1.022e+00 3.062e-05 7.427e-02 1.005e-06 0.000e+00
1.033e+00 2.997e-05 7.389e-02 9.683e-07 2.442e-09
1.141e+00 2.457e-05 7.033e-02 7.721e-07 2.325e-06
1.250e+00 2.047e-05 6.711e-02 6.823e-07 1.261e-05
1.259e+00 2.018e-05 6.686e-02 6.753e-07 1.388e-05
1.390e+00 1.655e-05 6.351e-02 5.707e-07 3.941e-05
1.500e+00 1.422e-05 6.101e-02 4.954e-07 7.010e-05
1.535e+00 1.358e-05 6.026e-02 4.754e-07 8.140e-05
1.694e+00 1.115e-05 5.712e-02 4.033e-07 1.405e-04
1.870e+00 9.149e-06 5.406e-02 3.461e-07 2.174e-04
2.000e+00 7.997e-06 5.205e-02 3.127e-07 2.796e-04
2.044e+00 7.655e-06 5.141e-02 3.026e-07 3.014e-04
2.065e+00 7.500e-06 5.111e-02 2.980e-07 3.119e-04
2.279e+00 6.157e-06 4.829e-02 2.575e-07 4.221e-04
2.516e+00 5.052e-06 4.555e-02 2.235e-07 5.490e-04
2.778e+00 4.145e-06 4.292e-02 1.948e-07 6.924e-04
3.000e+00 3.555e-06 4.095e-02 1.755e-07 8.151e-04
3.066e+00 3.403e-06 4.040e-02 1.704e-07 8.517e-04
3.385e+00 2.792e-06 3.799e-02 1.496e-07 1.028e-03
3.737e+00 2.291e-06 3.568e-02 1.316e-07 1.219e-03
4.000e+00 1.999e-06 3.416e-02 1.208e-07 1.358e-03
4.125e+00 1.880e-06 3.348e-02 1.162e-07 1.424e-03
4.554e+00 1.542e-06 3.139e-02 1.028e-07 1.643e-03
5.000e+00 1.280e-06 2.950e-02 9.175e-08 1.862e-03
5.027e+00 1.266e-06 2.939e-02 9.116e-08 1.875e-03
5.549e+00 1.039e-06 2.750e-02 8.098e-08 2.122e-03
6.000e+00 8.888e-07 2.607e-02 7.385e-08 2.325e-03
6.126e+00 8.525e-07 2.570e-02 7.207e-08 2.380e-03
6.762e+00 6.995e-07 2.401e-02 6.427e-08 2.648e-03
7.000e+00 6.527e-07 2.343e-02 6.176e-08 2.744e-03
7.465e+00 5.741e-07 2.240e-02 5.737e-08 2.926e-03
8.000e+00 5.000e-07 2.133e-02 5.303e-08 3.126e-03
8.241e+00 4.711e-07 2.088e-02 5.128e-08 3.213e-03
9.000e+00 3.950e-07 1.961e-02 4.647e-08 3.477e-03
9.097e+00 3.866e-07 1.946e-02 4.592e-08 3.510e-03
1.000e+01 3.199e-07 1.816e-02 4.135e-08 3.798e-03
1.004e+01 3.174e-07 1.811e-02 4.117e-08 3.811e-03
1.100e+01 2.644e-07 1.694e-02 3.721e-08 4.092e-03
1.109e+01 2.601e-07 1.684e-02 3.688e-08 4.117e-03
1.200e+01 2.222e-07 1.589e-02 3.384e-08 4.364e-03
1.224e+01 2.135e-07 1.566e-02 3.312e-08 4.426e-03
1.300e+01 1.893e-07 1.497e-02 3.103e-08 4.618e-03
1.351e+01 1.753e-07 1.454e-02 2.976e-08 4.741e-03
1.400e+01 1.632e-07 1.416e-02 2.864e-08 4.854e-03
1.491e+01 1.439e-07 1.351e-02 2.677e-08 5.056e-03
1.500e+01 1.422e-07 1.344e-02 2.660e-08 5.076e-03
1.600e+01 1.250e-07 1.280e-02 2.483e-08 5.288e-03
1.646e+01 1.181e-07 1.253e-02 2.409e-08 5.380e-03
1.800e+01 9.874e-08 1.170e-02 2.190e-08 5.672e-03
1.818e+01 9.679e-08 1.161e-02 2.167e-08 5.705e-03
2.000e+01 7.997e-08 1.079e-02 1.960e-08 6.019e-03
