# PARAFFIN WAX from NIST Database
5.710e-01 1.018e-04 9.428e-02 4.120e-06 0.000e+00
6.000e-01 9.219e-05 9.227e-02 3.621e-06 0.000e+00
6.304e-01 8.352e-05 9.030e-02 3.179e-06 0.000e+00
6.959e-01 6.854e-05 8.642e-02 2.466e-06 0.000e+00
7.682e-01 5.625e-05 8.261e-02 1.972e-06 0.000e+00
8.000e-01 5.187e-05 8.106e-02 1.826e-06 0.000e+00
8.480e-01 4.616e-05 7.886e-02 1.660e-06 0.000e+00
9.361e-01 3.789e-05 7.523e-02 1.380e-06 0.000e+00
1.000e+00 3.320e-05 7.290e-02 1.135e-06 0.000e+00
1.022e+00 3.179e-05 7.215e-02 1.047e-06 0.000e+00
1.033e+00 3.112e-05 7.178e-02 1.009e-06 2.507e-09
1.141e+00 2.551e-05 6.832e-02 8.044e-07 2.387e-06
1.250e+00 2.125e-05 6.519e-02 7.109e-07 1.294e-05
1.259e+00 2.095e-05 6.495e-02 7.035e-07 1.425e-05
1.390e+00 1.719e-05 6.169e-02 5.946e-07 4.045e-05
1.500e+00 1.476e-05 5.926e-02 5.162e-07 7.194e-05
1.535e+00 1.410e-05 5.854e-02 4.953e-07 8.353e-05
1.694e+00 1.158e-05 5.548e-02 4.201e-07 1.442e-04
1.870e+00 9.499e-06 5.251e-02 3.606e-07 2.231e-04
2.000e+00 8.303e-06 5.056e-02 3.258e-07 2.869e-04
2.044e+00 7.949e-06 4.994e-02 3.153e-07 3.093e-04
2.065e+00 7.788e-06 4.965e-02 3.104e-07 3.201e-04
2.279e+00 6.393e-06 4.690e-02 2.683e-07 4.332e-04
2.516e+00 5.246e-06 4.425e-02 2.329e-07 5.632e-04
2.778e+00 4.304e-06 4.169e-02 2.029e-07 7.101e-04
3.000e+00 3.691e-06 3.978e-02 1.828e-07 8.356e-04
3.066e+00 3.534e-06 3.925e-02 1.776e-07 8.731e-04
3.385e+00 2.899e-06 3.690e-02 1.558e-07 1.053e-03
3.737e+00 2.379e-06 3.466e-02 1.371e-07 1.249e-03
