# TRIETHYL PHOSPHATE from NIST Database
4.245e-01 3.797e-04 1.001e-01 7.794e-05 0.000e+00
4.686e-01 3.119e-04 9.619e-02 5.939e-05 0.000e+00
5.000e-01 2.741e-04 9.364e-02 4.993e-05 0.000e+00
5.173e-01 2.561e-04 9.232e-02 4.566e-05 0.000e+00
5.710e-01 2.104e-04 8.852e-02 3.539e-05 0.000e+00
6.000e-01 1.906e-04 8.664e-02 3.119e-05 0.000e+00
6.304e-01 1.727e-04 8.478e-02 2.752e-05 0.000e+00
6.959e-01 1.418e-04 8.114e-02 2.155e-05 0.000e+00
7.682e-01 1.164e-04 7.758e-02 1.719e-05 0.000e+00
8.000e-01 1.073e-04 7.613e-02 1.580e-05 0.000e+00
8.480e-01 9.551e-05 7.408e-02 1.411e-05 0.000e+00
9.361e-01 7.839e-05 7.068e-02 1.156e-05 0.000e+00
1.000e+00 6.871e-05 6.847e-02 9.819e-06 0.000e+00
1.022e+00 6.579e-05 6.776e-02 9.239e-06 0.000e+00
1.033e+00 6.440e-05 6.741e-02 8.979e-06 3.785e-09
1.141e+00 5.280e-05 6.415e-02 7.280e-06 3.568e-06
1.250e+00 4.400e-05 6.123e-02 6.263e-06 1.919e-05
1.259e+00 4.337e-05 6.100e-02 6.189e-06 2.111e-05
1.390e+00 3.558e-05 5.794e-02 5.201e-06 5.954e-05
1.500e+00 3.055e-05 5.566e-02 4.535e-06 1.055e-04
1.535e+00 2.918e-05 5.498e-02 4.355e-06 1.224e-04
1.694e+00 2.396e-05 5.212e-02 3.687e-06 2.107e-04
1.870e+00 1.966e-05 4.934e-02 3.146e-06 3.256e-04
2.000e+00 1.719e-05 4.749e-02 2.832e-06 4.185e-04
2.044e+00 1.646e-05 4.690e-02 2.738e-06 4.510e-04
2.065e+00 1.613e-05 4.663e-02 2.695e-06 4.667e-04
2.279e+00 1.324e-05 4.403e-02 2.321e-06 6.306e-04
2.516e+00 1.086e-05 4.154e-02 2.007e-06 8.181e-04
2.778e+00 8.911e-06 3.915e-02 1.743e-06 1.028e-03
3.000e+00 7.642e-06 3.736e-02 1.566e-06 1.207e-03
3.066e+00 7.316e-06 3.687e-02 1.520e-06 1.260e-03
3.385e+00 6.002e-06 3.467e-02 1.329e-06 1.514e-03
3.737e+00 4.925e-06 3.256e-02 1.167e-06 1.788e-03
4.000e+00 4.299e-06 3.117e-02 1.068e-06 1.987e-03
4.125e+00 4.042e-06 3.055e-02 1.027e-06 2.081e-03
4.554e+00 3.316e-06 2.864e-02 9.055e-07 2.390e-03
5.000e+00 2.751e-06 2.692e-02 8.060e-07 2.699e-03
5.027e+00 2.721e-06 2.682e-02 8.007e-07 2.718e-03
5.549e+00 2.233e-06 2.509e-02 7.097e-07 3.064e-03
6.000e+00 1.910e-06 2.379e-02 6.461e-07 3.348e-03
6.126e+00 1.832e-06 2.345e-02 6.303e-07 3.426e-03
6.762e+00 1.504e-06 2.191e-02 5.608e-07 3.798e-03
7.000e+00 1.403e-06 2.138e-02 5.385e-07 3.931e-03
7.465e+00 1.234e-06 2.044e-02 4.995e-07 4.184e-03
8.000e+00 1.075e-06 1.946e-02 4.611e-07 4.461e-03
8.241e+00 1.013e-06 1.905e-02 4.457e-07 4.582e-03
9.000e+00 8.490e-07 1.789e-02 4.032e-07 4.945e-03
9.097e+00 8.310e-07 1.775e-02 3.983e-07 4.990e-03
1.000e+01 6.878e-07 1.657e-02 3.580e-07 5.387e-03
1.004e+01 6.823e-07 1.653e-02 3.564e-07 5.404e-03
1.100e+01 5.684e-07 1.546e-02 3.219e-07 5.790e-03
1.109e+01 5.592e-07 1.537e-02 3.190e-07 5.825e-03
1.200e+01 4.776e-07 1.450e-02 2.923e-07 6.161e-03
1.224e+01 4.591e-07 1.429e-02 2.860e-07 6.247e-03
1.300e+01 4.070e-07 1.366e-02 2.678e-07 6.508e-03
1.351e+01 3.768e-07 1.327e-02 2.567e-07 6.676e-03
1.400e+01 3.509e-07 1.292e-02 2.469e-07 6.831e-03
1.491e+01 3.094e-07 1.232e-02 2.306e-07 7.106e-03
1.500e+01 3.057e-07 1.227e-02 2.291e-07 7.133e-03
1.600e+01 2.687e-07 1.168e-02 2.137e-07 7.420e-03
1.646e+01 2.538e-07 1.143e-02 2.073e-07 7.545e-03
1.800e+01 2.123e-07 1.068e-02 1.883e-07 7.942e-03
1.818e+01 2.081e-07 1.059e-02 1.864e-07 7.986e-03
2.000e+01 1.719e-07 9.845e-03 1.683e-07 8.411e-03
