# LITHIUM CARBONATE from NIST Database
5.173e-01 1.844e-04 8.361e-02 1.367e-05 0.000e+00
5.710e-01 1.514e-04 8.017e-02 1.058e-05 0.000e+00
6.000e-01 1.372e-04 7.846e-02 9.312e-06 0.000e+00
6.304e-01 1.243e-04 7.678e-02 8.191e-06 0.000e+00
6.959e-01 1.020e-04 7.348e-02 6.379e-06 0.000e+00
7.682e-01 8.373e-05 7.026e-02 5.093e-06 0.000e+00
8.000e-01 7.720e-05 6.895e-02 4.699e-06 0.000e+00
8.480e-01 6.871e-05 6.710e-02 4.237e-06 0.000e+00
9.361e-01 5.638e-05 6.403e-02 3.499e-06 0.000e+00
1.000e+00 4.942e-05 6.202e-02 2.922e-06 0.000e+00
1.022e+00 4.732e-05 6.136e-02 2.720e-06 0.000e+00
1.033e+00 4.633e-05 6.104e-02 2.632e-06 3.141e-09
1.141e+00 3.798e-05 5.809e-02 2.115e-06 2.979e-06
1.250e+00 3.165e-05 5.545e-02 1.847e-06 1.610e-05
1.259e+00 3.120e-05 5.525e-02 1.826e-06 1.772e-05
1.390e+00 2.559e-05 5.247e-02 1.540e-06 5.017e-05
1.500e+00 2.197e-05 5.040e-02 1.340e-06 8.912e-05
1.535e+00 2.098e-05 4.978e-02 1.286e-06 1.035e-04
1.694e+00 1.723e-05 4.721e-02 1.091e-06 1.784e-04
1.870e+00 1.414e-05 4.470e-02 9.344e-07 2.761e-04
2.000e+00 1.236e-05 4.302e-02 8.431e-07 3.549e-04
2.044e+00 1.183e-05 4.247e-02 8.155e-07 3.824e-04
2.065e+00 1.159e-05 4.222e-02 8.029e-07 3.957e-04
2.279e+00 9.515e-06 3.986e-02 6.932e-07 5.350e-04
2.516e+00 7.808e-06 3.760e-02 6.010e-07 6.945e-04
2.778e+00 6.406e-06 3.545e-02 5.233e-07 8.740e-04
3.000e+00 5.494e-06 3.384e-02 4.712e-07 1.027e-03
3.066e+00 5.260e-06 3.339e-02 4.575e-07 1.072e-03
3.385e+00 4.316e-06 3.140e-02 4.012e-07 1.289e-03
