# POLYVINYL ALCOHOL from NIST Database
5.173e-01 1.647e-04 9.352e-02 1.045e-05 0.000e+00
5.710e-01 1.353e-04 8.966e-02 8.090e-06 0.000e+00
6.000e-01 1.225e-04 8.775e-02 7.116e-06 0.000e+00
6.304e-01 1.110e-04 8.588e-02 6.257e-06 0.000e+00
6.959e-01 9.111e-05 8.218e-02 4.867e-06 0.000e+00
7.682e-01 7.478e-05 7.857e-02 3.888e-06 0.000e+00
8.000e-01 6.895e-05 7.710e-02 3.591e-06 0.000e+00
8.480e-01 6.137e-05 7.502e-02 3.244e-06 0.000e+00
9.361e-01 5.036e-05 7.157e-02 2.684e-06 0.000e+00
1.000e+00 4.414e-05 6.934e-02 2.232e-06 0.000e+00
1.022e+00 4.226e-05 6.862e-02 2.073e-06 0.000e+00
1.033e+00 4.137e-05 6.827e-02 2.004e-06 2.982e-09
1.141e+00 3.392e-05 6.497e-02 1.607e-06 2.832e-06
1.250e+00 2.826e-05 6.201e-02 1.408e-06 1.533e-05
1.259e+00 2.786e-05 6.178e-02 1.392e-06 1.687e-05
1.390e+00 2.285e-05 5.868e-02 1.175e-06 4.780e-05
1.500e+00 1.962e-05 5.636e-02 1.021e-06 8.494e-05
1.535e+00 1.874e-05 5.568e-02 9.806e-07 9.861e-05
1.694e+00 1.539e-05 5.279e-02 8.316e-07 1.701e-04
1.870e+00 1.263e-05 4.997e-02 7.127e-07 2.632e-04
2.000e+00 1.104e-05 4.810e-02 6.432e-07 3.384e-04
2.044e+00 1.057e-05 4.750e-02 6.223e-07 3.647e-04
2.065e+00 1.035e-05 4.722e-02 6.127e-07 3.774e-04
2.279e+00 8.498e-06 4.459e-02 5.291e-07 5.104e-04
2.516e+00 6.973e-06 4.207e-02 4.589e-07 6.630e-04
2.778e+00 5.721e-06 3.965e-02 3.996e-07 8.350e-04
3.000e+00 4.907e-06 3.784e-02 3.599e-07 9.814e-04
3.066e+00 4.698e-06 3.733e-02 3.495e-07 1.025e-03
3.385e+00 3.855e-06 3.510e-02 3.065e-07 1.234e-03
3.737e+00 3.163e-06 3.297e-02 2.696e-07 1.461e-03
4.000e+00 2.760e-06 3.156e-02 2.472e-07 1.625e-03
4.125e+00 2.595e-06 3.094e-02 2.378e-07 1.702e-03
4.554e+00 2.129e-06 2.900e-02 2.103e-07 1.959e-03
5.000e+00 1.766e-06 2.726e-02 1.876e-07 2.216e-03
5.027e+00 1.747e-06 2.716e-02 1.863e-07 2.231e-03
5.549e+00 1.434e-06 2.541e-02 1.655e-07 2.519e-03
6.000e+00 1.227e-06 2.409e-02 1.508e-07 2.757e-03
