# CARBON TETRACHLORIDE from NIST Database
5.000e-01 8.303e-04 8.356e-02 3.441e-04 0.000e+00
5.173e-01 7.760e-04 8.239e-02 3.148e-04 0.000e+00
5.710e-01 6.376e-04 7.903e-02 2.443e-04 0.000e+00
6.000e-01 5.778e-04 7.736e-02 2.155e-04 0.000e+00
6.304e-01 5.236e-04 7.572e-02 1.903e-04 0.000e+00
6.959e-01 4.300e-04 7.248e-02 1.494e-04 0.000e+00
7.682e-01 3.532e-04 6.930e-02 1.191e-04 0.000e+00
8.000e-01 3.257e-04 6.802e-02 1.092e-04 0.000e+00
8.480e-01 2.900e-04 6.620e-02 9.711e-05 0.000e+00
9.361e-01 2.381e-04 6.317e-02 7.934e-05 0.000e+00
1.000e+00 2.086e-04 6.118e-02 6.793e-05 0.000e+00
1.022e+00 1.997e-04 6.054e-02 6.422e-05 0.000e+00
1.033e+00 1.955e-04 6.022e-02 6.254e-05 8.257e-09
1.141e+00 1.603e-04 5.732e-02 5.090e-05 7.615e-06
1.250e+00 1.336e-04 5.472e-02 4.351e-05 4.023e-05
1.259e+00 1.317e-04 5.452e-02 4.297e-05 4.419e-05
1.390e+00 1.081e-04 5.180e-02 3.605e-05 1.227e-04
1.500e+00 9.282e-05 4.975e-02 3.146e-05 2.156e-04
1.535e+00 8.864e-05 4.913e-02 3.022e-05 2.496e-04
1.694e+00 7.279e-05 4.656e-02 2.556e-05 4.267e-04
1.870e+00 5.974e-05 4.407e-02 2.176e-05 6.570e-04
2.000e+00 5.223e-05 4.245e-02 1.956e-05 8.434e-04
2.044e+00 5.000e-05 4.194e-02 1.890e-05 9.088e-04
2.065e+00 4.899e-05 4.170e-02 1.860e-05 9.402e-04
2.279e+00 4.022e-05 3.941e-02 1.599e-05 1.268e-03
2.516e+00 3.300e-05 3.718e-02 1.381e-05 1.639e-03
2.778e+00 2.707e-05 3.502e-02 1.197e-05 2.050e-03
3.000e+00 2.321e-05 3.340e-02 1.075e-05 2.396e-03
3.066e+00 2.223e-05 3.296e-02 1.043e-05 2.498e-03
3.385e+00 1.824e-05 3.098e-02 9.110e-06 2.987e-03
3.737e+00 1.496e-05 2.911e-02 7.982e-06 3.511e-03
4.000e+00 1.306e-05 2.786e-02 7.301e-06 3.891e-03
4.125e+00 1.228e-05 2.732e-02 7.016e-06 4.067e-03
4.554e+00 1.008e-05 2.560e-02 6.182e-06 4.653e-03
5.000e+00 8.361e-06 2.406e-02 5.498e-06 5.235e-03
5.027e+00 8.271e-06 2.398e-02 5.461e-06 5.269e-03
5.549e+00 6.788e-06 2.243e-02 4.834e-06 5.915e-03
6.000e+00 5.806e-06 2.127e-02 4.397e-06 6.444e-03
6.126e+00 5.570e-06 2.097e-02 4.288e-06 6.587e-03
6.762e+00 4.572e-06 1.959e-02 3.812e-06 7.280e-03
7.000e+00 4.266e-06 1.912e-02 3.659e-06 7.528e-03
7.465e+00 3.750e-06 1.828e-02 3.393e-06 7.994e-03
8.000e+00 3.265e-06 1.740e-02 3.131e-06 8.504e-03
8.241e+00 3.077e-06 1.704e-02 3.025e-06 8.727e-03
9.000e+00 2.580e-06 1.600e-02 2.734e-06 9.394e-03
9.097e+00 2.526e-06 1.587e-02 2.701e-06 9.476e-03
1.000e+01 2.089e-06 1.482e-02 2.427e-06 1.020e-02
1.004e+01 2.073e-06 1.478e-02 2.416e-06 1.023e-02
1.100e+01 1.727e-06 1.382e-02 2.180e-06 1.093e-02
1.109e+01 1.699e-06 1.374e-02 2.160e-06 1.099e-02
1.200e+01 1.451e-06 1.296e-02 1.978e-06 1.161e-02
1.224e+01 1.395e-06 1.277e-02 1.935e-06 1.177e-02
1.300e+01 1.237e-06 1.221e-02 1.812e-06 1.224e-02
1.351e+01 1.145e-06 1.187e-02 1.737e-06 1.254e-02
1.400e+01 1.066e-06 1.155e-02 1.671e-06 1.283e-02
1.491e+01 9.403e-07 1.102e-02 1.559e-06 1.332e-02
1.500e+01 9.290e-07 1.097e-02 1.549e-06 1.337e-02
1.600e+01 8.165e-07 1.045e-02 1.444e-06 1.388e-02
1.646e+01 7.715e-07 1.022e-02 1.401e-06 1.411e-02
1.800e+01 6.451e-07 9.547e-03 1.272e-06 1.482e-02
1.818e+01 6.324e-07 9.474e-03 1.258e-06 1.490e-02
2.000e+01 5.226e-07 8.804e-03 1.136e-06 1.566e-02
