# LITHIUM OXIDE from NIST Database
5.710e-01 1.203e-04 7.710e-02 8.153e-06 0.000e+00
6.000e-01 1.089e-04 7.546e-02 7.174e-06 0.000e+00
6.304e-01 9.871e-05 7.385e-02 6.311e-06 0.000e+00
6.959e-01 8.103e-05 7.067e-02 4.915e-06 0.000e+00
7.682e-01 6.651e-05 6.757e-02 3.925e-06 0.000e+00
8.000e-01 6.132e-05 6.632e-02 3.621e-06 0.000e+00
8.480e-01 5.457e-05 6.454e-02 3.263e-06 0.000e+00
9.361e-01 4.478e-05 6.158e-02 2.695e-06 0.000e+00
1.000e+00 3.925e-05 5.964e-02 2.251e-06 0.000e+00
1.022e+00 3.759e-05 5.901e-02 2.096e-06 0.000e+00
1.033e+00 3.680e-05 5.870e-02 2.028e-06 2.577e-09
1.141e+00 3.017e-05 5.586e-02 1.631e-06 2.447e-06
1.250e+00 2.514e-05 5.333e-02 1.423e-06 1.324e-05
1.259e+00 2.478e-05 5.313e-02 1.407e-06 1.457e-05
1.390e+00 2.032e-05 5.046e-02 1.187e-06 4.129e-05
1.500e+00 1.745e-05 4.847e-02 1.033e-06 7.337e-05
1.535e+00 1.666e-05 4.787e-02 9.914e-07 8.518e-05
1.694e+00 1.369e-05 4.540e-02 8.407e-07 1.470e-04
1.870e+00 1.123e-05 4.298e-02 7.200e-07 2.274e-04
2.000e+00 9.818e-06 4.137e-02 6.496e-07 2.923e-04
2.044e+00 9.399e-06 4.085e-02 6.283e-07 3.151e-04
2.065e+00 9.208e-06 4.060e-02 6.187e-07 3.260e-04
2.279e+00 7.558e-06 3.833e-02 5.341e-07 4.408e-04
2.516e+00 6.202e-06 3.617e-02 4.630e-07 5.726e-04
2.778e+00 5.088e-06 3.409e-02 4.031e-07 7.212e-04
3.000e+00 4.364e-06 3.254e-02 3.630e-07 8.478e-04
3.066e+00 4.178e-06 3.211e-02 3.525e-07 8.853e-04
3.385e+00 3.428e-06 3.019e-02 3.090e-07 1.066e-03
3.737e+00 2.813e-06 2.836e-02 2.717e-07 1.261e-03
4.000e+00 2.455e-06 2.714e-02 2.492e-07 1.403e-03
4.125e+00 2.308e-06 2.661e-02 2.397e-07 1.470e-03
4.554e+00 1.894e-06 2.494e-02 2.118e-07 1.691e-03
5.000e+00 1.571e-06 2.344e-02 1.889e-07 1.914e-03
5.027e+00 1.554e-06 2.335e-02 1.877e-07 1.926e-03
