# CALCIUM OXIDE from NIST Database
5.000e-01 9.299e-04 8.672e-02 5.176e-04 0.000e+00
5.173e-01 8.692e-04 8.550e-02 4.736e-04 0.000e+00
5.710e-01 7.144e-04 8.201e-02 3.677e-04 0.000e+00
6.000e-01 6.474e-04 8.028e-02 3.245e-04 0.000e+00
6.304e-01 5.868e-04 7.858e-02 2.868e-04 0.000e+00
6.959e-01 4.820e-04 7.521e-02 2.254e-04 0.000e+00
7.682e-01 3.959e-04 7.192e-02 1.798e-04 0.000e+00
8.000e-01 3.651e-04 7.059e-02 1.648e-04 0.000e+00
8.480e-01 3.250e-04 6.869e-02 1.464e-04 0.000e+00
9.361e-01 2.668e-04 6.555e-02 1.194e-04 0.000e+00
1.000e+00 2.339e-04 6.350e-02 1.025e-04 0.000e+00
1.022e+00 2.240e-04 6.283e-02 9.701e-05 0.000e+00
1.033e+00 2.193e-04 6.251e-02 9.453e-05 9.216e-09
1.141e+00 1.799e-04 5.950e-02 7.701e-05 8.390e-06
1.250e+00 1.498e-04 5.680e-02 6.569e-05 4.387e-05
1.259e+00 1.477e-04 5.659e-02 6.487e-05 4.816e-05
1.390e+00 1.212e-04 5.375e-02 5.439e-05 1.327e-04
1.500e+00 1.041e-04 5.162e-02 4.746e-05 2.323e-04
1.535e+00 9.941e-05 5.099e-02 4.558e-05 2.687e-04
1.694e+00 8.163e-05 4.835e-02 3.851e-05 4.590e-04
1.870e+00 6.699e-05 4.577e-02 3.275e-05 7.071e-04
2.000e+00 5.858e-05 4.406e-02 2.942e-05 9.082e-04
2.044e+00 5.609e-05 4.351e-02 2.843e-05 9.787e-04
2.065e+00 5.496e-05 4.326e-02 2.798e-05 1.013e-03
2.279e+00 4.513e-05 4.085e-02 2.405e-05 1.364e-03
2.516e+00 3.703e-05 3.855e-02 2.074e-05 1.760e-03
2.778e+00 3.037e-05 3.633e-02 1.796e-05 2.198e-03
3.000e+00 2.604e-05 3.467e-02 1.611e-05 2.565e-03
3.066e+00 2.493e-05 3.421e-02 1.562e-05 2.674e-03
3.385e+00 2.046e-05 3.217e-02 1.363e-05 3.193e-03
3.737e+00 1.679e-05 3.022e-02 1.193e-05 3.753e-03
4.000e+00 1.466e-05 2.893e-02 1.090e-05 4.158e-03
4.125e+00 1.378e-05 2.835e-02 1.047e-05 4.345e-03
4.554e+00 1.131e-05 2.657e-02 9.221e-06 4.969e-03
5.000e+00 9.377e-06 2.497e-02 8.195e-06 5.587e-03
5.027e+00 9.277e-06 2.488e-02 8.140e-06 5.623e-03
5.549e+00 7.614e-06 2.329e-02 7.202e-06 6.311e-03
6.000e+00 6.512e-06 2.208e-02 6.546e-06 6.874e-03
6.126e+00 6.247e-06 2.177e-02 6.383e-06 7.025e-03
6.762e+00 5.127e-06 2.033e-02 5.669e-06 7.761e-03
7.000e+00 4.784e-06 1.985e-02 5.441e-06 8.023e-03
7.465e+00 4.207e-06 1.897e-02 5.043e-06 8.519e-03
8.000e+00 3.663e-06 1.806e-02 4.651e-06 9.063e-03
8.241e+00 3.452e-06 1.768e-02 4.494e-06 9.299e-03
9.000e+00 2.894e-06 1.660e-02 4.059e-06 1.001e-02
9.097e+00 2.833e-06 1.647e-02 4.009e-06 1.009e-02
1.000e+01 2.345e-06 1.538e-02 3.599e-06 1.086e-02
1.004e+01 2.326e-06 1.534e-02 3.583e-06 1.089e-02
1.100e+01 1.938e-06 1.435e-02 3.233e-06 1.165e-02
1.109e+01 1.906e-06 1.426e-02 3.203e-06 1.171e-02
1.200e+01 1.628e-06 1.345e-02 2.934e-06 1.236e-02
1.224e+01 1.565e-06 1.326e-02 2.870e-06 1.253e-02
1.300e+01 1.388e-06 1.268e-02 2.685e-06 1.303e-02
1.351e+01 1.284e-06 1.232e-02 2.573e-06 1.335e-02
1.400e+01 1.196e-06 1.199e-02 2.474e-06 1.364e-02
1.491e+01 1.055e-06 1.144e-02 2.310e-06 1.417e-02
1.500e+01 1.042e-06 1.138e-02 2.295e-06 1.422e-02
1.600e+01 9.159e-07 1.084e-02 2.139e-06 1.477e-02
1.646e+01 8.654e-07 1.061e-02 2.074e-06 1.501e-02
1.800e+01 7.236e-07 9.909e-03 1.882e-06 1.577e-02
1.818e+01 7.093e-07 9.834e-03 1.862e-06 1.585e-02
2.000e+01 5.861e-07 9.138e-03 1.681e-06 1.666e-02
