# NITROUS OXIDE from NIST Database
5.710e-01 1.673e-04 8.224e-02 1.111e-05 0.000e+00
6.000e-01 1.515e-04 8.050e-02 9.779e-06 0.000e+00
6.304e-01 1.373e-04 7.878e-02 8.600e-06 0.000e+00
6.959e-01 1.127e-04 7.540e-02 6.694e-06 0.000e+00
7.682e-01 9.250e-05 7.208e-02 5.346e-06 0.000e+00
8.000e-01 8.528e-05 7.074e-02 4.935e-06 0.000e+00
8.480e-01 7.589e-05 6.882e-02 4.453e-06 0.000e+00
9.361e-01 6.227e-05 6.565e-02 3.680e-06 0.000e+00
1.000e+00 5.459e-05 6.361e-02 3.067e-06 0.000e+00
1.022e+00 5.228e-05 6.295e-02 2.852e-06 0.000e+00
1.033e+00 5.118e-05 6.263e-02 2.758e-06 3.476e-09
1.141e+00 4.196e-05 5.962e-02 2.215e-06 3.297e-06
1.250e+00 3.496e-05 5.689e-02 1.936e-06 1.782e-05
1.259e+00 3.446e-05 5.668e-02 1.915e-06 1.960e-05
1.390e+00 2.826e-05 5.382e-02 1.616e-06 5.551e-05
1.500e+00 2.427e-05 5.169e-02 1.405e-06 9.857e-05
1.535e+00 2.318e-05 5.106e-02 1.349e-06 1.144e-04
1.694e+00 1.904e-05 4.844e-02 1.144e-06 1.973e-04
1.870e+00 1.563e-05 4.586e-02 9.800e-07 3.052e-04
2.000e+00 1.366e-05 4.413e-02 8.846e-07 3.923e-04
2.044e+00 1.307e-05 4.357e-02 8.559e-07 4.229e-04
2.065e+00 1.281e-05 4.330e-02 8.427e-07 4.376e-04
2.279e+00 1.051e-05 4.087e-02 7.279e-07 5.916e-04
2.516e+00 8.623e-06 3.857e-02 6.313e-07 7.679e-04
2.778e+00 7.075e-06 3.637e-02 5.495e-07 9.658e-04
3.000e+00 6.068e-06 3.472e-02 4.948e-07 1.134e-03
3.066e+00 5.810e-06 3.426e-02 4.805e-07 1.184e-03
3.385e+00 4.768e-06 3.221e-02 4.213e-07 1.424e-03
3.737e+00 3.912e-06 3.025e-02 3.706e-07 1.682e-03
4.000e+00 3.415e-06 2.896e-02 3.398e-07 1.870e-03
4.125e+00 3.211e-06 2.839e-02 3.269e-07 1.957e-03
4.554e+00 2.634e-06 2.661e-02 2.890e-07 2.249e-03
5.000e+00 2.185e-06 2.501e-02 2.578e-07 2.541e-03
5.027e+00 2.162e-06 2.492e-02 2.561e-07 2.558e-03
5.549e+00 1.774e-06 2.331e-02 2.274e-07 2.885e-03
6.000e+00 1.517e-06 2.210e-02 2.073e-07 3.153e-03
