# POLYVINYL ACETATE from NIST Database
5.173e-01 1.684e-04 9.172e-02 1.070e-05 0.000e+00
5.710e-01 1.382e-04 8.793e-02 8.279e-06 0.000e+00
6.000e-01 1.252e-04 8.607e-02 7.283e-06 0.000e+00
6.304e-01 1.134e-04 8.422e-02 6.403e-06 0.000e+00
6.959e-01 9.311e-05 8.060e-02 4.981e-06 0.000e+00
7.682e-01 7.642e-05 7.706e-02 3.979e-06 0.000e+00
8.000e-01 7.046e-05 7.562e-02 3.675e-06 0.000e+00
8.480e-01 6.271e-05 7.358e-02 3.320e-06 0.000e+00
9.361e-01 5.147e-05 7.020e-02 2.747e-06 0.000e+00
1.000e+00 4.511e-05 6.801e-02 2.284e-06 0.000e+00
1.022e+00 4.319e-05 6.730e-02 2.122e-06 0.000e+00
1.033e+00 4.228e-05 6.695e-02 2.051e-06 3.031e-09
1.141e+00 3.466e-05 6.373e-02 1.645e-06 2.879e-06
1.250e+00 2.888e-05 6.082e-02 1.440e-06 1.558e-05
1.259e+00 2.847e-05 6.059e-02 1.425e-06 1.714e-05
1.390e+00 2.335e-05 5.755e-02 1.202e-06 4.858e-05
1.500e+00 2.005e-05 5.528e-02 1.045e-06 8.631e-05
1.535e+00 1.915e-05 5.461e-02 1.004e-06 1.002e-04
1.694e+00 1.573e-05 5.177e-02 8.511e-07 1.729e-04
1.870e+00 1.291e-05 4.901e-02 7.293e-07 2.675e-04
2.000e+00 1.128e-05 4.717e-02 6.583e-07 3.439e-04
2.044e+00 1.080e-05 4.658e-02 6.368e-07 3.706e-04
2.065e+00 1.058e-05 4.631e-02 6.270e-07 3.835e-04
2.279e+00 8.685e-06 4.373e-02 5.415e-07 5.186e-04
2.516e+00 7.126e-06 4.126e-02 4.696e-07 6.737e-04
2.778e+00 5.847e-06 3.889e-02 4.090e-07 8.482e-04
3.000e+00 5.014e-06 3.711e-02 3.683e-07 9.969e-04
3.066e+00 4.801e-06 3.662e-02 3.577e-07 1.041e-03
3.385e+00 3.939e-06 3.443e-02 3.137e-07 1.253e-03
3.737e+00 3.232e-06 3.234e-02 2.759e-07 1.483e-03
4.000e+00 2.821e-06 3.095e-02 2.530e-07 1.650e-03
4.125e+00 2.652e-06 3.034e-02 2.434e-07 1.727e-03
4.554e+00 2.176e-06 2.844e-02 2.152e-07 1.988e-03
5.000e+00 1.805e-06 2.673e-02 1.920e-07 2.248e-03
5.027e+00 1.786e-06 2.664e-02 1.907e-07 2.263e-03
5.549e+00 1.466e-06 2.492e-02 1.693e-07 2.556e-03
6.000e+00 1.254e-06 2.363e-02 1.544e-07 2.795e-03
6.126e+00 1.203e-06 2.329e-02 1.507e-07 2.860e-03
6.762e+00 9.869e-07 2.176e-02 1.343e-07 3.176e-03
7.000e+00 9.209e-07 2.124e-02 1.290e-07 3.290e-03
7.465e+00 8.098e-07 2.030e-02 1.198e-07 3.502e-03
8.000e+00 7.052e-07 1.933e-02 1.107e-07 3.738e-03
8.241e+00 6.646e-07 1.892e-02 1.071e-07 3.840e-03
9.000e+00 5.572e-07 1.777e-02 9.697e-08 4.149e-03
9.097e+00 5.454e-07 1.763e-02 9.582e-08 4.187e-03
1.000e+01 4.513e-07 1.646e-02 8.624e-08 4.523e-03
1.004e+01 4.477e-07 1.641e-02 8.586e-08 4.538e-03
1.100e+01 3.730e-07 1.535e-02 7.762e-08 4.867e-03
1.109e+01 3.669e-07 1.526e-02 7.693e-08 4.896e-03
1.200e+01 3.134e-07 1.440e-02 7.056e-08 5.183e-03
