# DIMETHYL SULFOXIDE from NIST Database
4.245e-01 6.125e-04 9.995e-02 2.072e-04 0.000e+00
4.686e-01 5.033e-04 9.604e-02 1.580e-04 0.000e+00
5.000e-01 4.424e-04 9.351e-02 1.329e-04 0.000e+00
5.173e-01 4.135e-04 9.219e-02 1.216e-04 0.000e+00
5.710e-01 3.396e-04 8.841e-02 9.429e-05 0.000e+00
6.000e-01 3.077e-04 8.654e-02 8.316e-05 0.000e+00
6.304e-01 2.789e-04 8.469e-02 7.342e-05 0.000e+00
6.959e-01 2.290e-04 8.105e-02 5.758e-05 0.000e+00
7.682e-01 1.880e-04 7.749e-02 4.592e-05 0.000e+00
8.000e-01 1.734e-04 7.605e-02 4.214e-05 0.000e+00
8.480e-01 1.543e-04 7.401e-02 3.753e-05 0.000e+00
9.361e-01 1.266e-04 7.061e-02 3.069e-05 0.000e+00
1.000e+00 1.110e-04 6.840e-02 2.620e-05 0.000e+00
1.022e+00 1.064e-04 6.768e-02 2.473e-05 0.000e+00
1.033e+00 1.041e-04 6.733e-02 2.406e-05 5.146e-09
1.141e+00 8.538e-05 6.408e-02 1.956e-05 4.803e-06
1.250e+00 7.110e-05 6.117e-02 1.675e-05 2.562e-05
1.259e+00 7.009e-05 6.094e-02 1.655e-05 2.817e-05
1.390e+00 5.750e-05 5.788e-02 1.390e-05 7.891e-05
1.500e+00 4.939e-05 5.560e-02 1.213e-05 1.393e-04
1.535e+00 4.717e-05 5.492e-02 1.165e-05 1.614e-04
1.694e+00 3.873e-05 5.207e-02 9.853e-06 2.770e-04
1.870e+00 3.179e-05 4.929e-02 8.393e-06 4.273e-04
2.000e+00 2.779e-05 4.745e-02 7.550e-06 5.491e-04
2.044e+00 2.661e-05 4.686e-02 7.298e-06 5.918e-04
2.065e+00 2.607e-05 4.659e-02 7.184e-06 6.124e-04
2.279e+00 2.140e-05 4.400e-02 6.182e-06 8.272e-04
2.516e+00 1.756e-05 4.151e-02 5.341e-06 1.071e-03
2.778e+00 1.441e-05 3.912e-02 4.632e-06 1.344e-03
3.000e+00 1.235e-05 3.733e-02 4.159e-06 1.574e-03
3.066e+00 1.183e-05 3.683e-02 4.035e-06 1.642e-03
3.385e+00 9.704e-06 3.463e-02 3.526e-06 1.969e-03
3.737e+00 7.962e-06 3.253e-02 3.091e-06 2.321e-03
4.000e+00 6.949e-06 3.114e-02 2.829e-06 2.576e-03
4.125e+00 6.534e-06 3.052e-02 2.719e-06 2.695e-03
4.554e+00 5.361e-06 2.861e-02 2.397e-06 3.091e-03
5.000e+00 4.447e-06 2.689e-02 2.133e-06 3.484e-03
5.027e+00 4.400e-06 2.680e-02 2.118e-06 3.508e-03
5.549e+00 3.611e-06 2.507e-02 1.876e-06 3.947e-03
6.000e+00 3.089e-06 2.377e-02 1.707e-06 4.309e-03
6.126e+00 2.963e-06 2.343e-02 1.665e-06 4.406e-03
6.762e+00 2.432e-06 2.189e-02 1.480e-06 4.880e-03
7.000e+00 2.269e-06 2.136e-02 1.421e-06 5.049e-03
7.465e+00 1.995e-06 2.042e-02 1.318e-06 5.368e-03
8.000e+00 1.737e-06 1.944e-02 1.216e-06 5.718e-03
8.241e+00 1.637e-06 1.904e-02 1.175e-06 5.871e-03
9.000e+00 1.373e-06 1.787e-02 1.063e-06 6.329e-03
