# TUNGSTEN HEXAFLUORIDE from NIST Database
1.500e-01 5.602e-02 1.081e-01 8.616e-01 0.000e+00
1.579e-01 5.109e-02 1.069e-01 7.495e-01 0.000e+00
1.743e-01 4.277e-02 1.044e-01 5.732e-01 0.000e+00
1.925e-01 3.575e-02 1.018e-01 4.381e-01 0.000e+00
2.000e-01 3.335e-02 1.008e-01 3.951e-01 0.000e+00
2.125e-01 2.987e-02 9.915e-02 3.354e-01 0.000e+00
2.345e-01 2.495e-02 9.638e-02 2.573e-01 0.000e+00
2.589e-01 2.079e-02 9.352e-02 1.975e-01 0.000e+00
2.858e-01 1.731e-02 9.061e-02 1.520e-01 0.000e+00
3.000e-01 1.582e-02 8.917e-02 1.337e-01 0.000e+00
3.155e-01 1.440e-02 8.767e-02 1.172e-01 0.000e+00
3.483e-01 1.195e-02 8.471e-02 9.071e-02 0.000e+00
3.845e-01 9.912e-03 8.175e-02 7.046e-02 0.000e+00
4.000e-01 9.195e-03 8.057e-02 6.377e-02 0.000e+00
4.245e-01 8.210e-03 7.879e-02 5.496e-02 0.000e+00
4.686e-01 6.795e-03 7.584e-02 4.308e-02 0.000e+00
5.000e-01 5.999e-03 7.392e-02 3.681e-02 0.000e+00
5.173e-01 5.619e-03 7.292e-02 3.392e-02 0.000e+00
5.710e-01 4.644e-03 7.003e-02 2.685e-02 0.000e+00
6.000e-01 4.220e-03 6.860e-02 2.393e-02 0.000e+00
6.304e-01 3.835e-03 6.717e-02 2.136e-02 0.000e+00
6.959e-01 3.165e-03 6.435e-02 1.710e-02 0.000e+00
7.682e-01 2.611e-03 6.159e-02 1.376e-02 0.000e+00
8.000e-01 2.412e-03 6.048e-02 1.261e-02 0.000e+00
8.480e-01 2.152e-03 5.890e-02 1.114e-02 0.000e+00
9.361e-01 1.773e-03 5.625e-02 9.064e-03 0.000e+00
1.000e+00 1.557e-03 5.447e-02 7.922e-03 0.000e+00
1.022e+00 1.492e-03 5.389e-02 7.582e-03 0.000e+00
1.033e+00 1.461e-03 5.360e-02 7.421e-03 4.819e-08
1.141e+00 1.202e-03 5.103e-02 6.096e-03 4.165e-05
1.250e+00 1.004e-03 4.876e-02 5.113e-03 2.071e-04
1.259e+00 9.895e-04 4.858e-02 5.044e-03 2.264e-04
1.390e+00 8.136e-04 4.617e-02 4.192e-03 5.874e-04
1.500e+00 6.999e-04 4.435e-02 3.647e-03 9.760e-04
