# SILICON DIOXIDE from NIST Database
5.000e-01 4.470e-04 8.684e-02 9.773e-05 0.000e+00
5.173e-01 4.177e-04 8.561e-02 8.938e-05 0.000e+00
5.710e-01 3.431e-04 8.210e-02 6.930e-05 0.000e+00
6.000e-01 3.108e-04 8.036e-02 6.109e-05 0.000e+00
6.304e-01 2.816e-04 7.865e-02 5.389e-05 0.000e+00
6.959e-01 2.313e-04 7.527e-02 4.221e-05 0.000e+00
7.682e-01 1.899e-04 7.197e-02 3.366e-05 0.000e+00
8.000e-01 1.751e-04 7.064e-02 3.091e-05 0.000e+00
8.480e-01 1.558e-04 6.875e-02 2.757e-05 0.000e+00
9.361e-01 1.279e-04 6.560e-02 2.258e-05 0.000e+00
1.000e+00 1.121e-04 6.353e-02 1.922e-05 0.000e+00
1.022e+00 1.073e-04 6.286e-02 1.810e-05 0.000e+00
1.033e+00 1.051e-04 6.253e-02 1.760e-05 5.331e-09
1.141e+00 8.615e-05 5.952e-02 1.429e-05 5.002e-06
1.250e+00 7.178e-05 5.682e-02 1.227e-05 2.680e-05
1.259e+00 7.076e-05 5.661e-02 1.212e-05 2.947e-05
1.390e+00 5.806e-05 5.376e-02 1.019e-05 8.284e-05
1.500e+00 4.986e-05 5.164e-02 8.884e-06 1.465e-04
1.535e+00 4.761e-05 5.101e-02 8.532e-06 1.699e-04
1.694e+00 3.908e-05 4.837e-02 7.225e-06 2.920e-04
1.870e+00 3.207e-05 4.580e-02 6.163e-06 4.510e-04
2.000e+00 2.805e-05 4.408e-02 5.547e-06 5.794e-04
2.044e+00 2.686e-05 4.353e-02 5.363e-06 6.244e-04
2.065e+00 2.632e-05 4.327e-02 5.279e-06 6.461e-04
2.279e+00 2.161e-05 4.086e-02 4.546e-06 8.726e-04
2.516e+00 1.773e-05 3.854e-02 3.931e-06 1.130e-03
2.778e+00 1.454e-05 3.633e-02 3.414e-06 1.419e-03
3.000e+00 1.247e-05 3.467e-02 3.067e-06 1.662e-03
3.066e+00 1.194e-05 3.421e-02 2.977e-06 1.734e-03
3.385e+00 9.793e-06 3.217e-02 2.604e-06 2.078e-03
