# CELLULOSE NITRATE from NIST Database
5.000e-01 2.117e-04 8.952e-02 1.564e-05 0.000e+00
5.173e-01 1.978e-04 8.825e-02 1.430e-05 0.000e+00
5.710e-01 1.624e-04 8.461e-02 1.107e-05 0.000e+00
6.000e-01 1.471e-04 8.282e-02 9.739e-06 0.000e+00
6.304e-01 1.333e-04 8.105e-02 8.566e-06 0.000e+00
6.959e-01 1.094e-04 7.756e-02 6.669e-06 0.000e+00
7.682e-01 8.979e-05 7.415e-02 5.325e-06 0.000e+00
8.000e-01 8.279e-05 7.278e-02 4.915e-06 0.000e+00
8.480e-01 7.368e-05 7.082e-02 4.433e-06 0.000e+00
9.361e-01 6.046e-05 6.756e-02 3.663e-06 0.000e+00
1.000e+00 5.300e-05 6.545e-02 3.055e-06 0.000e+00
1.022e+00 5.075e-05 6.477e-02 2.843e-06 0.000e+00
1.033e+00 4.968e-05 6.443e-02 2.750e-06 3.379e-09
1.141e+00 4.073e-05 6.132e-02 2.209e-06 3.204e-06
1.250e+00 3.394e-05 5.853e-02 1.930e-06 1.732e-05
1.259e+00 3.345e-05 5.831e-02 1.909e-06 1.906e-05
1.390e+00 2.744e-05 5.538e-02 1.610e-06 5.395e-05
1.500e+00 2.356e-05 5.319e-02 1.400e-06 9.583e-05
1.535e+00 2.250e-05 5.255e-02 1.344e-06 1.112e-04
1.694e+00 1.848e-05 4.983e-02 1.140e-06 1.918e-04
1.870e+00 1.517e-05 4.718e-02 9.767e-07 2.968e-04
2.000e+00 1.326e-05 4.540e-02 8.814e-07 3.815e-04
2.044e+00 1.269e-05 4.483e-02 8.526e-07 4.112e-04
2.065e+00 1.243e-05 4.456e-02 8.395e-07 4.255e-04
2.279e+00 1.020e-05 4.207e-02 7.248e-07 5.752e-04
2.516e+00 8.372e-06 3.969e-02 6.285e-07 7.467e-04
2.778e+00 6.870e-06 3.742e-02 5.472e-07 9.396e-04
3.000e+00 5.892e-06 3.571e-02 4.927e-07 1.103e-03
3.066e+00 5.641e-06 3.524e-02 4.785e-07 1.152e-03
3.385e+00 4.629e-06 3.314e-02 4.196e-07 1.385e-03
3.737e+00 3.798e-06 3.112e-02 3.690e-07 1.637e-03
4.000e+00 3.315e-06 2.979e-02 3.384e-07 1.821e-03
4.125e+00 3.117e-06 2.920e-02 3.255e-07 1.907e-03
4.554e+00 2.557e-06 2.737e-02 2.877e-07 2.191e-03
5.000e+00 2.121e-06 2.573e-02 2.566e-07 2.477e-03
5.027e+00 2.098e-06 2.563e-02 2.550e-07 2.493e-03
5.549e+00 1.722e-06 2.398e-02 2.264e-07 2.812e-03
6.000e+00 1.473e-06 2.274e-02 2.064e-07 3.075e-03
6.126e+00 1.413e-06 2.242e-02 2.014e-07 3.146e-03
6.762e+00 1.160e-06 2.094e-02 1.795e-07 3.490e-03
7.000e+00 1.082e-06 2.044e-02 1.724e-07 3.614e-03
7.465e+00 9.516e-07 1.954e-02 1.601e-07 3.845e-03
8.000e+00 8.286e-07 1.860e-02 1.480e-07 4.101e-03
