# MAGNESIUM FLUORIDE from NIST Database
5.000e-01 3.817e-04 8.376e-02 5.883e-05 0.000e+00
5.173e-01 3.567e-04 8.257e-02 5.379e-05 0.000e+00
5.710e-01 2.929e-04 7.919e-02 4.167e-05 0.000e+00
6.000e-01 2.653e-04 7.751e-02 3.671e-05 0.000e+00
6.304e-01 2.404e-04 7.586e-02 3.236e-05 0.000e+00
6.959e-01 1.973e-04 7.261e-02 2.530e-05 0.000e+00
7.682e-01 1.620e-04 6.942e-02 2.017e-05 0.000e+00
8.000e-01 1.494e-04 6.814e-02 1.855e-05 0.000e+00
8.480e-01 1.330e-04 6.631e-02 1.658e-05 0.000e+00
9.361e-01 1.091e-04 6.326e-02 1.361e-05 0.000e+00
1.000e+00 9.566e-05 6.127e-02 1.153e-05 0.000e+00
1.022e+00 9.159e-05 6.063e-02 1.083e-05 0.000e+00
1.033e+00 8.965e-05 6.031e-02 1.052e-05 4.727e-09
1.141e+00 7.349e-05 5.740e-02 8.516e-06 4.463e-06
1.250e+00 6.123e-05 5.480e-02 7.345e-06 2.403e-05
1.259e+00 6.036e-05 5.460e-02 7.259e-06 2.644e-05
1.390e+00 4.953e-05 5.186e-02 6.107e-06 7.463e-05
1.500e+00 4.253e-05 4.981e-02 5.326e-06 1.323e-04
1.535e+00 4.061e-05 4.920e-02 5.115e-06 1.535e-04
1.694e+00 3.334e-05 4.663e-02 4.335e-06 2.644e-04
1.870e+00 2.736e-05 4.414e-02 3.702e-06 4.087e-04
2.000e+00 2.393e-05 4.250e-02 3.335e-06 5.255e-04
2.044e+00 2.292e-05 4.198e-02 3.224e-06 5.665e-04
2.065e+00 2.246e-05 4.174e-02 3.174e-06 5.863e-04
2.279e+00 1.845e-05 3.943e-02 2.735e-06 7.924e-04
2.516e+00 1.513e-05 3.720e-02 2.368e-06 1.027e-03
2.778e+00 1.241e-05 3.505e-02 2.059e-06 1.289e-03
3.000e+00 1.064e-05 3.344e-02 1.852e-06 1.512e-03
3.066e+00 1.018e-05 3.300e-02 1.798e-06 1.578e-03
3.385e+00 8.355e-06 3.102e-02 1.574e-06 1.893e-03
3.737e+00 6.856e-06 2.914e-02 1.382e-06 2.232e-03
4.000e+00 5.984e-06 2.789e-02 1.266e-06 2.478e-03
4.125e+00 5.627e-06 2.734e-02 1.217e-06 2.592e-03
4.554e+00 4.617e-06 2.563e-02 1.075e-06 2.974e-03
5.000e+00 3.830e-06 2.409e-02 9.576e-07 3.353e-03
5.027e+00 3.788e-06 2.400e-02 9.513e-07 3.376e-03
5.549e+00 3.109e-06 2.246e-02 8.439e-07 3.799e-03
6.000e+00 2.659e-06 2.129e-02 7.685e-07 4.147e-03
6.126e+00 2.551e-06 2.099e-02 7.498e-07 4.241e-03
6.762e+00 2.094e-06 1.961e-02 6.675e-07 4.697e-03
7.000e+00 1.954e-06 1.914e-02 6.411e-07 4.860e-03
7.465e+00 1.718e-06 1.829e-02 5.950e-07 5.167e-03
8.000e+00 1.496e-06 1.742e-02 5.495e-07 5.504e-03
8.241e+00 1.410e-06 1.705e-02 5.312e-07 5.650e-03
9.000e+00 1.182e-06 1.601e-02 4.807e-07 6.091e-03
9.097e+00 1.157e-06 1.589e-02 4.749e-07 6.144e-03
1.000e+01 9.575e-07 1.483e-02 4.271e-07 6.627e-03
1.004e+01 9.499e-07 1.479e-02 4.252e-07 6.647e-03
1.100e+01 7.913e-07 1.384e-02 3.842e-07 7.116e-03
1.109e+01 7.785e-07 1.375e-02 3.807e-07 7.159e-03
1.200e+01 6.647e-07 1.298e-02 3.490e-07 7.564e-03
1.224e+01 6.389e-07 1.279e-02 3.415e-07 7.668e-03
1.300e+01 5.665e-07 1.222e-02 3.198e-07 7.982e-03
1.351e+01 5.246e-07 1.188e-02 3.067e-07 8.184e-03
1.400e+01 4.885e-07 1.156e-02 2.950e-07 8.371e-03
1.491e+01 4.308e-07 1.103e-02 2.756e-07 8.705e-03
1.500e+01 4.256e-07 1.098e-02 2.738e-07 8.737e-03
1.600e+01 3.740e-07 1.046e-02 2.554e-07 9.079e-03
1.646e+01 3.533e-07 1.023e-02 2.478e-07 9.230e-03
1.800e+01 2.955e-07 9.557e-03 2.252e-07 9.710e-03
1.818e+01 2.896e-07 9.484e-03 2.228e-07 9.763e-03
2.000e+01 2.394e-07 8.813e-03 2.014e-07 1.027e-02
