# POLYVINYL BUTYRAL from NIST Database
5.173e-01 1.521e-04 9.362e-02 8.649e-06 0.000e+00
5.710e-01 1.249e-04 8.976e-02 6.695e-06 0.000e+00
6.000e-01 1.131e-04 8.785e-02 5.888e-06 0.000e+00
6.304e-01 1.025e-04 8.597e-02 5.175e-06 0.000e+00
6.959e-01 8.411e-05 8.227e-02 4.023e-06 0.000e+00
7.682e-01 6.903e-05 7.865e-02 3.214e-06 0.000e+00
8.000e-01 6.365e-05 7.719e-02 2.970e-06 0.000e+00
8.480e-01 5.665e-05 7.510e-02 2.688e-06 0.000e+00
9.361e-01 4.649e-05 7.164e-02 2.226e-06 0.000e+00
1.000e+00 4.075e-05 6.941e-02 1.847e-06 0.000e+00
1.022e+00 3.902e-05 6.869e-02 1.712e-06 0.000e+00
1.033e+00 3.819e-05 6.834e-02 1.654e-06 2.842e-09
1.141e+00 3.131e-05 6.505e-02 1.325e-06 2.701e-06
1.250e+00 2.609e-05 6.207e-02 1.162e-06 1.463e-05
1.259e+00 2.572e-05 6.184e-02 1.150e-06 1.610e-05
1.390e+00 2.110e-05 5.874e-02 9.706e-07 4.565e-05
1.500e+00 1.812e-05 5.643e-02 8.437e-07 8.113e-05
1.535e+00 1.730e-05 5.574e-02 8.099e-07 9.420e-05
1.694e+00 1.421e-05 5.284e-02 6.869e-07 1.625e-04
1.870e+00 1.166e-05 5.001e-02 5.888e-07 2.515e-04
2.000e+00 1.019e-05 4.815e-02 5.316e-07 3.234e-04
2.044e+00 9.756e-06 4.755e-02 5.143e-07 3.486e-04
2.065e+00 9.558e-06 4.727e-02 5.064e-07 3.607e-04
2.279e+00 7.845e-06 4.465e-02 4.374e-07 4.879e-04
2.516e+00 6.438e-06 4.212e-02 3.794e-07 6.339e-04
2.778e+00 5.282e-06 3.969e-02 3.305e-07 7.984e-04
3.000e+00 4.530e-06 3.788e-02 2.976e-07 9.388e-04
3.066e+00 4.337e-06 3.737e-02 2.891e-07 9.804e-04
3.385e+00 3.558e-06 3.514e-02 2.535e-07 1.181e-03
3.737e+00 2.919e-06 3.301e-02 2.230e-07 1.398e-03
4.000e+00 2.548e-06 3.159e-02 2.046e-07 1.556e-03
4.125e+00 2.396e-06 3.097e-02 1.968e-07 1.630e-03
4.554e+00 1.966e-06 2.903e-02 1.740e-07 1.877e-03
5.000e+00 1.631e-06 2.729e-02 1.552e-07 2.124e-03
5.027e+00 1.613e-06 2.719e-02 1.542e-07 2.138e-03
5.549e+00 1.324e-06 2.544e-02 1.370e-07 2.415e-03
6.000e+00 1.132e-06 2.412e-02 1.249e-07 2.644e-03
6.126e+00 1.086e-06 2.378e-02 1.219e-07 2.706e-03
6.762e+00 8.914e-07 2.221e-02 1.086e-07 3.006e-03
7.000e+00 8.318e-07 2.168e-02 1.044e-07 3.113e-03
7.465e+00 7.315e-07 2.072e-02 9.695e-08 3.317e-03
8.000e+00 6.371e-07 1.973e-02 8.959e-08 3.540e-03
8.241e+00 6.004e-07 1.932e-02 8.664e-08 3.637e-03
9.000e+00 5.033e-07 1.813e-02 7.848e-08 3.931e-03
9.097e+00 4.926e-07 1.799e-02 7.754e-08 3.967e-03
1.000e+01 4.077e-07 1.680e-02 6.980e-08 4.288e-03
1.004e+01 4.044e-07 1.675e-02 6.949e-08 4.302e-03
1.100e+01 3.369e-07 1.567e-02 6.283e-08 4.616e-03
1.109e+01 3.315e-07 1.558e-02 6.227e-08 4.643e-03
1.200e+01 2.831e-07 1.470e-02 5.712e-08 4.917e-03
1.224e+01 2.721e-07 1.448e-02 5.590e-08 4.986e-03
1.300e+01 2.413e-07 1.384e-02 5.236e-08 5.199e-03
1.351e+01 2.234e-07 1.345e-02 5.022e-08 5.336e-03
1.400e+01 2.080e-07 1.310e-02 4.833e-08 5.462e-03
1.491e+01 1.834e-07 1.249e-02 4.516e-08 5.686e-03
1.500e+01 1.812e-07 1.244e-02 4.487e-08 5.707e-03
1.600e+01 1.592e-07 1.184e-02 4.188e-08 5.942e-03
1.646e+01 1.505e-07 1.159e-02 4.063e-08 6.044e-03
1.800e+01 1.258e-07 1.082e-02 3.695e-08 6.367e-03
1.818e+01 1.233e-07 1.074e-02 3.656e-08 6.404e-03
2.000e+01 1.019e-07 9.979e-03 3.305e-08 6.750e-03
