# LITHIUM FLUORIDE from NIST Database
5.710e-01 1.763e-04 7.610e-02 1.653e-05 0.000e+00
6.000e-01 1.597e-04 7.449e-02 1.456e-05 0.000e+00
6.304e-01 1.447e-04 7.290e-02 1.282e-05 0.000e+00
6.959e-01 1.188e-04 6.978e-02 1.000e-05 0.000e+00
7.682e-01 9.748e-05 6.672e-02 7.981e-06 0.000e+00
8.000e-01 8.989e-05 6.548e-02 7.350e-06 0.000e+00
8.480e-01 8.002e-05 6.372e-02 6.596e-06 0.000e+00
9.361e-01 6.568e-05 6.079e-02 5.429e-06 0.000e+00
1.000e+00 5.755e-05 5.888e-02 4.569e-06 0.000e+00
1.022e+00 5.509e-05 5.826e-02 4.274e-06 0.000e+00
1.033e+00 5.393e-05 5.795e-02 4.144e-06 3.258e-09
1.141e+00 4.420e-05 5.516e-02 3.343e-06 3.094e-06
1.250e+00 3.684e-05 5.265e-02 2.899e-06 1.674e-05
1.259e+00 3.631e-05 5.246e-02 2.866e-06 1.842e-05
1.390e+00 2.979e-05 4.983e-02 2.414e-06 5.222e-05
1.500e+00 2.558e-05 4.786e-02 2.104e-06 9.278e-05
1.535e+00 2.443e-05 4.727e-02 2.021e-06 1.077e-04
1.694e+00 2.006e-05 4.479e-02 1.713e-06 1.857e-04
1.870e+00 1.646e-05 4.240e-02 1.465e-06 2.874e-04
2.000e+00 1.439e-05 4.083e-02 1.321e-06 3.697e-04
2.044e+00 1.378e-05 4.034e-02 1.278e-06 3.986e-04
2.065e+00 1.350e-05 4.010e-02 1.258e-06 4.125e-04
2.279e+00 1.109e-05 3.790e-02 1.086e-06 5.580e-04
2.516e+00 9.099e-06 3.575e-02 9.406e-07 7.243e-04
2.778e+00 7.463e-06 3.368e-02 8.184e-07 9.107e-04
3.000e+00 6.399e-06 3.213e-02 7.365e-07 1.069e-03
3.066e+00 6.126e-06 3.170e-02 7.151e-07 1.116e-03
3.385e+00 5.026e-06 2.981e-02 6.267e-07 1.341e-03
3.737e+00 4.124e-06 2.800e-02 5.508e-07 1.584e-03
4.000e+00 3.600e-06 2.680e-02 5.049e-07 1.762e-03
4.125e+00 3.385e-06 2.627e-02 4.856e-07 1.844e-03
