# CALCIUM FLUORIDE from NIST Database
5.000e-01 7.606e-04 8.456e-02 3.829e-04 0.000e+00
5.173e-01 7.109e-04 8.337e-02 3.503e-04 0.000e+00
5.710e-01 5.842e-04 7.997e-02 2.720e-04 0.000e+00
6.000e-01 5.294e-04 7.828e-02 2.400e-04 0.000e+00
6.304e-01 4.798e-04 7.662e-02 2.121e-04 0.000e+00
6.959e-01 3.941e-04 7.334e-02 1.667e-04 0.000e+00
7.682e-01 3.236e-04 7.013e-02 1.329e-04 0.000e+00
8.000e-01 2.985e-04 6.883e-02 1.219e-04 0.000e+00
8.480e-01 2.657e-04 6.698e-02 1.083e-04 0.000e+00
9.361e-01 2.181e-04 6.390e-02 8.836e-05 0.000e+00
1.000e+00 1.912e-04 6.191e-02 7.577e-05 0.000e+00
1.022e+00 1.831e-04 6.126e-02 7.172e-05 0.000e+00
1.033e+00 1.793e-04 6.094e-02 6.987e-05 7.798e-09
1.141e+00 1.470e-04 5.801e-02 5.691e-05 7.145e-06
1.250e+00 1.225e-04 5.537e-02 4.856e-05 3.757e-05
1.259e+00 1.207e-04 5.517e-02 4.796e-05 4.126e-05
1.390e+00 9.907e-05 5.240e-02 4.022e-05 1.142e-04
1.500e+00 8.509e-05 5.033e-02 3.509e-05 2.004e-04
1.535e+00 8.125e-05 4.971e-02 3.370e-05 2.320e-04
1.694e+00 6.672e-05 4.711e-02 2.848e-05 3.968e-04
1.870e+00 5.476e-05 4.460e-02 2.422e-05 6.118e-04
2.000e+00 4.788e-05 4.295e-02 2.176e-05 7.861e-04
2.044e+00 4.585e-05 4.242e-02 2.103e-05 8.472e-04
2.065e+00 4.492e-05 4.218e-02 2.070e-05 8.765e-04
2.279e+00 3.689e-05 3.985e-02 1.779e-05 1.182e-03
2.516e+00 3.027e-05 3.760e-02 1.535e-05 1.526e-03
2.778e+00 2.483e-05 3.542e-02 1.329e-05 1.908e-03
3.000e+00 2.129e-05 3.380e-02 1.192e-05 2.228e-03
3.066e+00 2.038e-05 3.335e-02 1.156e-05 2.323e-03
3.385e+00 1.672e-05 3.136e-02 1.009e-05 2.777e-03
3.737e+00 1.372e-05 2.946e-02 8.828e-06 3.266e-03
4.000e+00 1.198e-05 2.820e-02 8.071e-06 3.619e-03
4.125e+00 1.126e-05 2.764e-02 7.753e-06 3.784e-03
4.554e+00 9.240e-06 2.590e-02 6.827e-06 4.330e-03
5.000e+00 7.665e-06 2.435e-02 6.068e-06 4.870e-03
5.027e+00 7.583e-06 2.426e-02 6.028e-06 4.903e-03
5.549e+00 6.223e-06 2.270e-02 5.333e-06 5.504e-03
6.000e+00 5.323e-06 2.153e-02 4.848e-06 5.999e-03
6.126e+00 5.106e-06 2.122e-02 4.727e-06 6.132e-03
6.762e+00 4.191e-06 1.982e-02 4.199e-06 6.777e-03
7.000e+00 3.910e-06 1.934e-02 4.030e-06 7.008e-03
7.465e+00 3.438e-06 1.849e-02 3.736e-06 7.443e-03
8.000e+00 2.994e-06 1.760e-02 3.446e-06 7.919e-03
8.241e+00 2.821e-06 1.724e-02 3.329e-06 8.126e-03
9.000e+00 2.365e-06 1.618e-02 3.007e-06 8.747e-03
9.097e+00 2.315e-06 1.606e-02 2.970e-06 8.823e-03
1.000e+01 1.917e-06 1.499e-02 2.667e-06 9.502e-03
1.004e+01 1.901e-06 1.495e-02 2.654e-06 9.530e-03
1.100e+01 1.584e-06 1.398e-02 2.395e-06 1.019e-02
1.109e+01 1.558e-06 1.390e-02 2.373e-06 1.025e-02
1.200e+01 1.331e-06 1.311e-02 2.174e-06 1.082e-02
1.224e+01 1.279e-06 1.292e-02 2.127e-06 1.097e-02
1.300e+01 1.134e-06 1.236e-02 1.989e-06 1.140e-02
1.351e+01 1.050e-06 1.201e-02 1.907e-06 1.168e-02
1.400e+01 9.774e-07 1.169e-02 1.833e-06 1.195e-02
1.491e+01 8.620e-07 1.115e-02 1.711e-06 1.241e-02
1.500e+01 8.517e-07 1.110e-02 1.700e-06 1.246e-02
1.600e+01 7.486e-07 1.057e-02 1.585e-06 1.294e-02
1.646e+01 7.073e-07 1.034e-02 1.537e-06 1.314e-02
1.800e+01 5.914e-07 9.659e-03 1.395e-06 1.382e-02
1.818e+01 5.798e-07 9.586e-03 1.380e-06 1.390e-02
2.000e+01 4.791e-07 8.907e-03 1.246e-06 1.460e-02
