# FERROUS OXIDE from NIST Database
5.000e-01 1.406e-03 8.207e-02 1.374e-03 0.000e+00
5.173e-01 1.314e-03 8.092e-02 1.259e-03 0.000e+00
5.710e-01 1.081e-03 7.764e-02 9.794e-04 0.000e+00
6.000e-01 9.794e-04 7.601e-02 8.654e-04 0.000e+00
6.304e-01 8.879e-04 7.440e-02 7.658e-04 0.000e+00
6.959e-01 7.297e-04 7.122e-02 6.031e-04 0.000e+00
7.682e-01 5.996e-04 6.812e-02 4.811e-04 0.000e+00
8.000e-01 5.531e-04 6.686e-02 4.407e-04 0.000e+00
8.480e-01 4.925e-04 6.508e-02 3.906e-04 0.000e+00
9.361e-01 4.044e-04 6.211e-02 3.183e-04 0.000e+00
1.000e+00 3.546e-04 6.016e-02 2.741e-04 0.000e+00
1.022e+00 3.396e-04 5.952e-02 2.601e-04 0.000e+00
1.033e+00 3.324e-04 5.921e-02 2.537e-04 1.303e-08
1.141e+00 2.727e-04 5.636e-02 2.070e-04 1.154e-05
1.250e+00 2.273e-04 5.381e-02 1.759e-04 5.897e-05
1.259e+00 2.240e-04 5.361e-02 1.737e-04 6.464e-05
1.390e+00 1.838e-04 5.093e-02 1.455e-04 1.746e-04
1.500e+00 1.579e-04 4.892e-02 1.269e-04 3.022e-04
1.535e+00 1.508e-04 4.832e-02 1.219e-04 3.486e-04
1.694e+00 1.239e-04 4.582e-02 1.028e-04 5.901e-04
1.870e+00 1.018e-04 4.338e-02 8.726e-05 9.033e-04
2.000e+00 8.892e-05 4.176e-02 7.827e-05 1.155e-03
2.044e+00 8.510e-05 4.124e-02 7.559e-05 1.243e-03
2.065e+00 8.337e-05 4.100e-02 7.438e-05 1.285e-03
2.279e+00 6.839e-05 3.872e-02 6.377e-05 1.724e-03
2.516e+00 5.612e-05 3.653e-02 5.490e-05 2.218e-03
2.778e+00 4.607e-05 3.443e-02 4.745e-05 2.764e-03
3.000e+00 3.952e-05 3.285e-02 4.249e-05 3.221e-03
3.066e+00 3.784e-05 3.242e-02 4.120e-05 3.356e-03
3.385e+00 3.105e-05 3.049e-02 3.588e-05 3.999e-03
3.737e+00 2.548e-05 2.864e-02 3.135e-05 4.686e-03
4.000e+00 2.223e-05 2.741e-02 2.863e-05 5.181e-03
4.125e+00 2.091e-05 2.687e-02 2.748e-05 5.411e-03
4.554e+00 1.715e-05 2.519e-02 2.415e-05 6.174e-03
5.000e+00 1.423e-05 2.368e-02 2.143e-05 6.929e-03
5.027e+00 1.408e-05 2.359e-02 2.128e-05 6.973e-03
5.549e+00 1.156e-05 2.207e-02 1.880e-05 7.810e-03
6.000e+00 9.887e-06 2.092e-02 1.707e-05 8.495e-03
6.126e+00 9.484e-06 2.063e-02 1.664e-05 8.680e-03
6.762e+00 7.782e-06 1.927e-02 1.476e-05 9.573e-03
7.000e+00 7.261e-06 1.881e-02 1.416e-05 9.891e-03
7.465e+00 6.385e-06 1.798e-02 1.311e-05 1.050e-02
8.000e+00 5.560e-06 1.712e-02 1.208e-05 1.115e-02
8.241e+00 5.239e-06 1.676e-02 1.167e-05 1.144e-02
9.000e+00 4.393e-06 1.573e-02 1.053e-05 1.230e-02
9.097e+00 4.300e-06 1.561e-02 1.040e-05 1.240e-02
1.000e+01 3.558e-06 1.458e-02 9.330e-06 1.333e-02
1.004e+01 3.529e-06 1.454e-02 9.288e-06 1.337e-02
1.100e+01 2.941e-06 1.359e-02 8.370e-06 1.428e-02
1.109e+01 2.893e-06 1.351e-02 8.293e-06 1.436e-02
1.200e+01 2.471e-06 1.275e-02 7.588e-06 1.514e-02
1.224e+01 2.375e-06 1.256e-02 7.422e-06 1.534e-02
1.300e+01 2.106e-06 1.201e-02 6.939e-06 1.594e-02
1.351e+01 1.949e-06 1.167e-02 6.649e-06 1.633e-02
1.400e+01 1.815e-06 1.137e-02 6.392e-06 1.670e-02
1.491e+01 1.600e-06 1.084e-02 5.963e-06 1.734e-02
1.500e+01 1.581e-06 1.079e-02 5.924e-06 1.739e-02
1.600e+01 1.390e-06 1.028e-02 5.519e-06 1.805e-02
1.646e+01 1.314e-06 1.006e-02 5.351e-06 1.835e-02
1.800e+01 1.099e-06 9.391e-03 4.856e-06 1.925e-02
1.818e+01 1.077e-06 9.320e-03 4.804e-06 1.936e-02
2.000e+01 8.892e-07 8.660e-03 4.334e-06 2.034e-02
