# POLYVINYL CHLORIDE from NIST Database
4.686e-01 6.406e-04 9.144e-02 2.544e-04 0.000e+00
5.000e-01 5.632e-04 8.903e-02 2.140e-04 0.000e+00
5.173e-01 5.263e-04 8.778e-02 1.958e-04 0.000e+00
5.710e-01 4.324e-04 8.418e-02 1.519e-04 0.000e+00
6.000e-01 3.918e-04 8.240e-02 1.340e-04 0.000e+00
6.304e-01 3.551e-04 8.065e-02 1.184e-04 0.000e+00
6.959e-01 2.916e-04 7.719e-02 9.288e-05 0.000e+00
7.682e-01 2.395e-04 7.380e-02 7.404e-05 0.000e+00
8.000e-01 2.209e-04 7.242e-02 6.792e-05 0.000e+00
8.480e-01 1.966e-04 7.047e-02 6.041e-05 0.000e+00
9.361e-01 1.614e-04 6.724e-02 4.937e-05 0.000e+00
1.000e+00 1.415e-04 6.514e-02 4.224e-05 0.000e+00
1.022e+00 1.354e-04 6.446e-02 3.993e-05 0.000e+00
1.033e+00 1.326e-04 6.412e-02 3.888e-05 6.062e-09
1.141e+00 1.087e-04 6.103e-02 3.164e-05 5.620e-06
1.250e+00 9.060e-05 5.826e-02 2.705e-05 2.982e-05
1.259e+00 8.931e-05 5.804e-02 2.672e-05 3.277e-05
1.390e+00 7.328e-05 5.514e-02 2.242e-05 9.135e-05
1.500e+00 6.293e-05 5.296e-02 1.956e-05 1.608e-04
1.535e+00 6.010e-05 5.231e-02 1.879e-05 1.863e-04
1.694e+00 4.935e-05 4.957e-02 1.589e-05 3.190e-04
1.870e+00 4.050e-05 4.692e-02 1.353e-05 4.915e-04
2.000e+00 3.541e-05 4.519e-02 1.216e-05 6.312e-04
2.044e+00 3.390e-05 4.464e-02 1.175e-05 6.802e-04
2.065e+00 3.321e-05 4.438e-02 1.157e-05 7.038e-04
2.279e+00 2.727e-05 4.194e-02 9.944e-06 9.497e-04
2.516e+00 2.237e-05 3.956e-02 8.588e-06 1.228e-03
2.778e+00 1.835e-05 3.727e-02 7.448e-06 1.539e-03
3.000e+00 1.574e-05 3.555e-02 6.687e-06 1.801e-03
3.066e+00 1.507e-05 3.508e-02 6.488e-06 1.878e-03
3.385e+00 1.236e-05 3.298e-02 5.667e-06 2.249e-03
3.737e+00 1.015e-05 3.098e-02 4.966e-06 2.648e-03
4.000e+00 8.855e-06 2.966e-02 4.542e-06 2.937e-03
4.125e+00 8.327e-06 2.907e-02 4.365e-06 3.072e-03
4.554e+00 6.833e-06 2.725e-02 3.846e-06 3.520e-03
5.000e+00 5.668e-06 2.561e-02 3.420e-06 3.964e-03
5.027e+00 5.607e-06 2.552e-02 3.398e-06 3.991e-03
5.549e+00 4.602e-06 2.388e-02 3.008e-06 4.486e-03
6.000e+00 3.936e-06 2.264e-02 2.736e-06 4.892e-03
6.126e+00 3.776e-06 2.232e-02 2.668e-06 5.002e-03
6.762e+00 3.099e-06 2.085e-02 2.372e-06 5.535e-03
7.000e+00 2.892e-06 2.035e-02 2.277e-06 5.724e-03
7.465e+00 2.543e-06 1.945e-02 2.112e-06 6.083e-03
8.000e+00 2.214e-06 1.852e-02 1.948e-06 6.477e-03
8.241e+00 2.086e-06 1.813e-02 1.882e-06 6.648e-03
9.000e+00 1.749e-06 1.702e-02 1.701e-06 7.163e-03
9.097e+00 1.712e-06 1.689e-02 1.681e-06 7.226e-03
1.000e+01 1.417e-06 1.577e-02 1.510e-06 7.787e-03
1.004e+01 1.405e-06 1.573e-02 1.503e-06 7.810e-03
1.100e+01 1.171e-06 1.471e-02 1.357e-06 8.355e-03
1.109e+01 1.152e-06 1.462e-02 1.345e-06 8.404e-03
1.200e+01 9.840e-07 1.380e-02 1.231e-06 8.878e-03
1.224e+01 9.458e-07 1.360e-02 1.204e-06 8.998e-03
1.300e+01 8.385e-07 1.300e-02 1.128e-06 9.364e-03
1.351e+01 7.764e-07 1.263e-02 1.081e-06 9.599e-03
1.400e+01 7.230e-07 1.230e-02 1.040e-06 9.816e-03
1.491e+01 6.374e-07 1.173e-02 9.704e-07 1.020e-02
1.500e+01 6.298e-07 1.168e-02 9.640e-07 1.024e-02
1.600e+01 5.536e-07 1.112e-02 8.988e-07 1.064e-02
1.646e+01 5.230e-07 1.088e-02 8.717e-07 1.082e-02
1.800e+01 4.373e-07 1.016e-02 7.917e-07 1.137e-02
1.818e+01 4.287e-07 1.008e-02 7.833e-07 1.143e-02
2.000e+01 3.543e-07 9.369e-03 7.073e-07 1.203e-02
