# BORON CARBIDE from NIST Database
5.710e-01 9.011e-05 7.747e-02 2.748e-06 0.000e+00
6.000e-01 8.162e-05 7.582e-02 2.414e-06 0.000e+00
6.304e-01 7.395e-05 7.420e-02 2.117e-06 0.000e+00
6.959e-01 6.068e-05 7.100e-02 1.638e-06 0.000e+00
7.682e-01 4.980e-05 6.786e-02 1.311e-06 0.000e+00
8.000e-01 4.591e-05 6.659e-02 1.217e-06 0.000e+00
8.480e-01 4.086e-05 6.479e-02 1.112e-06 0.000e+00
9.361e-01 3.353e-05 6.182e-02 9.281e-07 0.000e+00
1.000e+00 2.939e-05 5.990e-02 7.567e-07 0.000e+00
1.022e+00 2.814e-05 5.928e-02 6.941e-07 0.000e+00
1.033e+00 2.754e-05 5.897e-02 6.675e-07 2.271e-09
1.141e+00 2.258e-05 5.613e-02 5.299e-07 2.166e-06
1.250e+00 1.881e-05 5.356e-02 4.715e-07 1.176e-05
1.259e+00 1.854e-05 5.336e-02 4.668e-07 1.295e-05
1.390e+00 1.521e-05 5.068e-02 3.951e-07 3.681e-05
1.500e+00 1.306e-05 4.868e-02 3.426e-07 6.550e-05
1.535e+00 1.248e-05 4.808e-02 3.286e-07 7.607e-05
1.694e+00 1.025e-05 4.559e-02 2.787e-07 1.313e-04
1.870e+00 8.415e-06 4.315e-02 2.394e-07 2.033e-04
2.000e+00 7.351e-06 4.154e-02 2.164e-07 2.614e-04
2.044e+00 7.035e-06 4.103e-02 2.094e-07 2.818e-04
2.065e+00 6.892e-06 4.079e-02 2.062e-07 2.917e-04
2.279e+00 5.653e-06 3.852e-02 1.783e-07 3.946e-04
2.516e+00 4.639e-06 3.634e-02 1.548e-07 5.130e-04
2.778e+00 3.808e-06 3.425e-02 1.349e-07 6.465e-04
3.000e+00 3.267e-06 3.268e-02 1.216e-07 7.604e-04
3.066e+00 3.128e-06 3.225e-02 1.181e-07 7.943e-04
3.385e+00 2.566e-06 3.032e-02 1.037e-07 9.575e-04
3.737e+00 2.105e-06 2.848e-02 9.126e-08 1.134e-03
4.000e+00 1.837e-06 2.726e-02 8.374e-08 1.264e-03
4.125e+00 1.728e-06 2.672e-02 8.057e-08 1.323e-03
4.554e+00 1.417e-06 2.505e-02 7.131e-08 1.525e-03
5.000e+00 1.176e-06 2.354e-02 6.367e-08 1.726e-03
5.027e+00 1.163e-06 2.346e-02 6.326e-08 1.738e-03
5.549e+00 9.550e-07 2.195e-02 5.622e-08 1.964e-03
6.000e+00 8.169e-07 2.081e-02 5.127e-08 2.151e-03
6.126e+00 7.836e-07 2.052e-02 5.004e-08 2.201e-03
6.762e+00 6.430e-07 1.916e-02 4.463e-08 2.447e-03
7.000e+00 6.000e-07 1.870e-02 4.289e-08 2.535e-03
7.465e+00 5.276e-07 1.787e-02 3.985e-08 2.701e-03
8.000e+00 4.594e-07 1.702e-02 3.684e-08 2.884e-03
8.241e+00 4.329e-07 1.666e-02 3.563e-08 2.964e-03
9.000e+00 3.630e-07 1.565e-02 3.228e-08 3.204e-03
9.097e+00 3.553e-07 1.553e-02 3.190e-08 3.234e-03
1.000e+01 2.940e-07 1.450e-02 2.873e-08 3.497e-03
1.004e+01 2.917e-07 1.445e-02 2.860e-08 3.509e-03
1.100e+01 2.430e-07 1.352e-02 2.586e-08 3.765e-03
1.109e+01 2.391e-07 1.344e-02 2.563e-08 3.789e-03
1.200e+01 2.042e-07 1.268e-02 2.352e-08 4.013e-03
1.224e+01 1.962e-07 1.249e-02 2.302e-08 4.070e-03
