Z PY Ekalpha Ekbeta Pkalpha Ebinding
7.600e+01 7.649e-01 6.244e-02 7.168e-02 7.861e-01 7.387e-02
7.700e+01 7.643e-01 6.430e-02 7.384e-02 7.861e-01 7.611e-02
7.800e+01 7.635e-01 6.620e-02 7.603e-02 7.861e-01 7.840e-02
7.900e+01 7.620e-01 6.813e-02 7.827e-02 7.871e-01 8.073e-02
8.000e+01 7.605e-01 7.011e-02 8.055e-02 7.871e-01 8.310e-02
8.100e+01 7.592e-01 7.211e-02 8.288e-02 7.882e-01 8.553e-02
8.200e+01 7.579e-01 7.416e-02 8.524e-02 7.882e-01 8.800e-02
8.300e+01 7.566e-01 7.625e-02 8.771e-02 7.843e-01 9.052e-02
8.400e+01 7.551e-01 7.625e-02 8.771e-02 7.843e-01 9.310e-02
8.500e+01 7.535e-01 7.625e-02 8.771e-02 7.843e-01 9.573e-02
8.600e+01 7.519e-01 7.625e-02 8.771e-02 7.843e-01 9.840e-02
8.700e+01 7.503e-01 7.625e-02 8.771e-02 7.843e-01 1.011e-01
8.800e+01 7.486e-01 7.625e-02 8.771e-02 7.843e-01 1.039e-01
8.900e+01 7.465e-01 7.625e-02 8.771e-02 7.843e-01 1.068e-01
9.000e+01 7.447e-01 9.205e-02 1.060e-01 7.826e-01 1.097e-01
9.100e+01 7.447e-01 9.205e-02 1.060e-01 7.826e-01 1.126e-01
9.200e+01 7.447e-01 9.699e-02 1.117e-01 7.788e-01 1.156e-01
