# CESIUM FLUORIDE from NIST Database
5.710e-01 1.317e-04 8.168e-02 7.045e-06 0.000e+00
6.000e-01 1.193e-04 7.995e-02 6.197e-06 0.000e+00
6.304e-01 1.081e-04 7.824e-02 5.447e-06 0.000e+00
6.959e-01 8.872e-05 7.487e-02 4.235e-06 0.000e+00
7.682e-01 7.281e-05 7.158e-02 3.383e-06 0.000e+00
8.000e-01 6.714e-05 7.024e-02 3.126e-06 0.000e+00
8.480e-01 5.976e-05 6.833e-02 2.828e-06 0.000e+00
9.361e-01 4.905e-05 6.518e-02 2.341e-06 0.000e+00
1.000e+00 4.298e-05 6.316e-02 1.943e-06 0.000e+00
1.022e+00 4.115e-05 6.252e-02 1.803e-06 0.000e+00
1.033e+00 4.028e-05 6.220e-02 1.742e-06 2.944e-09
1.141e+00 3.302e-05 5.920e-02 1.395e-06 2.800e-06
1.250e+00 2.751e-05 5.649e-02 1.224e-06 1.517e-05
1.259e+00 2.712e-05 5.628e-02 1.210e-06 1.669e-05
1.390e+00 2.225e-05 5.346e-02 1.022e-06 4.736e-05
1.500e+00 1.911e-05 5.136e-02 8.883e-07 8.420e-05
1.535e+00 1.825e-05 5.073e-02 8.526e-07 9.776e-05
1.694e+00 1.498e-05 4.808e-02 7.231e-07 1.687e-04
1.870e+00 1.230e-05 4.550e-02 6.198e-07 2.610e-04
2.000e+00 1.075e-05 4.381e-02 5.595e-07 3.357e-04
2.044e+00 1.029e-05 4.327e-02 5.413e-07 3.619e-04
2.065e+00 1.008e-05 4.302e-02 5.330e-07 3.745e-04
2.279e+00 8.277e-06 4.065e-02 4.603e-07 5.067e-04
2.516e+00 6.792e-06 3.835e-02 3.993e-07 6.581e-04
2.778e+00 5.572e-06 3.613e-02 3.477e-07 8.282e-04
3.000e+00 4.778e-06 3.447e-02 3.131e-07 9.731e-04
3.066e+00 4.575e-06 3.401e-02 3.041e-07 1.016e-03
3.385e+00 3.753e-06 3.198e-02 2.667e-07 1.222e-03
3.737e+00 3.079e-06 3.004e-02 2.346e-07 1.446e-03
4.000e+00 2.688e-06 2.875e-02 2.151e-07 1.609e-03
4.125e+00 2.527e-06 2.819e-02 2.070e-07 1.685e-03
4.554e+00 2.073e-06 2.642e-02 1.830e-07 1.938e-03
5.000e+00 1.720e-06 2.483e-02 1.633e-07 2.192e-03
5.027e+00 1.702e-06 2.474e-02 1.622e-07 2.207e-03
5.549e+00 1.397e-06 2.315e-02 1.441e-07 2.491e-03
6.000e+00 1.195e-06 2.195e-02 1.313e-07 2.724e-03
6.126e+00 1.146e-06 2.164e-02 1.282e-07 2.787e-03
6.762e+00 9.403e-07 2.021e-02 1.142e-07 3.095e-03
7.000e+00 8.775e-07 1.973e-02 1.098e-07 3.204e-03
7.465e+00 7.717e-07 1.885e-02 1.019e-07 3.412e-03
8.000e+00 6.720e-07 1.795e-02 9.421e-08 3.641e-03
8.241e+00 6.333e-07 1.758e-02 9.109e-08 3.740e-03
9.000e+00 5.309e-07 1.650e-02 8.252e-08 4.040e-03
9.097e+00 5.196e-07 1.638e-02 8.153e-08 4.077e-03
1.000e+01 4.301e-07 1.529e-02 7.339e-08 4.405e-03
1.004e+01 4.266e-07 1.524e-02 7.307e-08 4.418e-03
1.100e+01 3.554e-07 1.426e-02 6.605e-08 4.739e-03
1.109e+01 3.497e-07 1.418e-02 6.546e-08 4.768e-03
1.200e+01 2.986e-07 1.337e-02 6.005e-08 5.046e-03
1.224e+01 2.870e-07 1.318e-02 5.877e-08 5.116e-03
1.300e+01 2.545e-07 1.260e-02 5.504e-08 5.333e-03
1.351e+01 2.356e-07 1.224e-02 5.280e-08 5.472e-03
1.400e+01 2.194e-07 1.192e-02 5.081e-08 5.600e-03
1.491e+01 1.935e-07 1.137e-02 4.748e-08 5.828e-03
1.500e+01 1.912e-07 1.132e-02 4.717e-08 5.850e-03
1.600e+01 1.680e-07 1.078e-02 4.403e-08 6.089e-03
1.646e+01 1.587e-07 1.054e-02 4.272e-08 6.193e-03
1.800e+01 1.327e-07 9.849e-03 3.884e-08 6.522e-03
1.818e+01 1.301e-07 9.774e-03 3.843e-08 6.558e-03
2.000e+01 1.075e-07 9.081e-03 3.474e-08 6.912e-03
