# LITHIUM AMIDE from NIST Database
5.173e-01 1.277e-04 8.969e-02 7.104e-06 0.000e+00
5.710e-01 1.048e-04 8.600e-02 5.499e-06 0.000e+00
6.000e-01 9.496e-05 8.418e-02 4.837e-06 0.000e+00
6.304e-01 8.604e-05 8.238e-02 4.252e-06 0.000e+00
6.959e-01 7.062e-05 7.885e-02 3.306e-06 0.000e+00
7.682e-01 5.795e-05 7.538e-02 2.641e-06 0.000e+00
8.000e-01 5.343e-05 7.397e-02 2.440e-06 0.000e+00
8.480e-01 4.754e-05 7.196e-02 2.207e-06 0.000e+00
9.361e-01 3.901e-05 6.863e-02 1.828e-06 0.000e+00
1.000e+00 3.420e-05 6.650e-02 1.517e-06 0.000e+00
1.022e+00 3.275e-05 6.582e-02 1.407e-06 0.000e+00
1.033e+00 3.206e-05 6.548e-02 1.359e-06 2.439e-09
1.141e+00 2.629e-05 6.233e-02 1.089e-06 2.320e-06
1.250e+00 2.190e-05 5.948e-02 9.549e-07 1.257e-05
1.259e+00 2.158e-05 5.926e-02 9.447e-07 1.383e-05
1.390e+00 1.771e-05 5.627e-02 7.975e-07 3.924e-05
1.500e+00 1.521e-05 5.405e-02 6.934e-07 6.976e-05
1.535e+00 1.452e-05 5.339e-02 6.655e-07 8.099e-05
1.694e+00 1.193e-05 5.062e-02 5.642e-07 1.397e-04
1.870e+00 9.789e-06 4.793e-02 4.835e-07 2.162e-04
2.000e+00 8.556e-06 4.613e-02 4.367e-07 2.780e-04
2.044e+00 8.190e-06 4.555e-02 4.226e-07 2.997e-04
2.065e+00 8.024e-06 4.528e-02 4.162e-07 3.102e-04
2.279e+00 6.585e-06 4.276e-02 3.597e-07 4.197e-04
2.516e+00 5.402e-06 4.034e-02 3.120e-07 5.455e-04
2.778e+00 4.432e-06 3.803e-02 2.716e-07 6.874e-04
3.000e+00 3.801e-06 3.629e-02 2.446e-07 8.085e-04
3.066e+00 3.639e-06 3.581e-02 2.375e-07 8.446e-04
3.385e+00 2.986e-06 3.367e-02 2.083e-07 1.018e-03
3.737e+00 2.451e-06 3.163e-02 1.833e-07 1.206e-03
4.000e+00 2.139e-06 3.027e-02 1.681e-07 1.344e-03
4.125e+00 2.011e-06 2.968e-02 1.617e-07 1.408e-03
4.554e+00 1.650e-06 2.781e-02 1.430e-07 1.622e-03
5.000e+00 1.369e-06 2.614e-02 1.276e-07 1.836e-03
5.027e+00 1.354e-06 2.605e-02 1.268e-07 1.850e-03
5.549e+00 1.111e-06 2.437e-02 1.126e-07 2.091e-03
6.000e+00 9.507e-07 2.311e-02 1.027e-07 2.290e-03
6.126e+00 9.120e-07 2.278e-02 1.002e-07 2.344e-03
6.762e+00 7.485e-07 2.128e-02 8.930e-08 2.605e-03
7.000e+00 6.985e-07 2.077e-02 8.580e-08 2.699e-03
7.465e+00 6.142e-07 1.985e-02 7.969e-08 2.876e-03
8.000e+00 5.348e-07 1.890e-02 7.365e-08 3.072e-03
8.241e+00 5.040e-07 1.851e-02 7.122e-08 3.157e-03
9.000e+00 4.226e-07 1.737e-02 6.451e-08 3.413e-03
9.097e+00 4.136e-07 1.724e-02 6.374e-08 3.445e-03
1.000e+01 3.423e-07 1.610e-02 5.735e-08 3.725e-03
1.004e+01 3.395e-07 1.605e-02 5.710e-08 3.737e-03
1.100e+01 2.828e-07 1.501e-02 5.164e-08 4.013e-03
1.109e+01 2.783e-07 1.492e-02 5.118e-08 4.038e-03
1.200e+01 2.377e-07 1.408e-02 4.696e-08 4.276e-03
1.224e+01 2.284e-07 1.388e-02 4.596e-08 4.337e-03
1.300e+01 2.025e-07 1.327e-02 4.305e-08 4.523e-03
1.351e+01 1.875e-07 1.289e-02 4.129e-08 4.643e-03
1.400e+01 1.746e-07 1.255e-02 3.973e-08 4.753e-03
1.491e+01 1.539e-07 1.197e-02 3.712e-08 4.951e-03
1.500e+01 1.521e-07 1.191e-02 3.688e-08 4.971e-03
1.600e+01 1.337e-07 1.135e-02 3.444e-08 5.175e-03
1.646e+01 1.263e-07 1.111e-02 3.341e-08 5.265e-03
1.800e+01 1.056e-07 1.037e-02 3.037e-08 5.548e-03
1.818e+01 1.036e-07 1.029e-02 3.005e-08 5.579e-03
2.000e+01 8.556e-08 9.563e-03 2.718e-08 5.884e-03
