# Pyrex Glass from NIST Database
2.345e-01 1.861e-03 1.148e-01 7.850e-04 0.000e+00
2.589e-01 1.531e-03 1.110e-01 5.789e-04 0.000e+00
2.858e-01 1.260e-03 1.073e-01 4.287e-04 0.000e+00
3.000e-01 1.145e-03 1.054e-01 3.706e-04 0.000e+00
3.155e-01 1.036e-03 1.035e-01 3.189e-04 0.000e+00
3.483e-01 8.517e-04 9.977e-02 2.383e-04 0.000e+00
3.845e-01 6.999e-04 9.607e-02 1.791e-04 0.000e+00
4.000e-01 6.471e-04 9.460e-02 1.601e-04 0.000e+00
4.245e-01 5.749e-04 9.240e-02 1.354e-04 0.000e+00
4.686e-01 4.723e-04 8.880e-02 1.032e-04 0.000e+00
5.000e-01 4.151e-04 8.646e-02 8.676e-05 0.000e+00
5.173e-01 3.879e-04 8.524e-02 7.935e-05 0.000e+00
5.710e-01 3.186e-04 8.174e-02 6.152e-05 0.000e+00
6.000e-01 2.886e-04 8.001e-02 5.423e-05 0.000e+00
6.304e-01 2.615e-04 7.830e-02 4.784e-05 0.000e+00
6.959e-01 2.147e-04 7.494e-02 3.747e-05 0.000e+00
7.682e-01 1.763e-04 7.165e-02 2.987e-05 0.000e+00
8.000e-01 1.626e-04 7.033e-02 2.744e-05 0.000e+00
8.480e-01 1.447e-04 6.844e-02 2.448e-05 0.000e+00
9.361e-01 1.188e-04 6.531e-02 2.005e-05 0.000e+00
1.000e+00 1.041e-04 6.325e-02 1.706e-05 0.000e+00
1.022e+00 9.967e-05 6.258e-02 1.607e-05 0.000e+00
1.033e+00 9.756e-05 6.226e-02 1.562e-05 5.055e-09
1.141e+00 7.999e-05 5.925e-02 1.267e-05 4.748e-06
1.250e+00 6.665e-05 5.657e-02 1.089e-05 2.546e-05
1.259e+00 6.570e-05 5.636e-02 1.076e-05 2.800e-05
1.390e+00 5.390e-05 5.352e-02 9.040e-06 7.875e-05
1.500e+00 4.629e-05 5.141e-02 7.885e-06 1.393e-04
1.535e+00 4.420e-05 5.078e-02 7.572e-06 1.616e-04
1.694e+00 3.629e-05 4.815e-02 6.412e-06 2.778e-04
