# N,N-DIMETHYL FORMAMIDE from NIST Database
5.000e-01 1.701e-04 9.528e-02 1.042e-05 0.000e+00
5.173e-01 1.590e-04 9.393e-02 9.527e-06 0.000e+00
5.710e-01 1.305e-04 9.006e-02 7.375e-06 0.000e+00
6.000e-01 1.182e-04 8.815e-02 6.486e-06 0.000e+00
6.304e-01 1.071e-04 8.626e-02 5.702e-06 0.000e+00
6.959e-01 8.791e-05 8.256e-02 4.434e-06 0.000e+00
7.682e-01 7.215e-05 7.892e-02 3.542e-06 0.000e+00
8.000e-01 6.653e-05 7.745e-02 3.272e-06 0.000e+00
8.480e-01 5.920e-05 7.535e-02 2.959e-06 0.000e+00
9.361e-01 4.859e-05 7.188e-02 2.450e-06 0.000e+00
1.000e+00 4.259e-05 6.965e-02 2.034e-06 0.000e+00
1.022e+00 4.078e-05 6.893e-02 1.888e-06 0.000e+00
1.033e+00 3.992e-05 6.857e-02 1.824e-06 2.923e-09
1.141e+00 3.273e-05 6.527e-02 1.462e-06 2.777e-06
1.250e+00 2.726e-05 6.229e-02 1.282e-06 1.503e-05
1.259e+00 2.688e-05 6.205e-02 1.268e-06 1.654e-05
1.390e+00 2.205e-05 5.894e-02 1.070e-06 4.690e-05
1.500e+00 1.893e-05 5.661e-02 9.302e-07 8.334e-05
1.535e+00 1.808e-05 5.592e-02 8.929e-07 9.676e-05
1.694e+00 1.485e-05 5.302e-02 7.572e-07 1.669e-04
1.870e+00 1.219e-05 5.019e-02 6.490e-07 2.582e-04
2.000e+00 1.065e-05 4.831e-02 5.859e-07 3.321e-04
2.044e+00 1.020e-05 4.771e-02 5.669e-07 3.579e-04
2.065e+00 9.989e-06 4.743e-02 5.582e-07 3.704e-04
2.279e+00 8.199e-06 4.479e-02 4.822e-07 5.010e-04
2.516e+00 6.727e-06 4.226e-02 4.182e-07 6.508e-04
2.778e+00 5.520e-06 3.982e-02 3.642e-07 8.196e-04
3.000e+00 4.734e-06 3.801e-02 3.280e-07 9.635e-04
3.066e+00 4.532e-06 3.750e-02 3.185e-07 1.006e-03
3.385e+00 3.719e-06 3.526e-02 2.793e-07 1.212e-03
3.737e+00 3.051e-06 3.312e-02 2.457e-07 1.434e-03
4.000e+00 2.663e-06 3.170e-02 2.254e-07 1.596e-03
4.125e+00 2.504e-06 3.108e-02 2.168e-07 1.673e-03
4.554e+00 2.054e-06 2.913e-02 1.917e-07 1.925e-03
5.000e+00 1.704e-06 2.738e-02 1.710e-07 2.177e-03
5.027e+00 1.686e-06 2.728e-02 1.699e-07 2.193e-03
5.549e+00 1.384e-06 2.552e-02 1.509e-07 2.476e-03
6.000e+00 1.184e-06 2.420e-02 1.376e-07 2.710e-03
6.126e+00 1.135e-06 2.386e-02 1.343e-07 2.773e-03
6.762e+00 9.317e-07 2.228e-02 1.197e-07 3.080e-03
7.000e+00 8.695e-07 2.175e-02 1.150e-07 3.190e-03
7.465e+00 7.646e-07 2.079e-02 1.068e-07 3.398e-03
8.000e+00 6.658e-07 1.980e-02 9.869e-08 3.627e-03
8.241e+00 6.275e-07 1.938e-02 9.543e-08 3.726e-03
9.000e+00 5.261e-07 1.820e-02 8.644e-08 4.027e-03
9.097e+00 5.149e-07 1.806e-02 8.541e-08 4.064e-03
1.000e+01 4.261e-07 1.686e-02 7.687e-08 4.393e-03
1.004e+01 4.227e-07 1.681e-02 7.653e-08 4.406e-03
1.100e+01 3.521e-07 1.572e-02 6.920e-08 4.727e-03
1.109e+01 3.464e-07 1.563e-02 6.858e-08 4.756e-03
1.200e+01 2.959e-07 1.475e-02 6.291e-08 5.035e-03
1.224e+01 2.844e-07 1.453e-02 6.157e-08 5.107e-03
1.300e+01 2.521e-07 1.389e-02 5.767e-08 5.324e-03
1.351e+01 2.334e-07 1.350e-02 5.531e-08 5.463e-03
1.400e+01 2.174e-07 1.314e-02 5.322e-08 5.593e-03
1.491e+01 1.917e-07 1.253e-02 4.974e-08 5.823e-03
1.500e+01 1.894e-07 1.248e-02 4.942e-08 5.844e-03
1.600e+01 1.664e-07 1.188e-02 4.613e-08 6.084e-03
1.646e+01 1.573e-07 1.163e-02 4.475e-08 6.188e-03
1.800e+01 1.315e-07 1.086e-02 4.069e-08 6.519e-03
1.818e+01 1.289e-07 1.078e-02 4.026e-08 6.556e-03
2.000e+01 1.065e-07 1.001e-02 3.640e-08 6.910e-03
