# SKIN (ICRP) from NIST Database
1.579e-01 2.029e-03 1.438e-01 5.683e-04 0.000e+00
1.743e-01 1.671e-03 1.397e-01 4.130e-04 0.000e+00
1.925e-01 1.374e-03 1.356e-01 3.004e-04 0.000e+00
2.000e-01 1.274e-03 1.340e-01 2.659e-04 0.000e+00
2.125e-01 1.131e-03 1.314e-01 2.193e-04 0.000e+00
2.345e-01 9.304e-04 1.272e-01 1.608e-04 0.000e+00
2.589e-01 7.646e-04 1.230e-01 1.182e-04 0.000e+00
2.858e-01 6.284e-04 1.188e-01 8.728e-05 0.000e+00
3.000e-01 5.707e-04 1.167e-01 7.534e-05 0.000e+00
3.155e-01 5.163e-04 1.146e-01 6.474e-05 0.000e+00
3.483e-01 4.241e-04 1.104e-01 4.826e-05 0.000e+00
3.845e-01 3.483e-04 1.063e-01 3.618e-05 0.000e+00
4.000e-01 3.219e-04 1.047e-01 3.230e-05 0.000e+00
4.245e-01 2.859e-04 1.022e-01 2.729e-05 0.000e+00
4.686e-01 2.348e-04 9.823e-02 2.075e-05 0.000e+00
5.000e-01 2.063e-04 9.563e-02 1.743e-05 0.000e+00
5.173e-01 1.927e-04 9.428e-02 1.594e-05 0.000e+00
5.710e-01 1.583e-04 9.039e-02 1.234e-05 0.000e+00
6.000e-01 1.433e-04 8.847e-02 1.086e-05 0.000e+00
6.304e-01 1.299e-04 8.658e-02 9.560e-06 0.000e+00
6.959e-01 1.066e-04 8.286e-02 7.451e-06 0.000e+00
7.682e-01 8.751e-05 7.922e-02 5.949e-06 0.000e+00
8.000e-01 8.069e-05 7.775e-02 5.485e-06 0.000e+00
8.480e-01 7.181e-05 7.566e-02 4.937e-06 0.000e+00
9.361e-01 5.893e-05 7.218e-02 4.073e-06 0.000e+00
1.000e+00 5.166e-05 6.992e-02 3.410e-06 0.000e+00
1.022e+00 4.946e-05 6.919e-02 3.180e-06 0.000e+00
1.033e+00 4.842e-05 6.883e-02 3.079e-06 3.280e-09
1.141e+00 3.970e-05 6.551e-02 2.479e-06 3.110e-06
1.250e+00 3.308e-05 6.252e-02 2.159e-06 1.680e-05
1.259e+00 3.260e-05 6.229e-02 2.134e-06 1.849e-05
1.390e+00 2.674e-05 5.916e-02 1.799e-06 5.233e-05
1.500e+00 2.296e-05 5.683e-02 1.566e-06 9.293e-05
1.535e+00 2.193e-05 5.613e-02 1.503e-06 1.079e-04
1.694e+00 1.801e-05 5.323e-02 1.274e-06 1.860e-04
1.870e+00 1.478e-05 5.040e-02 1.091e-06 2.878e-04
2.000e+00 1.292e-05 4.850e-02 9.836e-07 3.699e-04
2.044e+00 1.237e-05 4.789e-02 9.514e-07 3.986e-04
2.065e+00 1.212e-05 4.761e-02 9.367e-07 4.125e-04
2.279e+00 9.945e-06 4.494e-02 8.083e-07 5.576e-04
2.516e+00 8.161e-06 4.240e-02 7.005e-07 7.241e-04
2.778e+00 6.696e-06 3.997e-02 6.096e-07 9.115e-04
3.000e+00 5.743e-06 3.815e-02 5.486e-07 1.071e-03
3.066e+00 5.498e-06 3.764e-02 5.327e-07 1.118e-03
3.385e+00 4.511e-06 3.540e-02 4.669e-07 1.346e-03
3.737e+00 3.702e-06 3.325e-02 4.104e-07 1.591e-03
