# URANIUM MONOCARBIDE from NIST Database
1.000e-01 2.400e-01 9.758e-02 1.530e+00 0.000e+00
1.063e-01 2.167e-01 9.724e-02 1.297e+00 0.000e+00
1.156e-01 1.881e-01 9.663e-02 1.034e+00 0.000e+00
1.156e-01 1.881e-01 9.663e-02 4.381e+00 0.000e+00
1.174e-01 1.832e-01 9.649e-02 4.213e+00 0.000e+00
1.296e-01 1.547e-01 9.549e-02 3.278e+00 0.000e+00
1.431e-01 1.303e-01 9.423e-02 2.548e+00 0.000e+00
1.500e-01 1.200e-01 9.356e-02 2.259e+00 0.000e+00
1.579e-01 1.096e-01 9.278e-02 1.982e+00 0.000e+00
1.743e-01 9.197e-02 9.111e-02 1.539e+00 0.000e+00
1.925e-01 7.698e-02 8.927e-02 1.193e+00 0.000e+00
2.000e-01 7.187e-02 8.851e-02 1.081e+00 0.000e+00
2.125e-01 6.444e-02 8.727e-02 9.255e-01 0.000e+00
2.345e-01 5.394e-02 8.515e-02 7.193e-01 0.000e+00
2.589e-01 4.509e-02 8.291e-02 5.591e-01 0.000e+00
2.858e-01 3.768e-02 8.057e-02 4.355e-01 0.000e+00
3.000e-01 3.449e-02 7.940e-02 3.856e-01 0.000e+00
3.155e-01 3.145e-02 7.817e-02 3.401e-01 0.000e+00
3.483e-01 2.622e-02 7.572e-02 2.663e-01 0.000e+00
3.845e-01 2.184e-02 7.323e-02 2.093e-01 0.000e+00
4.000e-01 2.030e-02 7.223e-02 1.902e-01 0.000e+00
4.245e-01 1.817e-02 7.072e-02 1.650e-01 0.000e+00
4.686e-01 1.509e-02 6.821e-02 1.307e-01 0.000e+00
5.000e-01 1.336e-02 6.656e-02 1.124e-01 0.000e+00
5.173e-01 1.252e-02 6.569e-02 1.039e-01 0.000e+00
5.710e-01 1.038e-02 6.319e-02 8.304e-02 0.000e+00
6.000e-01 9.449e-03 6.193e-02 7.433e-02 0.000e+00
6.304e-01 8.598e-03 6.069e-02 6.662e-02 0.000e+00
6.959e-01 7.114e-03 5.821e-02 5.371e-02 0.000e+00
7.682e-01 5.883e-03 5.576e-02 4.348e-02 0.000e+00
8.000e-01 5.441e-03 5.477e-02 3.991e-02 0.000e+00
8.480e-01 4.863e-03 5.335e-02 3.532e-02 0.000e+00
9.361e-01 4.017e-03 5.098e-02 2.883e-02 0.000e+00
1.000e+00 3.533e-03 4.942e-02 2.526e-02 0.000e+00
1.022e+00 3.386e-03 4.890e-02 2.421e-02 0.000e+00
1.033e+00 3.316e-03 4.865e-02 2.370e-02 8.730e-08
