# LITHIUM TETRABORATE from NIST Database
5.173e-01 1.850e-04 8.321e-02 1.358e-05 0.000e+00
5.710e-01 1.519e-04 7.978e-02 1.051e-05 0.000e+00
6.000e-01 1.376e-04 7.809e-02 9.251e-06 0.000e+00
6.304e-01 1.246e-04 7.642e-02 8.138e-06 0.000e+00
6.959e-01 1.023e-04 7.313e-02 6.337e-06 0.000e+00
7.682e-01 8.398e-05 6.992e-02 5.060e-06 0.000e+00
8.000e-01 7.743e-05 6.862e-02 4.669e-06 0.000e+00
8.480e-01 6.891e-05 6.678e-02 4.209e-06 0.000e+00
9.361e-01 5.655e-05 6.372e-02 3.477e-06 0.000e+00
1.000e+00 4.957e-05 6.172e-02 2.903e-06 0.000e+00
1.022e+00 4.746e-05 6.107e-02 2.702e-06 0.000e+00
1.033e+00 4.646e-05 6.075e-02 2.614e-06 3.155e-09
1.141e+00 3.810e-05 5.781e-02 2.101e-06 2.994e-06
1.250e+00 3.174e-05 5.519e-02 1.835e-06 1.618e-05
1.259e+00 3.129e-05 5.498e-02 1.814e-06 1.781e-05
1.390e+00 2.566e-05 5.221e-02 1.530e-06 5.043e-05
1.500e+00 2.204e-05 5.015e-02 1.331e-06 8.958e-05
1.535e+00 2.104e-05 4.954e-02 1.278e-06 1.040e-04
1.694e+00 1.728e-05 4.699e-02 1.084e-06 1.794e-04
1.870e+00 1.419e-05 4.449e-02 9.282e-07 2.775e-04
2.000e+00 1.240e-05 4.281e-02 8.375e-07 3.567e-04
2.044e+00 1.187e-05 4.227e-02 8.101e-07 3.844e-04
2.065e+00 1.163e-05 4.202e-02 7.976e-07 3.978e-04
2.279e+00 9.541e-06 3.966e-02 6.886e-07 5.377e-04
2.516e+00 7.829e-06 3.742e-02 5.971e-07 6.981e-04
2.778e+00 6.424e-06 3.528e-02 5.198e-07 8.785e-04
3.000e+00 5.510e-06 3.367e-02 4.681e-07 1.032e-03
3.066e+00 5.276e-06 3.323e-02 4.545e-07 1.078e-03
3.385e+00 4.329e-06 3.125e-02 3.985e-07 1.296e-03
3.737e+00 3.552e-06 2.935e-02 3.505e-07 1.532e-03
4.000e+00 3.100e-06 2.809e-02 3.213e-07 1.703e-03
4.125e+00 2.915e-06 2.753e-02 3.091e-07 1.783e-03
4.554e+00 2.391e-06 2.581e-02 2.732e-07 2.050e-03
5.000e+00 1.984e-06 2.426e-02 2.437e-07 2.316e-03
5.027e+00 1.962e-06 2.417e-02 2.421e-07 2.332e-03
5.549e+00 1.610e-06 2.261e-02 2.149e-07 2.630e-03
6.000e+00 1.378e-06 2.144e-02 1.959e-07 2.876e-03
6.126e+00 1.321e-06 2.114e-02 1.912e-07 2.943e-03
6.762e+00 1.085e-06 1.974e-02 1.704e-07 3.264e-03
