# MERCURIC IODIDE from NIST Database
7.161e-02 2.646e-01 1.065e-01 3.581e+00 0.000e+00
7.905e-02 2.245e-01 1.066e-01 2.720e+00 0.000e+00
8.000e-02 2.201e-01 1.066e-01 2.631e+00 0.000e+00
8.310e-02 2.064e-01 1.065e-01 2.366e+00 0.000e+00
8.310e-02 2.064e-01 1.065e-01 5.195e+00 0.000e+00
8.726e-02 1.901e-01 1.064e-01 4.557e+00 0.000e+00
9.633e-02 1.607e-01 1.059e-01 3.492e+00 0.000e+00
1.000e-01 1.507e-01 1.056e-01 3.158e+00 0.000e+00
1.063e-01 1.356e-01 1.051e-01 2.680e+00 0.000e+00
1.174e-01 1.141e-01 1.040e-01 2.051e+00 0.000e+00
1.296e-01 9.581e-02 1.026e-01 1.572e+00 0.000e+00
1.431e-01 8.031e-02 1.010e-01 1.202e+00 0.000e+00
1.500e-01 7.382e-02 1.002e-01 1.058e+00 0.000e+00
1.579e-01 6.732e-02 9.922e-02 9.206e-01 0.000e+00
1.743e-01 5.632e-02 9.723e-02 7.035e-01 0.000e+00
1.925e-01 4.703e-02 9.506e-02 5.369e-01 0.000e+00
2.000e-01 4.387e-02 9.419e-02 4.839e-01 0.000e+00
2.125e-01 3.927e-02 9.277e-02 4.106e-01 0.000e+00
2.345e-01 3.277e-02 9.036e-02 3.148e-01 0.000e+00
2.589e-01 2.729e-02 8.785e-02 2.415e-01 0.000e+00
2.858e-01 2.271e-02 8.527e-02 1.858e-01 0.000e+00
3.000e-01 2.074e-02 8.398e-02 1.635e-01 0.000e+00
3.155e-01 1.887e-02 8.263e-02 1.433e-01 0.000e+00
3.483e-01 1.566e-02 7.995e-02 1.109e-01 0.000e+00
3.845e-01 1.299e-02 7.725e-02 8.608e-02 0.000e+00
4.000e-01 1.204e-02 7.616e-02 7.790e-02 0.000e+00
4.245e-01 1.075e-02 7.453e-02 6.712e-02 0.000e+00
4.686e-01 8.897e-03 7.182e-02 5.259e-02 0.000e+00
5.000e-01 7.854e-03 7.004e-02 4.494e-02 0.000e+00
5.173e-01 7.355e-03 6.912e-02 4.142e-02 0.000e+00
5.710e-01 6.078e-03 6.644e-02 3.280e-02 0.000e+00
6.000e-01 5.521e-03 6.510e-02 2.923e-02 0.000e+00
6.304e-01 5.017e-03 6.377e-02 2.609e-02 0.000e+00
6.959e-01 4.139e-03 6.112e-02 2.087e-02 0.000e+00
7.682e-01 3.413e-03 5.851e-02 1.680e-02 0.000e+00
8.000e-01 3.153e-03 5.745e-02 1.540e-02 0.000e+00
8.480e-01 2.813e-03 5.595e-02 1.362e-02 0.000e+00
9.361e-01 2.317e-03 5.344e-02 1.110e-02 0.000e+00
1.000e+00 2.036e-03 5.178e-02 9.681e-03 0.000e+00
1.022e+00 1.951e-03 5.124e-02 9.255e-03 0.000e+00
1.033e+00 1.910e-03 5.097e-02 9.054e-03 6.270e-08
1.141e+00 1.571e-03 4.854e-02 7.430e-03 5.384e-05
1.250e+00 1.312e-03 4.638e-02 6.242e-03 2.666e-04
1.259e+00 1.293e-03 4.621e-02 6.158e-03 2.914e-04
1.390e+00 1.063e-03 4.392e-02 5.118e-03 7.545e-04
1.500e+00 9.142e-04 4.220e-02 4.451e-03 1.253e-03
1.535e+00 8.733e-04 4.168e-02 4.269e-03 1.426e-03
1.694e+00 7.180e-04 3.952e-02 3.582e-03 2.261e-03
1.870e+00 5.900e-04 3.743e-02 3.020e-03 3.235e-03
2.000e+00 5.165e-04 3.605e-02 2.696e-03 3.969e-03
2.044e+00 4.947e-04 3.561e-02 2.601e-03 4.218e-03
2.065e+00 4.848e-04 3.541e-02 2.557e-03 4.337e-03
2.279e+00 3.987e-04 3.347e-02 2.177e-03 5.535e-03
2.516e+00 3.273e-04 3.158e-02 1.858e-03 6.821e-03
2.778e+00 2.686e-04 2.976e-02 1.592e-03 8.184e-03
3.000e+00 2.304e-04 2.839e-02 1.416e-03 9.292e-03
3.066e+00 2.206e-04 2.802e-02 1.370e-03 9.613e-03
3.385e+00 1.810e-04 2.634e-02 1.183e-03 1.112e-02
3.737e+00 1.486e-04 2.475e-02 1.024e-03 1.269e-02
4.000e+00 1.298e-04 2.369e-02 9.299e-04 1.381e-02
4.125e+00 1.220e-04 2.323e-02 8.904e-04 1.433e-02
4.554e+00 1.001e-04 2.177e-02 7.760e-04 1.602e-02
5.000e+00 8.308e-05 2.047e-02 6.832e-04 1.766e-02
5.027e+00 8.219e-05 2.039e-02 6.782e-04 1.776e-02
5.549e+00 6.747e-05 1.908e-02 5.944e-04 1.954e-02
6.000e+00 5.772e-05 1.809e-02 5.365e-04 2.099e-02
6.126e+00 5.537e-05 1.783e-02 5.222e-04 2.138e-02
6.762e+00 4.545e-05 1.666e-02 4.599e-04 2.327e-02
7.000e+00 4.241e-05 1.626e-02 4.401e-04 2.394e-02
7.465e+00 3.730e-05 1.555e-02 4.057e-04 2.521e-02
8.000e+00 3.248e-05 1.480e-02 3.722e-04 2.660e-02
8.241e+00 3.061e-05 1.449e-02 3.588e-04 2.720e-02
9.000e+00 2.567e-05 1.361e-02 3.220e-04 2.901e-02
9.097e+00 2.512e-05 1.350e-02 3.179e-04 2.923e-02
1.000e+01 2.079e-05 1.261e-02 2.835e-04 3.123e-02
1.004e+01 2.063e-05 1.257e-02 2.821e-04 3.132e-02
1.100e+01 1.718e-05 1.176e-02 2.531e-04 3.328e-02
1.109e+01 1.691e-05 1.169e-02 2.507e-04 3.346e-02
1.200e+01 1.444e-05 1.103e-02 2.284e-04 3.518e-02
1.224e+01 1.388e-05 1.087e-02 2.232e-04 3.562e-02
