# TITANIUM DIOXIDE from NIST Database
5.000e-01 8.758e-04 8.262e-02 5.718e-04 0.000e+00
5.173e-01 8.187e-04 8.146e-02 5.233e-04 0.000e+00
5.710e-01 6.730e-04 7.814e-02 4.066e-04 0.000e+00
6.000e-01 6.099e-04 7.649e-02 3.590e-04 0.000e+00
6.304e-01 5.529e-04 7.486e-02 3.174e-04 0.000e+00
6.959e-01 4.542e-04 7.166e-02 2.497e-04 0.000e+00
7.682e-01 3.731e-04 6.852e-02 1.991e-04 0.000e+00
8.000e-01 3.441e-04 6.726e-02 1.825e-04 0.000e+00
8.480e-01 3.063e-04 6.546e-02 1.619e-04 0.000e+00
9.361e-01 2.515e-04 6.246e-02 1.320e-04 0.000e+00
1.000e+00 2.205e-04 6.050e-02 1.135e-04 0.000e+00
1.022e+00 2.111e-04 5.986e-02 1.075e-04 0.000e+00
1.033e+00 2.067e-04 5.955e-02 1.048e-04 8.745e-09
1.141e+00 1.695e-04 5.668e-02 8.548e-05 7.910e-06
1.250e+00 1.412e-04 5.412e-02 7.279e-05 4.115e-05
1.259e+00 1.392e-04 5.392e-02 7.188e-05 4.516e-05
1.390e+00 1.143e-04 5.121e-02 6.024e-05 1.240e-04
1.500e+00 9.815e-05 4.919e-02 5.256e-05 2.165e-04
1.535e+00 9.373e-05 4.858e-02 5.047e-05 2.504e-04
1.694e+00 7.697e-05 4.606e-02 4.264e-05 4.271e-04
1.870e+00 6.317e-05 4.361e-02 3.623e-05 6.577e-04
2.000e+00 5.523e-05 4.199e-02 3.253e-05 8.445e-04
2.044e+00 5.288e-05 4.147e-02 3.143e-05 9.100e-04
2.065e+00 5.181e-05 4.122e-02 3.093e-05 9.414e-04
2.279e+00 4.254e-05 3.894e-02 2.655e-05 1.268e-03
2.516e+00 3.491e-05 3.674e-02 2.289e-05 1.634e-03
2.778e+00 2.864e-05 3.462e-02 1.981e-05 2.039e-03
3.000e+00 2.456e-05 3.304e-02 1.776e-05 2.379e-03
3.066e+00 2.351e-05 3.260e-02 1.722e-05 2.479e-03
3.385e+00 1.929e-05 3.065e-02 1.502e-05 2.961e-03
3.737e+00 1.583e-05 2.879e-02 1.314e-05 3.479e-03
4.000e+00 1.381e-05 2.756e-02 1.201e-05 3.854e-03
