# LANTHANUM OXYSULFIDE from NIST Database
1.500e-01 4.790e-02 1.070e-01 5.416e-01 0.000e+00
1.579e-01 4.367e-02 1.058e-01 4.682e-01 0.000e+00
1.743e-01 3.651e-02 1.035e-01 3.539e-01 0.000e+00
1.925e-01 3.045e-02 1.009e-01 2.673e-01 0.000e+00
2.000e-01 2.838e-02 9.993e-02 2.400e-01 0.000e+00
2.125e-01 2.537e-02 9.832e-02 2.023e-01 0.000e+00
2.345e-01 2.113e-02 9.562e-02 1.535e-01 0.000e+00
2.589e-01 1.755e-02 9.283e-02 1.166e-01 0.000e+00
2.858e-01 1.456e-02 8.998e-02 8.877e-02 0.000e+00
3.000e-01 1.328e-02 8.857e-02 7.774e-02 0.000e+00
3.155e-01 1.207e-02 8.709e-02 6.780e-02 0.000e+00
3.483e-01 9.987e-03 8.416e-02 5.196e-02 0.000e+00
3.845e-01 8.261e-03 8.123e-02 3.999e-02 0.000e+00
4.000e-01 7.656e-03 8.005e-02 3.606e-02 0.000e+00
4.245e-01 6.827e-03 7.830e-02 3.091e-02 0.000e+00
4.686e-01 5.641e-03 7.539e-02 2.403e-02 0.000e+00
5.000e-01 4.974e-03 7.349e-02 2.043e-02 0.000e+00
5.173e-01 4.656e-03 7.249e-02 1.878e-02 0.000e+00
5.710e-01 3.841e-03 6.962e-02 1.477e-02 0.000e+00
6.000e-01 3.486e-03 6.819e-02 1.312e-02 0.000e+00
6.304e-01 3.165e-03 6.677e-02 1.168e-02 0.000e+00
6.959e-01 2.609e-03 6.395e-02 9.292e-03 0.000e+00
7.682e-01 2.149e-03 6.120e-02 7.448e-03 0.000e+00
8.000e-01 1.984e-03 6.010e-02 6.816e-03 0.000e+00
8.480e-01 1.768e-03 5.853e-02 6.015e-03 0.000e+00
9.361e-01 1.455e-03 5.591e-02 4.887e-03 0.000e+00
1.000e+00 1.277e-03 5.415e-02 4.262e-03 0.000e+00
1.022e+00 1.223e-03 5.357e-02 4.075e-03 0.000e+00
1.033e+00 1.198e-03 5.328e-02 3.987e-03 4.345e-08
1.141e+00 9.840e-04 5.071e-02 3.272e-03 3.627e-05
1.250e+00 8.210e-04 4.845e-02 2.749e-03 1.759e-04
1.259e+00 8.094e-04 4.828e-02 2.712e-03 1.920e-04
1.390e+00 6.650e-04 4.588e-02 2.257e-03 4.916e-04
1.500e+00 5.715e-04 4.408e-02 1.966e-03 8.171e-04
1.535e+00 5.459e-04 4.354e-02 1.886e-03 9.314e-04
1.694e+00 4.486e-04 4.129e-02 1.585e-03 1.499e-03
1.870e+00 3.684e-04 3.910e-02 1.338e-03 2.190e-03
2.000e+00 3.222e-04 3.764e-02 1.195e-03 2.725e-03
2.044e+00 3.086e-04 3.718e-02 1.153e-03 2.909e-03
2.065e+00 3.024e-04 3.697e-02 1.133e-03 2.997e-03
2.279e+00 2.484e-04 3.492e-02 9.659e-04 3.894e-03
2.516e+00 2.039e-04 3.295e-02 8.263e-04 4.877e-03
2.778e+00 1.673e-04 3.106e-02 7.097e-04 5.936e-03
3.000e+00 1.435e-04 2.964e-02 6.323e-04 6.805e-03
3.066e+00 1.374e-04 2.924e-02 6.122e-04 7.059e-03
3.385e+00 1.127e-04 2.750e-02 5.296e-04 8.250e-03
3.737e+00 9.251e-05 2.583e-02 4.596e-04 9.502e-03
4.000e+00 8.076e-05 2.472e-02 4.178e-04 1.039e-02
4.125e+00 7.595e-05 2.424e-02 4.003e-04 1.081e-02
4.554e+00 6.234e-05 2.272e-02 3.497e-04 1.217e-02
5.000e+00 5.172e-05 2.136e-02 3.086e-04 1.350e-02
5.027e+00 5.117e-05 2.128e-02 3.064e-04 1.359e-02
5.549e+00 4.199e-05 1.991e-02 2.691e-04 1.503e-02
6.000e+00 3.592e-05 1.888e-02 2.432e-04 1.620e-02
6.126e+00 3.446e-05 1.861e-02 2.369e-04 1.651e-02
6.762e+00 2.828e-05 1.738e-02 2.090e-04 1.805e-02
7.000e+00 2.639e-05 1.697e-02 2.001e-04 1.859e-02
7.465e+00 2.321e-05 1.622e-02 1.847e-04 1.962e-02
8.000e+00 2.021e-05 1.544e-02 1.697e-04 2.075e-02
8.241e+00 1.904e-05 1.512e-02 1.636e-04 2.124e-02
9.000e+00 1.597e-05 1.420e-02 1.471e-04 2.271e-02
9.097e+00 1.563e-05 1.409e-02 1.452e-04 2.289e-02
1.000e+01 1.293e-05 1.315e-02 1.297e-04 2.451e-02
1.004e+01 1.283e-05 1.312e-02 1.291e-04 2.458e-02
1.100e+01 1.069e-05 1.227e-02 1.160e-04 2.617e-02
1.109e+01 1.052e-05 1.220e-02 1.149e-04 2.631e-02
1.200e+01 8.982e-06 1.151e-02 1.048e-04 2.770e-02
1.224e+01 8.633e-06 1.134e-02 1.024e-04 2.806e-02
1.300e+01 7.652e-06 1.084e-02 9.557e-05 2.913e-02
1.351e+01 7.086e-06 1.053e-02 9.146e-05 2.982e-02
1.400e+01 6.599e-06 1.026e-02 8.784e-05 3.046e-02
1.491e+01 5.817e-06 9.781e-03 8.179e-05 3.158e-02
1.500e+01 5.747e-06 9.737e-03 8.124e-05 3.169e-02
1.600e+01 5.053e-06 9.272e-03 7.556e-05 3.282e-02
1.646e+01 4.776e-06 9.074e-03 7.320e-05 3.333e-02
1.800e+01 3.993e-06 8.474e-03 6.624e-05 3.490e-02
1.818e+01 3.914e-06 8.409e-03 6.552e-05 3.507e-02
2.000e+01 3.234e-06 7.815e-03 5.897e-05 3.675e-02
