# CALCIUM SULFATE from NIST Database
4.000e-01 1.041e-03 9.495e-02 5.382e-04 0.000e+00
4.245e-01 9.251e-04 9.276e-02 4.561e-04 0.000e+00
4.686e-01 7.604e-04 8.916e-02 3.484e-04 0.000e+00
5.000e-01 6.685e-04 8.681e-02 2.933e-04 0.000e+00
5.173e-01 6.248e-04 8.559e-02 2.683e-04 0.000e+00
5.710e-01 5.133e-04 8.209e-02 2.083e-04 0.000e+00
6.000e-01 4.652e-04 8.036e-02 1.838e-04 0.000e+00
6.304e-01 4.216e-04 7.864e-02 1.624e-04 0.000e+00
6.959e-01 3.463e-04 7.527e-02 1.275e-04 0.000e+00
7.682e-01 2.843e-04 7.197e-02 1.017e-04 0.000e+00
8.000e-01 2.622e-04 7.064e-02 9.327e-05 0.000e+00
8.480e-01 2.334e-04 6.875e-02 8.289e-05 0.000e+00
9.361e-01 1.916e-04 6.560e-02 6.768e-05 0.000e+00
1.000e+00 1.680e-04 6.354e-02 5.798e-05 0.000e+00
1.022e+00 1.609e-04 6.287e-02 5.484e-05 0.000e+00
1.033e+00 1.575e-04 6.254e-02 5.342e-05 7.110e-09
1.141e+00 1.292e-04 5.953e-02 4.349e-05 6.551e-06
1.250e+00 1.076e-04 5.683e-02 3.714e-05 3.459e-05
1.259e+00 1.060e-04 5.662e-02 3.669e-05 3.800e-05
1.390e+00 8.701e-05 5.377e-02 3.077e-05 1.056e-04
1.500e+00 7.473e-05 5.165e-02 2.685e-05 1.856e-04
1.535e+00 7.137e-05 5.102e-02 2.579e-05 2.149e-04
1.694e+00 5.861e-05 4.838e-02 2.179e-05 3.679e-04
1.870e+00 4.810e-05 4.581e-02 1.854e-05 5.672e-04
2.000e+00 4.205e-05 4.409e-02 1.667e-05 7.287e-04
2.044e+00 4.026e-05 4.354e-02 1.611e-05 7.852e-04
2.065e+00 3.945e-05 4.328e-02 1.585e-05 8.125e-04
2.279e+00 3.239e-05 4.086e-02 1.363e-05 1.096e-03
2.516e+00 2.658e-05 3.855e-02 1.176e-05 1.416e-03
2.778e+00 2.180e-05 3.634e-02 1.019e-05 1.772e-03
3.000e+00 1.870e-05 3.469e-02 9.140e-06 2.072e-03
3.066e+00 1.790e-05 3.423e-02 8.867e-06 2.161e-03
3.385e+00 1.469e-05 3.219e-02 7.738e-06 2.584e-03
3.737e+00 1.205e-05 3.023e-02 6.776e-06 3.041e-03
4.000e+00 1.052e-05 2.894e-02 6.196e-06 3.372e-03
4.125e+00 9.891e-06 2.836e-02 5.953e-06 3.525e-03
4.554e+00 8.114e-06 2.658e-02 5.244e-06 4.036e-03
5.000e+00 6.731e-06 2.499e-02 4.662e-06 4.542e-03
5.027e+00 6.659e-06 2.490e-02 4.631e-06 4.572e-03
5.549e+00 5.465e-06 2.330e-02 4.098e-06 5.136e-03
6.000e+00 4.675e-06 2.209e-02 3.726e-06 5.599e-03
6.126e+00 4.484e-06 2.178e-02 3.633e-06 5.724e-03
6.762e+00 3.680e-06 2.034e-02 3.228e-06 6.329e-03
7.000e+00 3.434e-06 1.985e-02 3.098e-06 6.545e-03
7.465e+00 3.020e-06 1.897e-02 2.872e-06 6.953e-03
8.000e+00 2.629e-06 1.807e-02 2.650e-06 7.400e-03
8.241e+00 2.478e-06 1.769e-02 2.560e-06 7.595e-03
9.000e+00 2.077e-06 1.661e-02 2.313e-06 8.179e-03
9.097e+00 2.033e-06 1.648e-02 2.285e-06 8.250e-03
1.000e+01 1.683e-06 1.539e-02 2.052e-06 8.886e-03
1.004e+01 1.670e-06 1.534e-02 2.042e-06 8.912e-03
1.100e+01 1.391e-06 1.435e-02 1.843e-06 9.530e-03
1.109e+01 1.368e-06 1.427e-02 1.827e-06 9.585e-03
1.200e+01 1.169e-06 1.346e-02 1.673e-06 1.012e-02
1.224e+01 1.123e-06 1.326e-02 1.637e-06 1.026e-02
1.300e+01 9.959e-07 1.268e-02 1.531e-06 1.067e-02
1.351e+01 9.219e-07 1.232e-02 1.468e-06 1.094e-02
1.400e+01 8.584e-07 1.200e-02 1.411e-06 1.119e-02
1.491e+01 7.569e-07 1.144e-02 1.318e-06 1.162e-02
1.500e+01 7.479e-07 1.139e-02 1.309e-06 1.166e-02
1.600e+01 6.574e-07 1.085e-02 1.220e-06 1.212e-02
1.646e+01 6.211e-07 1.061e-02 1.183e-06 1.232e-02
1.800e+01 5.194e-07 9.912e-03 1.074e-06 1.295e-02
1.818e+01 5.091e-07 9.837e-03 1.063e-06 1.301e-02
2.000e+01 4.207e-07 9.141e-03 9.597e-07 1.368e-02
