# PHOTOGRAPHIC EMULSION from NIST Database
3.957e-02 3.102e-01 1.263e-01 1.091e+01 0.000e+00
4.000e-02 3.051e-01 1.265e-01 1.059e+01 0.000e+00
4.368e-02 2.657e-01 1.276e-01 8.305e+00 0.000e+00
4.822e-02 2.268e-01 1.285e-01 6.308e+00 0.000e+00
5.000e-02 2.138e-01 1.287e-01 5.700e+00 0.000e+00
5.323e-02 1.929e-01 1.291e-01 4.780e+00 0.000e+00
5.876e-02 1.635e-01 1.293e-01 3.614e+00 0.000e+00
6.000e-02 1.579e-01 1.293e-01 3.406e+00 0.000e+00
6.486e-02 1.383e-01 1.291e-01 2.728e+00 0.000e+00
7.161e-02 1.167e-01 1.286e-01 2.054e+00 0.000e+00
7.905e-02 9.834e-02 1.278e-01 1.545e+00 0.000e+00
8.000e-02 9.632e-02 1.276e-01 1.493e+00 0.000e+00
8.726e-02 8.278e-02 1.266e-01 1.161e+00 0.000e+00
9.633e-02 6.959e-02 1.252e-01 8.711e-01 0.000e+00
1.000e-01 6.515e-02 1.245e-01 7.813e-01 0.000e+00
1.063e-01 5.847e-02 1.235e-01 6.538e-01 0.000e+00
1.174e-01 4.900e-02 1.215e-01 4.892e-01 0.000e+00
1.296e-01 4.103e-02 1.193e-01 3.663e-01 0.000e+00
1.431e-01 3.429e-02 1.169e-01 2.741e-01 0.000e+00
1.500e-01 3.147e-02 1.157e-01 2.388e-01 0.000e+00
1.579e-01 2.865e-02 1.144e-01 2.055e-01 0.000e+00
1.743e-01 2.387e-02 1.117e-01 1.540e-01 0.000e+00
1.925e-01 1.984e-02 1.088e-01 1.153e-01 0.000e+00
2.000e-01 1.847e-02 1.077e-01 1.032e-01 0.000e+00
2.125e-01 1.648e-02 1.059e-01 8.655e-02 0.000e+00
2.345e-01 1.368e-02 1.029e-01 6.516e-02 0.000e+00
2.589e-01 1.133e-02 9.974e-02 4.910e-02 0.000e+00
2.858e-01 9.378e-03 9.658e-02 3.711e-02 0.000e+00
3.000e-01 8.545e-03 9.501e-02 3.239e-02 0.000e+00
3.155e-01 7.756e-03 9.338e-02 2.815e-02 0.000e+00
3.483e-01 6.409e-03 9.016e-02 2.143e-02 0.000e+00
3.845e-01 5.293e-03 8.695e-02 1.638e-02 0.000e+00
4.000e-01 4.902e-03 8.567e-02 1.474e-02 0.000e+00
4.245e-01 4.367e-03 8.374e-02 1.259e-02 0.000e+00
4.686e-01 3.602e-03 8.057e-02 9.726e-03 0.000e+00
5.000e-01 3.173e-03 7.851e-02 8.242e-03 0.000e+00
5.173e-01 2.969e-03 7.743e-02 7.565e-03 0.000e+00
5.710e-01 2.446e-03 7.434e-02 5.923e-03 0.000e+00
6.000e-01 2.219e-03 7.280e-02 5.249e-03 0.000e+00
6.304e-01 2.013e-03 7.128e-02 4.658e-03 0.000e+00
6.959e-01 1.657e-03 6.827e-02 3.688e-03 0.000e+00
7.682e-01 1.363e-03 6.530e-02 2.951e-03 0.000e+00
8.000e-01 1.258e-03 6.410e-02 2.704e-03 0.000e+00
8.480e-01 1.121e-03 6.240e-02 2.394e-03 0.000e+00
9.361e-01 9.216e-04 5.956e-02 1.950e-03 0.000e+00
1.000e+00 8.084e-04 5.770e-02 1.686e-03 0.000e+00
1.022e+00 7.743e-04 5.709e-02 1.604e-03 0.000e+00
1.033e+00 7.580e-04 5.679e-02 1.566e-03 2.787e-08
1.141e+00 6.222e-04 5.407e-02 1.280e-03 2.344e-05
1.250e+00 5.189e-04 5.163e-02 1.083e-03 1.146e-04
1.259e+00 5.116e-04 5.144e-02 1.069e-03 1.252e-04
1.390e+00 4.200e-04 4.887e-02 8.917e-04 3.246e-04
1.500e+00 3.609e-04 4.695e-02 7.766e-04 5.464e-04
1.535e+00 3.446e-04 4.638e-02 7.452e-04 6.256e-04
1.694e+00 2.831e-04 4.397e-02 6.271e-04 1.028e-03
1.870e+00 2.325e-04 4.164e-02 5.302e-04 1.535e-03
2.000e+00 2.033e-04 4.009e-02 4.741e-04 1.935e-03
2.044e+00 1.946e-04 3.959e-02 4.574e-04 2.073e-03
2.065e+00 1.907e-04 3.936e-02 4.498e-04 2.139e-03
2.279e+00 1.566e-04 3.718e-02 3.838e-04 2.822e-03
2.516e+00 1.285e-04 3.508e-02 3.290e-04 3.584e-03
2.778e+00 1.055e-04 3.306e-02 2.833e-04 4.418e-03
3.000e+00 9.045e-05 3.155e-02 2.529e-04 5.110e-03
3.066e+00 8.660e-05 3.113e-02 2.450e-04 5.312e-03
3.385e+00 7.106e-05 2.927e-02 2.125e-04 6.268e-03
3.737e+00 5.831e-05 2.750e-02 1.849e-04 7.279e-03
4.000e+00 5.090e-05 2.632e-02 1.683e-04 8.005e-03
4.125e+00 4.786e-05 2.580e-02 1.614e-04 8.341e-03
4.554e+00 3.927e-05 2.419e-02 1.412e-04 9.455e-03
5.000e+00 3.258e-05 2.273e-02 1.248e-04 1.055e-02
5.027e+00 3.223e-05 2.265e-02 1.240e-04 1.061e-02
5.549e+00 2.646e-05 2.119e-02 1.091e-04 1.180e-02
