# ETHYL CELLULOSE from NIST Database
5.173e-01 1.614e-04 9.339e-02 9.956e-06 0.000e+00
5.710e-01 1.325e-04 8.954e-02 7.706e-06 0.000e+00
6.000e-01 1.201e-04 8.763e-02 6.779e-06 0.000e+00
6.304e-01 1.088e-04 8.576e-02 5.959e-06 0.000e+00
6.959e-01 8.928e-05 8.207e-02 4.635e-06 0.000e+00
7.682e-01 7.327e-05 7.846e-02 3.703e-06 0.000e+00
8.000e-01 6.757e-05 7.700e-02 3.420e-06 0.000e+00
8.480e-01 6.013e-05 7.492e-02 3.091e-06 0.000e+00
9.361e-01 4.935e-05 7.147e-02 2.558e-06 0.000e+00
1.000e+00 4.325e-05 6.925e-02 2.126e-06 0.000e+00
1.022e+00 4.141e-05 6.853e-02 1.974e-06 0.000e+00
1.033e+00 4.054e-05 6.817e-02 1.907e-06 2.946e-09
1.141e+00 3.324e-05 6.489e-02 1.530e-06 2.799e-06
1.250e+00 2.769e-05 6.192e-02 1.340e-06 1.515e-05
1.259e+00 2.730e-05 6.169e-02 1.326e-06 1.667e-05
1.390e+00 2.239e-05 5.860e-02 1.119e-06 4.725e-05
1.500e+00 1.923e-05 5.629e-02 9.726e-07 8.397e-05
1.535e+00 1.836e-05 5.560e-02 9.336e-07 9.749e-05
1.694e+00 1.508e-05 5.271e-02 7.918e-07 1.682e-04
1.870e+00 1.238e-05 4.990e-02 6.786e-07 2.602e-04
2.000e+00 1.082e-05 4.803e-02 6.126e-07 3.346e-04
2.044e+00 1.036e-05 4.743e-02 5.926e-07 3.606e-04
2.065e+00 1.015e-05 4.715e-02 5.835e-07 3.732e-04
2.279e+00 8.327e-06 4.453e-02 5.039e-07 5.047e-04
2.516e+00 6.833e-06 4.201e-02 4.371e-07 6.556e-04
2.778e+00 5.606e-06 3.959e-02 3.806e-07 8.257e-04
3.000e+00 4.808e-06 3.778e-02 3.428e-07 9.706e-04
3.066e+00 4.603e-06 3.728e-02 3.329e-07 1.014e-03
3.385e+00 3.777e-06 3.506e-02 2.919e-07 1.221e-03
3.737e+00 3.099e-06 3.293e-02 2.568e-07 1.445e-03
4.000e+00 2.705e-06 3.152e-02 2.355e-07 1.608e-03
4.125e+00 2.543e-06 3.090e-02 2.265e-07 1.684e-03
4.554e+00 2.086e-06 2.896e-02 2.003e-07 1.938e-03
5.000e+00 1.731e-06 2.722e-02 1.787e-07 2.193e-03
5.027e+00 1.712e-06 2.712e-02 1.775e-07 2.207e-03
5.549e+00 1.405e-06 2.537e-02 1.576e-07 2.493e-03
6.000e+00 1.202e-06 2.406e-02 1.437e-07 2.728e-03
6.126e+00 1.153e-06 2.372e-02 1.402e-07 2.791e-03
6.762e+00 9.462e-07 2.215e-02 1.250e-07 3.100e-03
7.000e+00 8.830e-07 2.162e-02 1.201e-07 3.211e-03
7.465e+00 7.765e-07 2.067e-02 1.115e-07 3.420e-03
