# POTASSIUM IODIDE from NIST Database
2.125e-01 2.245e-02 1.001e-01 1.550e-01 0.000e+00
2.345e-01 1.867e-02 9.736e-02 1.173e-01 0.000e+00
2.589e-01 1.549e-02 9.449e-02 8.885e-02 0.000e+00
2.858e-01 1.284e-02 9.156e-02 6.750e-02 0.000e+00
3.000e-01 1.171e-02 9.012e-02 5.905e-02 0.000e+00
3.155e-01 1.063e-02 8.860e-02 5.143e-02 0.000e+00
3.483e-01 8.796e-03 8.562e-02 3.932e-02 0.000e+00
3.845e-01 7.271e-03 8.263e-02 3.019e-02 0.000e+00
4.000e-01 6.737e-03 8.143e-02 2.720e-02 0.000e+00
4.245e-01 6.004e-03 7.963e-02 2.328e-02 0.000e+00
4.686e-01 4.956e-03 7.666e-02 1.805e-02 0.000e+00
5.000e-01 4.368e-03 7.472e-02 1.533e-02 0.000e+00
5.173e-01 4.088e-03 7.370e-02 1.409e-02 0.000e+00
5.710e-01 3.371e-03 7.078e-02 1.107e-02 0.000e+00
6.000e-01 3.060e-03 6.933e-02 9.822e-03 0.000e+00
6.304e-01 2.777e-03 6.789e-02 8.728e-03 0.000e+00
6.959e-01 2.287e-03 6.503e-02 6.926e-03 0.000e+00
7.682e-01 1.883e-03 6.222e-02 5.549e-03 0.000e+00
8.000e-01 1.738e-03 6.109e-02 5.086e-03 0.000e+00
8.480e-01 1.549e-03 5.948e-02 4.504e-03 0.000e+00
9.361e-01 1.274e-03 5.679e-02 3.669e-03 0.000e+00
1.000e+00 1.118e-03 5.500e-02 3.177e-03 0.000e+00
1.022e+00 1.071e-03 5.441e-02 3.024e-03 0.000e+00
1.033e+00 1.049e-03 5.413e-02 2.953e-03 3.848e-08
1.141e+00 8.612e-04 5.153e-02 2.413e-03 3.207e-05
1.250e+00 7.183e-04 4.923e-02 2.039e-03 1.555e-04
1.259e+00 7.081e-04 4.905e-02 2.012e-03 1.698e-04
1.390e+00 5.815e-04 4.661e-02 1.677e-03 4.358e-04
1.500e+00 4.997e-04 4.478e-02 1.460e-03 7.273e-04
1.535e+00 4.773e-04 4.423e-02 1.400e-03 8.304e-04
1.694e+00 3.923e-04 4.193e-02 1.177e-03 1.347e-03
1.870e+00 3.222e-04 3.971e-02 9.942e-04 1.987e-03
2.000e+00 2.818e-04 3.824e-02 8.885e-04 2.485e-03
2.044e+00 2.698e-04 3.777e-02 8.571e-04 2.657e-03
2.065e+00 2.644e-04 3.755e-02 8.427e-04 2.739e-03
2.279e+00 2.172e-04 3.548e-02 7.184e-04 3.580e-03
2.516e+00 1.782e-04 3.348e-02 6.151e-04 4.508e-03
2.778e+00 1.462e-04 3.155e-02 5.288e-04 5.514e-03
3.000e+00 1.254e-04 3.010e-02 4.715e-04 6.345e-03
3.066e+00 1.201e-04 2.970e-02 4.566e-04 6.587e-03
3.385e+00 9.855e-05 2.793e-02 3.953e-04 7.732e-03
3.737e+00 8.089e-05 2.624e-02 3.433e-04 8.939e-03
4.000e+00 7.061e-05 2.511e-02 3.122e-04 9.804e-03
4.125e+00 6.640e-05 2.462e-02 2.992e-04 1.021e-02
4.554e+00 5.447e-05 2.308e-02 2.615e-04 1.153e-02
5.000e+00 4.519e-05 2.169e-02 2.309e-04 1.281e-02
5.027e+00 4.471e-05 2.161e-02 2.292e-04 1.289e-02
5.549e+00 3.670e-05 2.022e-02 2.015e-04 1.428e-02
6.000e+00 3.139e-05 1.917e-02 1.822e-04 1.542e-02
6.126e+00 3.011e-05 1.890e-02 1.774e-04 1.573e-02
6.762e+00 2.471e-05 1.766e-02 1.567e-04 1.722e-02
7.000e+00 2.306e-05 1.724e-02 1.501e-04 1.775e-02
7.465e+00 2.028e-05 1.647e-02 1.386e-04 1.875e-02
8.000e+00 1.766e-05 1.569e-02 1.273e-04 1.985e-02
8.241e+00 1.664e-05 1.536e-02 1.228e-04 2.032e-02
9.000e+00 1.395e-05 1.442e-02 1.104e-04 2.175e-02
9.097e+00 1.366e-05 1.431e-02 1.090e-04 2.193e-02
1.000e+01 1.130e-05 1.336e-02 9.744e-05 2.349e-02
1.004e+01 1.121e-05 1.332e-02 9.699e-05 2.356e-02
1.100e+01 9.341e-06 1.246e-02 8.715e-05 2.510e-02
1.109e+01 9.190e-06 1.239e-02 8.633e-05 2.524e-02
1.200e+01 7.849e-06 1.169e-02 7.880e-05 2.659e-02
1.224e+01 7.544e-06 1.152e-02 7.703e-05 2.693e-02
1.300e+01 6.688e-06 1.101e-02 7.188e-05 2.797e-02
1.351e+01 6.194e-06 1.070e-02 6.879e-05 2.863e-02
1.400e+01 5.769e-06 1.041e-02 6.606e-05 2.924e-02
1.491e+01 5.084e-06 9.935e-03 6.153e-05 3.032e-02
1.500e+01 5.023e-06 9.891e-03 6.111e-05 3.042e-02
1.600e+01 4.415e-06 9.418e-03 5.686e-05 3.152e-02
1.646e+01 4.172e-06 9.216e-03 5.509e-05 3.200e-02
1.800e+01 3.489e-06 8.605e-03 4.987e-05 3.354e-02
1.818e+01 3.420e-06 8.540e-03 4.932e-05 3.370e-02
2.000e+01 2.826e-06 7.935e-03 4.441e-05 3.533e-02
