# BARIUM FLUORIDE from NIST Database
1.925e-01 2.814e-02 1.000e-01 2.419e-01 0.000e+00
2.000e-01 2.623e-02 9.904e-02 2.171e-01 0.000e+00
2.125e-01 2.345e-02 9.742e-02 1.830e-01 0.000e+00
2.345e-01 1.952e-02 9.471e-02 1.388e-01 0.000e+00
2.589e-01 1.621e-02 9.192e-02 1.053e-01 0.000e+00
2.858e-01 1.345e-02 8.908e-02 8.014e-02 0.000e+00
3.000e-01 1.226e-02 8.767e-02 7.017e-02 0.000e+00
3.155e-01 1.114e-02 8.620e-02 6.118e-02 0.000e+00
3.483e-01 9.225e-03 8.329e-02 4.686e-02 0.000e+00
3.845e-01 7.629e-03 8.038e-02 3.605e-02 0.000e+00
4.000e-01 7.070e-03 7.921e-02 3.250e-02 0.000e+00
4.245e-01 6.302e-03 7.747e-02 2.785e-02 0.000e+00
4.686e-01 5.204e-03 7.457e-02 2.164e-02 0.000e+00
5.000e-01 4.588e-03 7.268e-02 1.839e-02 0.000e+00
5.173e-01 4.295e-03 7.170e-02 1.690e-02 0.000e+00
5.710e-01 3.544e-03 6.885e-02 1.329e-02 0.000e+00
6.000e-01 3.217e-03 6.743e-02 1.180e-02 0.000e+00
6.304e-01 2.921e-03 6.602e-02 1.050e-02 0.000e+00
6.959e-01 2.407e-03 6.324e-02 8.361e-03 0.000e+00
7.682e-01 1.982e-03 6.052e-02 6.698e-03 0.000e+00
8.000e-01 1.830e-03 5.942e-02 6.127e-03 0.000e+00
8.480e-01 1.631e-03 5.788e-02 5.401e-03 0.000e+00
9.361e-01 1.342e-03 5.528e-02 4.384e-03 0.000e+00
1.000e+00 1.178e-03 5.353e-02 3.828e-03 0.000e+00
1.022e+00 1.129e-03 5.294e-02 3.663e-03 0.000e+00
1.033e+00 1.105e-03 5.266e-02 3.585e-03 4.027e-08
1.141e+00 9.077e-04 5.014e-02 2.944e-03 3.357e-05
1.250e+00 7.574e-04 4.792e-02 2.471e-03 1.626e-04
1.259e+00 7.467e-04 4.775e-02 2.437e-03 1.775e-04
1.390e+00 6.134e-04 4.537e-02 2.029e-03 4.545e-04
1.500e+00 5.272e-04 4.357e-02 1.768e-03 7.557e-04
1.535e+00 5.035e-04 4.304e-02 1.696e-03 8.615e-04
1.694e+00 4.138e-04 4.080e-02 1.425e-03 1.388e-03
1.870e+00 3.398e-04 3.864e-02 1.202e-03 2.031e-03
2.000e+00 2.972e-04 3.721e-02 1.074e-03 2.530e-03
2.044e+00 2.846e-04 3.675e-02 1.037e-03 2.701e-03
2.065e+00 2.789e-04 3.654e-02 1.019e-03 2.783e-03
2.279e+00 2.291e-04 3.452e-02 8.693e-04 3.619e-03
2.516e+00 1.881e-04 3.257e-02 7.438e-04 4.537e-03
2.778e+00 1.543e-04 3.070e-02 6.388e-04 5.527e-03
3.000e+00 1.323e-04 2.929e-02 5.690e-04 6.341e-03
3.066e+00 1.267e-04 2.890e-02 5.509e-04 6.578e-03
3.385e+00 1.040e-04 2.718e-02 4.767e-04 7.695e-03
3.737e+00 8.532e-05 2.553e-02 4.139e-04 8.868e-03
4.000e+00 7.448e-05 2.444e-02 3.763e-04 9.708e-03
4.125e+00 7.004e-05 2.396e-02 3.606e-04 1.010e-02
4.554e+00 5.749e-05 2.246e-02 3.149e-04 1.137e-02
5.000e+00 4.770e-05 2.111e-02 2.779e-04 1.262e-02
5.027e+00 4.719e-05 2.103e-02 2.759e-04 1.269e-02
5.549e+00 3.873e-05 1.968e-02 2.423e-04 1.406e-02
6.000e+00 3.312e-05 1.866e-02 2.191e-04 1.515e-02
6.126e+00 3.177e-05 1.839e-02 2.134e-04 1.545e-02
6.762e+00 2.608e-05 1.718e-02 1.883e-04 1.689e-02
7.000e+00 2.434e-05 1.677e-02 1.803e-04 1.740e-02
7.465e+00 2.140e-05 1.603e-02 1.665e-04 1.837e-02
8.000e+00 1.864e-05 1.527e-02 1.529e-04 1.942e-02
8.241e+00 1.756e-05 1.495e-02 1.475e-04 1.988e-02
9.000e+00 1.472e-05 1.403e-02 1.326e-04 2.127e-02
9.097e+00 1.441e-05 1.392e-02 1.309e-04 2.144e-02
1.000e+01 1.193e-05 1.300e-02 1.169e-04 2.295e-02
1.004e+01 1.183e-05 1.296e-02 1.164e-04 2.302e-02
