# BORON OXIDE from NIST Database
5.710e-01 1.586e-04 8.036e-02 1.102e-05 0.000e+00
6.000e-01 1.437e-04 7.865e-02 9.697e-06 0.000e+00
6.304e-01 1.302e-04 7.697e-02 8.530e-06 0.000e+00
6.959e-01 1.069e-04 7.366e-02 6.642e-06 0.000e+00
7.682e-01 8.773e-05 7.042e-02 5.304e-06 0.000e+00
8.000e-01 8.089e-05 6.911e-02 4.894e-06 0.000e+00
8.480e-01 7.199e-05 6.726e-02 4.412e-06 0.000e+00
9.361e-01 5.907e-05 6.418e-02 3.645e-06 0.000e+00
1.000e+00 5.178e-05 6.217e-02 3.042e-06 0.000e+00
1.022e+00 4.958e-05 6.151e-02 2.832e-06 0.000e+00
1.033e+00 4.854e-05 6.119e-02 2.740e-06 3.280e-09
1.141e+00 3.980e-05 5.823e-02 2.202e-06 3.111e-06
1.250e+00 3.316e-05 5.558e-02 1.923e-06 1.681e-05
1.259e+00 3.268e-05 5.538e-02 1.902e-06 1.850e-05
1.390e+00 2.681e-05 5.259e-02 1.603e-06 5.239e-05
1.500e+00 2.302e-05 5.051e-02 1.395e-06 9.306e-05
1.535e+00 2.198e-05 4.990e-02 1.339e-06 1.080e-04
1.694e+00 1.806e-05 4.733e-02 1.136e-06 1.863e-04
1.870e+00 1.482e-05 4.481e-02 9.729e-07 2.883e-04
2.000e+00 1.295e-05 4.312e-02 8.778e-07 3.705e-04
2.044e+00 1.240e-05 4.257e-02 8.491e-07 3.993e-04
2.065e+00 1.215e-05 4.232e-02 8.361e-07 4.132e-04
2.279e+00 9.967e-06 3.994e-02 7.218e-07 5.585e-04
2.516e+00 8.178e-06 3.769e-02 6.258e-07 7.250e-04
2.778e+00 6.711e-06 3.553e-02 5.449e-07 9.122e-04
3.000e+00 5.756e-06 3.392e-02 4.906e-07 1.072e-03
3.066e+00 5.511e-06 3.347e-02 4.764e-07 1.119e-03
3.385e+00 4.522e-06 3.147e-02 4.177e-07 1.345e-03
3.737e+00 3.711e-06 2.956e-02 3.674e-07 1.589e-03
4.000e+00 3.238e-06 2.829e-02 3.368e-07 1.767e-03
4.125e+00 3.045e-06 2.773e-02 3.240e-07 1.850e-03
4.554e+00 2.498e-06 2.600e-02 2.864e-07 2.127e-03
5.000e+00 2.072e-06 2.443e-02 2.554e-07 2.403e-03
5.027e+00 2.050e-06 2.434e-02 2.538e-07 2.419e-03
