# MAGNESIUM TETRABORATE from NIST Database
4.686e-01 2.874e-04 8.762e-02 3.292e-05 0.000e+00
5.000e-01 2.525e-04 8.531e-02 2.766e-05 0.000e+00
5.173e-01 2.360e-04 8.410e-02 2.529e-05 0.000e+00
5.710e-01 1.937e-04 8.064e-02 1.959e-05 0.000e+00
6.000e-01 1.755e-04 7.893e-02 1.725e-05 0.000e+00
6.304e-01 1.590e-04 7.724e-02 1.519e-05 0.000e+00
6.959e-01 1.305e-04 7.392e-02 1.186e-05 0.000e+00
7.682e-01 1.072e-04 7.067e-02 9.459e-06 0.000e+00
8.000e-01 9.881e-05 6.936e-02 8.709e-06 0.000e+00
8.480e-01 8.793e-05 6.750e-02 7.814e-06 0.000e+00
9.361e-01 7.216e-05 6.441e-02 6.430e-06 0.000e+00
1.000e+00 6.325e-05 6.239e-02 5.415e-06 0.000e+00
1.022e+00 6.057e-05 6.173e-02 5.069e-06 0.000e+00
1.033e+00 5.929e-05 6.140e-02 4.915e-06 3.671e-09
1.141e+00 4.862e-05 5.844e-02 3.968e-06 3.474e-06
1.250e+00 4.050e-05 5.578e-02 3.439e-06 1.875e-05
1.259e+00 3.993e-05 5.558e-02 3.400e-06 2.062e-05
1.390e+00 3.275e-05 5.278e-02 2.862e-06 5.831e-05
1.500e+00 2.812e-05 5.070e-02 2.494e-06 1.035e-04
1.535e+00 2.686e-05 5.008e-02 2.395e-06 1.201e-04
1.694e+00 2.205e-05 4.750e-02 2.030e-06 2.070e-04
1.870e+00 1.810e-05 4.497e-02 1.736e-06 3.202e-04
2.000e+00 1.582e-05 4.327e-02 1.564e-06 4.116e-04
2.044e+00 1.515e-05 4.273e-02 1.513e-06 4.435e-04
2.065e+00 1.484e-05 4.247e-02 1.489e-06 4.589e-04
2.279e+00 1.218e-05 4.009e-02 1.284e-06 6.203e-04
2.516e+00 9.997e-06 3.783e-02 1.112e-06 8.047e-04
2.778e+00 8.201e-06 3.566e-02 9.677e-07 1.012e-03
3.000e+00 7.033e-06 3.404e-02 8.707e-07 1.188e-03
3.066e+00 6.733e-06 3.359e-02 8.454e-07 1.240e-03
3.385e+00 5.524e-06 3.159e-02 7.405e-07 1.490e-03
3.737e+00 4.533e-06 2.966e-02 6.506e-07 1.759e-03
4.000e+00 3.956e-06 2.839e-02 5.961e-07 1.955e-03
4.125e+00 3.720e-06 2.783e-02 5.733e-07 2.046e-03
4.554e+00 3.052e-06 2.609e-02 5.063e-07 2.351e-03
5.000e+00 2.532e-06 2.452e-02 4.513e-07 2.654e-03
5.027e+00 2.505e-06 2.443e-02 4.483e-07 2.672e-03
5.549e+00 2.055e-06 2.286e-02 3.978e-07 3.011e-03
6.000e+00 1.758e-06 2.167e-02 3.624e-07 3.291e-03
6.126e+00 1.686e-06 2.137e-02 3.536e-07 3.366e-03
6.762e+00 1.384e-06 1.996e-02 3.149e-07 3.732e-03
7.000e+00 1.292e-06 1.948e-02 3.025e-07 3.863e-03
7.465e+00 1.136e-06 1.862e-02 2.808e-07 4.109e-03
8.000e+00 9.890e-07 1.773e-02 2.594e-07 4.381e-03
8.241e+00 9.320e-07 1.736e-02 2.508e-07 4.500e-03
9.000e+00 7.815e-07 1.630e-02 2.270e-07 4.856e-03
9.097e+00 7.649e-07 1.617e-02 2.243e-07 4.900e-03
1.000e+01 6.330e-07 1.510e-02 2.017e-07 5.287e-03
1.004e+01 6.280e-07 1.506e-02 2.008e-07 5.304e-03
1.100e+01 5.231e-07 1.408e-02 1.815e-07 5.683e-03
1.109e+01 5.146e-07 1.400e-02 1.799e-07 5.717e-03
1.200e+01 4.395e-07 1.321e-02 1.649e-07 6.046e-03
1.224e+01 4.225e-07 1.301e-02 1.614e-07 6.130e-03
1.300e+01 3.745e-07 1.244e-02 1.511e-07 6.386e-03
1.351e+01 3.468e-07 1.209e-02 1.449e-07 6.550e-03
1.400e+01 3.229e-07 1.177e-02 1.394e-07 6.703e-03
1.491e+01 2.847e-07 1.123e-02 1.303e-07 6.972e-03
1.500e+01 2.813e-07 1.118e-02 1.294e-07 6.999e-03
1.600e+01 2.472e-07 1.064e-02 1.208e-07 7.277e-03
1.646e+01 2.336e-07 1.042e-02 1.171e-07 7.402e-03
1.800e+01 1.953e-07 9.727e-03 1.065e-07 7.790e-03
1.818e+01 1.915e-07 9.653e-03 1.054e-07 7.834e-03
2.000e+01 1.583e-07 8.969e-03 9.522e-08 8.249e-03
