# POLYVINYLIDENE FLUORIDE from NIST Database
5.173e-01 2.186e-04 8.575e-02 1.957e-05 0.000e+00
5.710e-01 1.795e-04 8.222e-02 1.516e-05 0.000e+00
6.000e-01 1.626e-04 8.048e-02 1.334e-05 0.000e+00
6.304e-01 1.473e-04 7.876e-02 1.174e-05 0.000e+00
6.959e-01 1.209e-04 7.538e-02 9.159e-06 0.000e+00
7.682e-01 9.923e-05 7.207e-02 7.309e-06 0.000e+00
8.000e-01 9.151e-05 7.072e-02 6.735e-06 0.000e+00
8.480e-01 8.146e-05 6.881e-02 6.053e-06 0.000e+00
9.361e-01 6.686e-05 6.565e-02 4.987e-06 0.000e+00
1.000e+00 5.859e-05 6.360e-02 4.187e-06 0.000e+00
1.022e+00 5.609e-05 6.294e-02 3.911e-06 0.000e+00
1.033e+00 5.490e-05 6.261e-02 3.789e-06 3.461e-09
1.141e+00 4.500e-05 5.960e-02 3.053e-06 3.287e-06
1.250e+00 3.750e-05 5.688e-02 2.653e-06 1.778e-05
1.259e+00 3.696e-05 5.667e-02 2.623e-06 1.957e-05
1.390e+00 3.033e-05 5.383e-02 2.210e-06 5.546e-05
1.500e+00 2.604e-05 5.170e-02 1.925e-06 9.854e-05
1.535e+00 2.487e-05 5.107e-02 1.849e-06 1.144e-04
1.694e+00 2.042e-05 4.839e-02 1.568e-06 1.973e-04
1.870e+00 1.676e-05 4.581e-02 1.342e-06 3.052e-04
2.000e+00 1.465e-05 4.411e-02 1.210e-06 3.926e-04
2.044e+00 1.403e-05 4.357e-02 1.170e-06 4.232e-04
2.065e+00 1.375e-05 4.332e-02 1.152e-06 4.380e-04
2.279e+00 1.129e-05 4.093e-02 9.943e-07 5.925e-04
2.516e+00 9.261e-06 3.862e-02 8.617e-07 7.691e-04
2.778e+00 7.596e-06 3.638e-02 7.499e-07 9.671e-04
3.000e+00 6.514e-06 3.471e-02 6.749e-07 1.135e-03
3.066e+00 6.236e-06 3.425e-02 6.553e-07 1.185e-03
3.385e+00 5.117e-06 3.220e-02 5.744e-07 1.425e-03
