# FERRIC OXIDE from NIST Database
5.000e-01 1.290e-03 8.256e-02 1.239e-03 0.000e+00
5.173e-01 1.206e-03 8.141e-02 1.134e-03 0.000e+00
5.710e-01 9.916e-04 7.810e-02 8.828e-04 0.000e+00
6.000e-01 8.988e-04 7.646e-02 7.801e-04 0.000e+00
6.304e-01 8.148e-04 7.484e-02 6.902e-04 0.000e+00
6.959e-01 6.697e-04 7.164e-02 5.435e-04 0.000e+00
7.682e-01 5.502e-04 6.852e-02 4.336e-04 0.000e+00
8.000e-01 5.075e-04 6.725e-02 3.972e-04 0.000e+00
8.480e-01 4.519e-04 6.546e-02 3.521e-04 0.000e+00
9.361e-01 3.711e-04 6.247e-02 2.869e-04 0.000e+00
1.000e+00 3.254e-04 6.051e-02 2.470e-04 0.000e+00
1.022e+00 3.116e-04 5.987e-02 2.344e-04 0.000e+00
1.033e+00 3.050e-04 5.955e-02 2.287e-04 1.211e-08
1.141e+00 2.502e-04 5.669e-02 1.866e-04 1.074e-05
1.250e+00 2.085e-04 5.412e-02 1.586e-04 5.501e-05
1.259e+00 2.056e-04 5.392e-02 1.566e-04 6.030e-05
1.390e+00 1.686e-04 5.122e-02 1.311e-04 1.632e-04
1.500e+00 1.449e-04 4.920e-02 1.144e-04 2.826e-04
1.535e+00 1.384e-04 4.860e-02 1.098e-04 3.262e-04
1.694e+00 1.137e-04 4.608e-02 9.269e-05 5.525e-04
1.870e+00 9.338e-05 4.363e-02 7.865e-05 8.461e-04
2.000e+00 8.159e-05 4.200e-02 7.055e-05 1.082e-03
2.044e+00 7.809e-05 4.147e-02 6.814e-05 1.165e-03
2.065e+00 7.649e-05 4.123e-02 6.704e-05 1.204e-03
2.279e+00 6.275e-05 3.893e-02 5.748e-05 1.616e-03
2.516e+00 5.150e-05 3.673e-02 4.948e-05 2.080e-03
2.778e+00 4.227e-05 3.462e-02 4.277e-05 2.592e-03
3.000e+00 3.626e-05 3.304e-02 3.830e-05 3.023e-03
3.066e+00 3.472e-05 3.260e-02 3.714e-05 3.149e-03
3.385e+00 2.849e-05 3.066e-02 3.235e-05 3.753e-03
3.737e+00 2.338e-05 2.880e-02 2.826e-05 4.399e-03
4.000e+00 2.040e-05 2.757e-02 2.580e-05 4.865e-03
4.125e+00 1.918e-05 2.703e-02 2.477e-05 5.082e-03
4.554e+00 1.574e-05 2.533e-02 2.177e-05 5.799e-03
5.000e+00 1.306e-05 2.381e-02 1.931e-05 6.510e-03
5.027e+00 1.292e-05 2.372e-02 1.918e-05 6.551e-03
5.549e+00 1.061e-05 2.220e-02 1.695e-05 7.341e-03
6.000e+00 9.072e-06 2.104e-02 1.539e-05 7.985e-03
6.126e+00 8.702e-06 2.075e-02 1.500e-05 8.160e-03
6.762e+00 7.140e-06 1.938e-02 1.331e-05 9.001e-03
7.000e+00 6.663e-06 1.892e-02 1.276e-05 9.302e-03
7.465e+00 5.858e-06 1.808e-02 1.182e-05 9.870e-03
8.000e+00 5.101e-06 1.722e-02 1.089e-05 1.049e-02
8.241e+00 4.807e-06 1.686e-02 1.052e-05 1.076e-02
9.000e+00 4.031e-06 1.582e-02 9.496e-06 1.157e-02
9.097e+00 3.945e-06 1.570e-02 9.379e-06 1.166e-02
1.000e+01 3.264e-06 1.466e-02 8.411e-06 1.254e-02
1.004e+01 3.238e-06 1.462e-02 8.373e-06 1.259e-02
1.100e+01 2.698e-06 1.367e-02 7.545e-06 1.344e-02
1.109e+01 2.655e-06 1.359e-02 7.476e-06 1.352e-02
1.200e+01 2.268e-06 1.282e-02 6.841e-06 1.426e-02
1.224e+01 2.180e-06 1.263e-02 6.691e-06 1.445e-02
1.300e+01 1.932e-06 1.208e-02 6.256e-06 1.500e-02
1.351e+01 1.789e-06 1.174e-02 5.994e-06 1.537e-02
1.400e+01 1.665e-06 1.143e-02 5.762e-06 1.572e-02
1.491e+01 1.468e-06 1.090e-02 5.376e-06 1.632e-02
1.500e+01 1.451e-06 1.085e-02 5.341e-06 1.637e-02
1.600e+01 1.275e-06 1.033e-02 4.976e-06 1.700e-02
1.646e+01 1.205e-06 1.011e-02 4.824e-06 1.727e-02
1.800e+01 1.008e-06 9.444e-03 4.377e-06 1.814e-02
1.818e+01 9.881e-07 9.372e-03 4.331e-06 1.823e-02
2.000e+01 8.159e-07 8.709e-03 3.907e-06 1.915e-02
