# VITON FLUOROELASTOMER from NIST Database
5.173e-01 2.371e-04 8.335e-02 2.237e-05 0.000e+00
5.710e-01 1.947e-04 7.993e-02 1.732e-05 0.000e+00
6.000e-01 1.763e-04 7.823e-02 1.525e-05 0.000e+00
6.304e-01 1.598e-04 7.656e-02 1.343e-05 0.000e+00
6.959e-01 1.311e-04 7.328e-02 1.047e-05 0.000e+00
7.682e-01 1.076e-04 7.006e-02 8.356e-06 0.000e+00
8.000e-01 9.925e-05 6.876e-02 7.698e-06 0.000e+00
8.480e-01 8.835e-05 6.690e-02 6.915e-06 0.000e+00
9.361e-01 7.252e-05 6.383e-02 5.695e-06 0.000e+00
1.000e+00 6.354e-05 6.183e-02 4.785e-06 0.000e+00
1.022e+00 6.083e-05 6.119e-02 4.473e-06 0.000e+00
1.033e+00 5.954e-05 6.087e-02 4.335e-06 3.647e-09
1.141e+00 4.880e-05 5.794e-02 3.495e-06 3.462e-06
1.250e+00 4.067e-05 5.530e-02 3.034e-06 1.872e-05
1.259e+00 4.009e-05 5.509e-02 3.000e-06 2.060e-05
1.390e+00 3.289e-05 5.233e-02 2.527e-06 5.838e-05
1.500e+00 2.824e-05 5.026e-02 2.202e-06 1.037e-04
1.535e+00 2.697e-05 4.965e-02 2.114e-06 1.204e-04
1.694e+00 2.215e-05 4.705e-02 1.793e-06 2.076e-04
1.870e+00 1.818e-05 4.453e-02 1.534e-06 3.212e-04
2.000e+00 1.589e-05 4.288e-02 1.383e-06 4.131e-04
2.044e+00 1.522e-05 4.236e-02 1.338e-06 4.454e-04
2.065e+00 1.491e-05 4.212e-02 1.317e-06 4.609e-04
2.279e+00 1.224e-05 3.980e-02 1.137e-06 6.235e-04
2.516e+00 1.005e-05 3.755e-02 9.850e-07 8.092e-04
2.778e+00 8.239e-06 3.537e-02 8.571e-07 1.018e-03
3.000e+00 7.065e-06 3.374e-02 7.714e-07 1.194e-03
3.066e+00 6.764e-06 3.329e-02 7.491e-07 1.246e-03
3.385e+00 5.549e-06 3.130e-02 6.565e-07 1.497e-03
3.737e+00 4.554e-06 2.940e-02 5.771e-07 1.768e-03
4.000e+00 3.974e-06 2.815e-02 5.289e-07 1.965e-03
4.125e+00 3.737e-06 2.759e-02 5.087e-07 2.057e-03
4.554e+00 3.066e-06 2.586e-02 4.495e-07 2.364e-03
5.000e+00 2.543e-06 2.431e-02 4.008e-07 2.669e-03
5.027e+00 2.516e-06 2.422e-02 3.982e-07 2.686e-03
5.549e+00 2.065e-06 2.266e-02 3.536e-07 3.027e-03
6.000e+00 1.766e-06 2.149e-02 3.222e-07 3.308e-03
6.126e+00 1.694e-06 2.118e-02 3.144e-07 3.384e-03
6.762e+00 1.391e-06 1.978e-02 2.800e-07 3.753e-03
7.000e+00 1.298e-06 1.931e-02 2.690e-07 3.884e-03
7.465e+00 1.141e-06 1.846e-02 2.498e-07 4.132e-03
8.000e+00 9.935e-07 1.757e-02 2.308e-07 4.405e-03
8.241e+00 9.362e-07 1.721e-02 2.231e-07 4.524e-03
9.000e+00 7.849e-07 1.615e-02 2.020e-07 4.881e-03
9.097e+00 7.683e-07 1.603e-02 1.996e-07 4.924e-03
1.000e+01 6.359e-07 1.497e-02 1.796e-07 5.315e-03
1.004e+01 6.309e-07 1.492e-02 1.788e-07 5.332e-03
1.100e+01 5.255e-07 1.396e-02 1.616e-07 5.714e-03
1.109e+01 5.170e-07 1.388e-02 1.601e-07 5.748e-03
1.200e+01 4.414e-07 1.309e-02 1.469e-07 6.078e-03
1.224e+01 4.243e-07 1.290e-02 1.437e-07 6.162e-03
1.300e+01 3.763e-07 1.233e-02 1.346e-07 6.418e-03
1.351e+01 3.484e-07 1.198e-02 1.291e-07 6.582e-03
1.400e+01 3.245e-07 1.167e-02 1.242e-07 6.735e-03
1.491e+01 2.861e-07 1.113e-02 1.160e-07 7.007e-03
1.500e+01 2.827e-07 1.108e-02 1.153e-07 7.033e-03
1.600e+01 2.484e-07 1.055e-02 1.076e-07 7.312e-03
1.646e+01 2.347e-07 1.032e-02 1.044e-07 7.436e-03
1.800e+01 1.962e-07 9.642e-03 9.489e-08 7.827e-03
1.818e+01 1.924e-07 9.569e-03 9.389e-08 7.872e-03
2.000e+01 1.590e-07 8.891e-03 8.485e-08 8.289e-03
