# SILVER BROMIDE from NIST Database
1.500e-01 3.757e-02 1.100e-01 2.876e-01 0.000e+00
1.579e-01 3.420e-02 1.088e-01 2.475e-01 0.000e+00
1.743e-01 2.850e-02 1.063e-01 1.854e-01 0.000e+00
1.925e-01 2.369e-02 1.037e-01 1.388e-01 0.000e+00
2.000e-01 2.205e-02 1.027e-01 1.242e-01 0.000e+00
2.125e-01 1.968e-02 1.010e-01 1.042e-01 0.000e+00
2.345e-01 1.633e-02 9.821e-02 7.845e-02 0.000e+00
2.589e-01 1.353e-02 9.531e-02 5.911e-02 0.000e+00
2.858e-01 1.120e-02 9.236e-02 4.468e-02 0.000e+00
3.000e-01 1.021e-02 9.089e-02 3.900e-02 0.000e+00
3.155e-01 9.264e-03 8.936e-02 3.388e-02 0.000e+00
3.483e-01 7.656e-03 8.633e-02 2.579e-02 0.000e+00
3.845e-01 6.323e-03 8.329e-02 1.972e-02 0.000e+00
4.000e-01 5.856e-03 8.207e-02 1.774e-02 0.000e+00
4.245e-01 5.217e-03 8.025e-02 1.515e-02 0.000e+00
4.686e-01 4.303e-03 7.723e-02 1.171e-02 0.000e+00
5.000e-01 3.791e-03 7.527e-02 9.920e-03 0.000e+00
5.173e-01 3.547e-03 7.425e-02 9.105e-03 0.000e+00
5.710e-01 2.922e-03 7.131e-02 7.129e-03 0.000e+00
6.000e-01 2.651e-03 6.985e-02 6.317e-03 0.000e+00
6.304e-01 2.406e-03 6.840e-02 5.607e-03 0.000e+00
6.959e-01 1.980e-03 6.552e-02 4.439e-03 0.000e+00
7.682e-01 1.629e-03 6.268e-02 3.552e-03 0.000e+00
8.000e-01 1.503e-03 6.153e-02 3.254e-03 0.000e+00
8.480e-01 1.339e-03 5.990e-02 2.882e-03 0.000e+00
9.361e-01 1.101e-03 5.718e-02 2.347e-03 0.000e+00
1.000e+00 9.660e-04 5.539e-02 2.029e-03 0.000e+00
1.022e+00 9.252e-04 5.481e-02 1.931e-03 0.000e+00
1.033e+00 9.058e-04 5.452e-02 1.885e-03 3.299e-08
1.141e+00 7.435e-04 5.191e-02 1.540e-03 2.768e-05
1.250e+00 6.201e-04 4.958e-02 1.303e-03 1.351e-04
1.259e+00 6.113e-04 4.940e-02 1.286e-03 1.475e-04
1.390e+00 5.019e-04 4.694e-02 1.073e-03 3.816e-04
1.500e+00 4.312e-04 4.509e-02 9.347e-04 6.413e-04
1.535e+00 4.118e-04 4.454e-02 8.969e-04 7.340e-04
1.694e+00 3.383e-04 4.223e-02 7.548e-04 1.205e-03
1.870e+00 2.778e-04 3.999e-02 6.381e-04 1.797e-03
2.000e+00 2.429e-04 3.851e-02 5.706e-04 2.264e-03
2.044e+00 2.326e-04 3.803e-02 5.505e-04 2.425e-03
2.065e+00 2.279e-04 3.781e-02 5.413e-04 2.502e-03
2.279e+00 1.872e-04 3.572e-02 4.619e-04 3.298e-03
2.516e+00 1.536e-04 3.370e-02 3.960e-04 4.185e-03
2.778e+00 1.260e-04 3.176e-02 3.410e-04 5.156e-03
3.000e+00 1.081e-04 3.031e-02 3.044e-04 5.960e-03
3.066e+00 1.035e-04 2.991e-02 2.949e-04 6.195e-03
3.385e+00 8.491e-05 2.812e-02 2.557e-04 7.304e-03
3.737e+00 6.968e-05 2.642e-02 2.225e-04 8.477e-03
4.000e+00 6.082e-05 2.529e-02 2.026e-04 9.318e-03
4.125e+00 5.719e-05 2.479e-02 1.942e-04 9.708e-03
4.554e+00 4.693e-05 2.324e-02 1.700e-04 1.100e-02
5.000e+00 3.893e-05 2.184e-02 1.503e-04 1.226e-02
5.027e+00 3.852e-05 2.176e-02 1.492e-04 1.234e-02
5.549e+00 3.162e-05 2.036e-02 1.313e-04 1.371e-02
6.000e+00 2.704e-05 1.930e-02 1.189e-04 1.483e-02
6.126e+00 2.594e-05 1.903e-02 1.158e-04 1.513e-02
6.762e+00 2.129e-05 1.778e-02 1.024e-04 1.660e-02
7.000e+00 1.987e-05 1.735e-02 9.810e-05 1.712e-02
7.465e+00 1.747e-05 1.659e-02 9.067e-05 1.811e-02
8.000e+00 1.521e-05 1.579e-02 8.337e-05 1.919e-02
8.241e+00 1.434e-05 1.546e-02 8.045e-05 1.966e-02
9.000e+00 1.202e-05 1.452e-02 7.241e-05 2.107e-02
9.097e+00 1.177e-05 1.441e-02 7.150e-05 2.124e-02
1.000e+01 9.737e-06 1.345e-02 6.397e-05 2.280e-02
1.004e+01 9.660e-06 1.341e-02 6.367e-05 2.286e-02
1.100e+01 8.048e-06 1.255e-02 5.726e-05 2.436e-02
1.109e+01 7.918e-06 1.247e-02 5.672e-05 2.451e-02
1.200e+01 6.762e-06 1.177e-02 5.181e-05 2.582e-02
1.224e+01 6.499e-06 1.159e-02 5.065e-05 2.616e-02
1.300e+01 5.762e-06 1.108e-02 4.730e-05 2.716e-02
1.351e+01 5.334e-06 1.077e-02 4.527e-05 2.781e-02
1.400e+01 4.967e-06 1.049e-02 4.348e-05 2.841e-02
1.491e+01 4.380e-06 1.000e-02 4.053e-05 2.945e-02
1.500e+01 4.327e-06 9.955e-03 4.026e-05 2.955e-02
1.600e+01 3.803e-06 9.484e-03 3.746e-05 3.063e-02
1.646e+01 3.594e-06 9.282e-03 3.630e-05 3.110e-02
1.800e+01 3.005e-06 8.666e-03 3.289e-05 3.260e-02
1.818e+01 2.946e-06 8.600e-03 3.253e-05 3.276e-02
2.000e+01 2.434e-06 7.992e-03 2.931e-05 3.436e-02
