# POTASSIUM OXIDE from NIST Database
5.000e-01 9.388e-04 8.480e-02 4.807e-04 0.000e+00
5.173e-01 8.775e-04 8.361e-02 4.398e-04 0.000e+00
5.710e-01 7.212e-04 8.020e-02 3.413e-04 0.000e+00
6.000e-01 6.535e-04 7.851e-02 3.012e-04 0.000e+00
6.304e-01 5.923e-04 7.685e-02 2.661e-04 0.000e+00
6.959e-01 4.865e-04 7.356e-02 2.091e-04 0.000e+00
7.682e-01 3.995e-04 7.034e-02 1.668e-04 0.000e+00
8.000e-01 3.685e-04 6.903e-02 1.529e-04 0.000e+00
8.480e-01 3.281e-04 6.718e-02 1.358e-04 0.000e+00
9.361e-01 2.694e-04 6.410e-02 1.109e-04 0.000e+00
1.000e+00 2.361e-04 6.210e-02 9.508e-05 0.000e+00
1.022e+00 2.261e-04 6.145e-02 8.999e-05 0.000e+00
1.033e+00 2.213e-04 6.113e-02 8.768e-05 9.153e-09
1.141e+00 1.814e-04 5.818e-02 7.141e-05 8.382e-06
1.250e+00 1.512e-04 5.554e-02 6.094e-05 4.402e-05
1.259e+00 1.491e-04 5.534e-02 6.018e-05 4.834e-05
1.390e+00 1.223e-04 5.257e-02 5.047e-05 1.336e-04
1.500e+00 1.051e-04 5.049e-02 4.404e-05 2.342e-04
1.535e+00 1.003e-04 4.987e-02 4.229e-05 2.710e-04
1.694e+00 8.239e-05 4.728e-02 3.574e-05 4.626e-04
1.870e+00 6.762e-05 4.476e-02 3.040e-05 7.117e-04
2.000e+00 5.912e-05 4.310e-02 2.732e-05 9.135e-04
2.044e+00 5.660e-05 4.257e-02 2.641e-05 9.842e-04
2.065e+00 5.545e-05 4.232e-02 2.599e-05 1.018e-03
2.279e+00 4.553e-05 3.998e-02 2.234e-05 1.372e-03
2.516e+00 3.736e-05 3.772e-02 1.928e-05 1.771e-03
2.778e+00 3.064e-05 3.554e-02 1.669e-05 2.213e-03
3.000e+00 2.628e-05 3.391e-02 1.497e-05 2.585e-03
3.066e+00 2.516e-05 3.346e-02 1.452e-05 2.695e-03
3.385e+00 2.064e-05 3.147e-02 1.267e-05 3.220e-03
3.737e+00 1.694e-05 2.956e-02 1.110e-05 3.783e-03
4.000e+00 1.479e-05 2.829e-02 1.015e-05 4.191e-03
4.125e+00 1.390e-05 2.773e-02 9.751e-06 4.380e-03
4.554e+00 1.141e-05 2.599e-02 8.587e-06 5.008e-03
5.000e+00 9.463e-06 2.443e-02 7.632e-06 5.632e-03
5.027e+00 9.362e-06 2.434e-02 7.581e-06 5.668e-03
5.549e+00 7.683e-06 2.277e-02 6.708e-06 6.361e-03
6.000e+00 6.572e-06 2.159e-02 6.098e-06 6.928e-03
6.126e+00 6.304e-06 2.129e-02 5.947e-06 7.081e-03
6.762e+00 5.174e-06 1.988e-02 5.284e-06 7.822e-03
7.000e+00 4.828e-06 1.941e-02 5.071e-06 8.087e-03
7.465e+00 4.245e-06 1.855e-02 4.701e-06 8.586e-03
8.000e+00 3.696e-06 1.766e-02 4.335e-06 9.133e-03
8.241e+00 3.483e-06 1.729e-02 4.189e-06 9.371e-03
9.000e+00 2.921e-06 1.624e-02 3.785e-06 1.008e-02
9.097e+00 2.859e-06 1.611e-02 3.739e-06 1.017e-02
1.000e+01 2.366e-06 1.504e-02 3.357e-06 1.094e-02
1.004e+01 2.348e-06 1.500e-02 3.342e-06 1.099e-02
1.100e+01 1.955e-06 1.403e-02 3.016e-06 1.174e-02
