# GLASS, LEAD from NIST Database
4.822e-02 5.304e-01 1.099e-01 6.094e+00 0.000e+00
5.000e-02 5.012e-01 1.103e-01 5.524e+00 0.000e+00
5.323e-02 4.540e-01 1.109e-01 4.655e+00 0.000e+00
5.876e-02 3.877e-01 1.116e-01 3.553e+00 0.000e+00
6.000e-02 3.750e-01 1.117e-01 3.356e+00 0.000e+00
6.486e-02 3.308e-01 1.120e-01 2.709e+00 0.000e+00
7.161e-02 2.819e-01 1.121e-01 2.064e+00 0.000e+00
7.905e-02 2.400e-01 1.119e-01 1.573e+00 0.000e+00
8.000e-02 2.353e-01 1.118e-01 1.522e+00 0.000e+00
8.726e-02 2.040e-01 1.114e-01 1.198e+00 0.000e+00
8.800e-02 2.011e-01 1.113e-01 1.170e+00 0.000e+00
8.800e-02 2.011e-01 1.113e-01 5.512e+00 0.000e+00
9.633e-02 1.731e-01 1.106e-01 4.348e+00 0.000e+00
1.000e-01 1.625e-01 1.102e-01 3.943e+00 0.000e+00
1.063e-01 1.465e-01 1.095e-01 3.361e+00 0.000e+00
1.174e-01 1.234e-01 1.082e-01 2.594e+00 0.000e+00
1.296e-01 1.038e-01 1.066e-01 2.004e+00 0.000e+00
1.431e-01 8.709e-02 1.048e-01 1.546e+00 0.000e+00
1.500e-01 8.007e-02 1.039e-01 1.366e+00 0.000e+00
1.579e-01 7.306e-02 1.028e-01 1.193e+00 0.000e+00
1.743e-01 6.119e-02 1.007e-01 9.177e-01 0.000e+00
1.925e-01 5.116e-02 9.834e-02 7.049e-01 0.000e+00
2.000e-01 4.775e-02 9.741e-02 6.369e-01 0.000e+00
2.125e-01 4.279e-02 9.589e-02 5.425e-01 0.000e+00
2.345e-01 3.578e-02 9.333e-02 4.184e-01 0.000e+00
2.589e-01 2.986e-02 9.068e-02 3.229e-01 0.000e+00
2.858e-01 2.490e-02 8.796e-02 2.498e-01 0.000e+00
3.000e-01 2.277e-02 8.660e-02 2.204e-01 0.000e+00
3.155e-01 2.074e-02 8.519e-02 1.937e-01 0.000e+00
3.483e-01 1.725e-02 8.239e-02 1.507e-01 0.000e+00
3.845e-01 1.433e-02 7.958e-02 1.176e-01 0.000e+00
4.000e-01 1.330e-02 7.845e-02 1.066e-01 0.000e+00
4.245e-01 1.189e-02 7.676e-02 9.213e-02 0.000e+00
4.686e-01 9.855e-03 7.395e-02 7.252e-02 0.000e+00
5.000e-01 8.708e-03 7.210e-02 6.213e-02 0.000e+00
5.173e-01 8.160e-03 7.114e-02 5.733e-02 0.000e+00
5.710e-01 6.751e-03 6.835e-02 4.556e-02 0.000e+00
6.000e-01 6.137e-03 6.696e-02 4.067e-02 0.000e+00
6.304e-01 5.579e-03 6.559e-02 3.637e-02 0.000e+00
6.959e-01 4.610e-03 6.288e-02 2.919e-02 0.000e+00
7.682e-01 3.806e-03 6.019e-02 2.355e-02 0.000e+00
8.000e-01 3.518e-03 5.910e-02 2.160e-02 0.000e+00
8.480e-01 3.142e-03 5.753e-02 1.910e-02 0.000e+00
9.361e-01 2.591e-03 5.492e-02 1.557e-02 0.000e+00
1.000e+00 2.277e-03 5.325e-02 1.361e-02 0.000e+00
1.022e+00 2.181e-03 5.271e-02 1.303e-02 0.000e+00
1.033e+00 2.136e-03 5.245e-02 1.275e-02 6.445e-08
1.141e+00 1.757e-03 4.996e-02 1.048e-02 5.729e-05
1.250e+00 1.469e-03 4.770e-02 8.790e-03 2.909e-04
1.259e+00 1.449e-03 4.753e-02 8.671e-03 3.185e-04
1.390e+00 1.192e-03 4.517e-02 7.200e-03 8.371e-04
1.500e+00 1.026e-03 4.340e-02 6.260e-03 1.394e-03
1.535e+00 9.798e-04 4.287e-02 6.004e-03 1.585e-03
1.694e+00 8.064e-04 4.064e-02 5.037e-03 2.485e-03
1.870e+00 6.632e-04 3.848e-02 4.244e-03 3.496e-03
2.000e+00 5.804e-04 3.708e-02 3.787e-03 4.239e-03
2.044e+00 5.559e-04 3.664e-02 3.652e-03 4.490e-03
2.065e+00 5.447e-04 3.643e-02 3.590e-03 4.610e-03
2.279e+00 4.478e-04 3.444e-02 3.052e-03 5.795e-03
2.516e+00 3.679e-04 3.250e-02 2.603e-03 7.040e-03
2.778e+00 3.021e-04 3.061e-02 2.228e-03 8.336e-03
3.000e+00 2.592e-04 2.920e-02 1.980e-03 9.376e-03
3.066e+00 2.482e-04 2.881e-02 1.915e-03 9.677e-03
3.385e+00 2.038e-04 2.709e-02 1.652e-03 1.108e-02
3.737e+00 1.673e-04 2.545e-02 1.429e-03 1.253e-02
4.000e+00 1.460e-04 2.437e-02 1.296e-03 1.356e-02
4.125e+00 1.373e-04 2.389e-02 1.241e-03 1.404e-02
4.554e+00 1.127e-04 2.240e-02 1.080e-03 1.559e-02
5.000e+00 9.356e-05 2.105e-02 9.499e-04 1.710e-02
5.027e+00 9.256e-05 2.097e-02 9.430e-04 1.718e-02
5.549e+00 7.598e-05 1.962e-02 8.255e-04 1.884e-02
6.000e+00 6.500e-05 1.861e-02 7.444e-04 2.017e-02
6.126e+00 6.236e-05 1.834e-02 7.244e-04 2.052e-02
6.762e+00 5.119e-05 1.714e-02 6.373e-04 2.225e-02
7.000e+00 4.777e-05 1.673e-02 6.097e-04 2.287e-02
7.465e+00 4.201e-05 1.599e-02 5.618e-04 2.403e-02
8.000e+00 3.658e-05 1.522e-02 5.150e-04 2.530e-02
8.241e+00 3.447e-05 1.491e-02 4.963e-04 2.585e-02
9.000e+00 2.891e-05 1.400e-02 4.450e-04 2.752e-02
9.097e+00 2.829e-05 1.389e-02 4.392e-04 2.773e-02
1.000e+01 2.342e-05 1.297e-02 3.915e-04 2.957e-02
1.004e+01 2.324e-05 1.293e-02 3.896e-04 2.964e-02
1.100e+01 1.935e-05 1.209e-02 3.492e-04 3.145e-02
1.109e+01 1.904e-05 1.202e-02 3.459e-04 3.161e-02
1.200e+01 1.626e-05 1.134e-02 3.149e-04 3.321e-02
1.224e+01 1.563e-05 1.118e-02 3.076e-04 3.361e-02
1.300e+01 1.386e-05 1.069e-02 2.867e-04 3.486e-02
1.351e+01 1.283e-05 1.038e-02 2.742e-04 3.565e-02
1.400e+01 1.195e-05 1.011e-02 2.631e-04 3.640e-02
1.491e+01 1.054e-05 9.642e-03 2.447e-04 3.770e-02
1.500e+01 1.041e-05 9.598e-03 2.430e-04 3.783e-02
1.600e+01 9.150e-06 9.141e-03 2.257e-04 3.916e-02
1.646e+01 8.646e-06 8.946e-03 2.185e-04 3.975e-02
1.800e+01 7.230e-06 8.354e-03 1.975e-04 4.160e-02
1.818e+01 7.088e-06 8.291e-03 1.954e-04 4.180e-02
2.000e+01 5.857e-06 7.705e-03 1.756e-04 4.376e-02
